OBJECTID,ZONECLASS,ZONEDESC,LASTUPDATE,LASTEDITOR,SUFFIX,OVERLAY_H,OVERLAY_SD,OVERLAY_OT,PRECPLAN,ZONELABEL,BASEELEV,HEIGHT,PRECISEPLA,ShapeSTAre,ShapeSTLen,Zoning
226,P,P,2019-12-11,Krisha Penollar - CDD,NA,NA,NA,NA,P(17),P(17),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2766'>Villa Mariposa</a>,1197698.05469,5935.70465285,2
227,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,286020.793945,2343.16397859,NA
228,R3,R3,2016-12-05,Eric Anderson - CDD,2.5,NA,NA,NA,NA,R3-2.5,NA,NA,NA,349696.976563,3264.67875125,2
229,R3,R3,2016-12-05,Eric Anderson - CDD,1.25,NA,NA,NA,NA,R3-1.25,NA,NA,NA,99902.0761719,1418.90491288,2
230,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(23),P(23),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2769'>Castro - Miramonte Triangle</a>,198944.487305,2077.10670083,NA
231,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,919841.167969,4109.64853695,NA
232,R1,R1,2016-12-05,Eric Anderson - CDD,8,NA,NA,NA,NA,R1-8,NA,NA,NA,310043.957031,2923.59219546,1
233,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,139489.62207,2547.69411019,2
234,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,93853.3378906,1595.1458061,2
235,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,266566.750977,3586.03024329,2
236,R3,R3,2016-12-05,Eric Anderson - CDD,1.5,NA,NA,NA,NA,R3-1.5,NA,NA,NA,34497.4072266,824.8297339525308,2
237,R3,R3,2016-12-05,Eric Anderson - CDD,1,h1s,NA,NA,NA,R3-1h1s,NA,NA,NA,79689.1513672,1130.20526368,2
