id,general_pl,Zoning
249,High Density Multi-Family,2
250,High Density Multi-Family,2
251,High Density Multi-Family,2
252,High Density Multi-Family,2
253,High Density Multi-Family,2
254,High Density Multi-Family,2
255,High Density Multi-Family,2
256,High Density Multi-Family,2
257,High Density Multi-Family,2
258,High Density Multi-Family,2
259,High Density Multi-Family,2
260,High Density Multi-Family,2
261,High Density Multi-Family,2
262,High Density Multi-Family,2
263,High Density Multi-Family,2
264,High Density Multi-Family,2
265,High Density Multi-Family,2
266,High Density Multi-Family,2
267,High Density Multi-Family,2
268,High Density Multi-Family,2
269,High Density Multi-Family,2
270,High Density Multi-Family,2
271,High Density Multi-Family,2
272,High Density Multi-Family,2
273,High Density Multi-Family,2
274,High Density Multi-Family,2
275,High Density Multi-Family,2
276,High Density Multi-Family,2
277,High Density Multi-Family,2
278,High Density Multi-Family,2
279,High Density Multi-Family,2
280,High Density Multi-Family,2
281,High Density Multi-Family,2
282,High Density Multi-Family,2
283,High Density Multi-Family,2
284,High Density Multi-Family,2
285,High Density Multi-Family,2
286,High Density Multi-Family,2
288,High Density Multi-Family,2
289,High Density Multi-Family,2
290,High Density Multi-Family,2
291,High Density Multi-Family,2
292,High Density Multi-Family,2
293,High Density Multi-Family,2
294,High Density Multi-Family,2
295,High Density Multi-Family,2
296,High Density Multi-Family,2
297,High Density Multi-Family,2
298,High Density Multi-Family,2
299,High Density Multi-Family,2
300,High Density Multi-Family,2
301,High Density Multi-Family,2
302,High Density Multi-Family,2
303,High Density Multi-Family,2
304,High Density Multi-Family,2
305,High Density Multi-Family,2
306,High Density Multi-Family,2
307,High Density Multi-Family,2
308,High Density Multi-Family,2
309,High Density Multi-Family,2
310,High Density Multi-Family,2
311,High Density Multi-Family,2
312,High Density Multi-Family,2
313,High Density Multi-Family,2
314,High Density Multi-Family,2
315,High Density Multi-Family,2
316,High Density Multi-Family,2
317,High Density Multi-Family,2
318,High Density Multi-Family,2
319,High Density Multi-Family,2
320,High Density Multi-Family,2
321,High Density Multi-Family,2
322,High Density Multi-Family,2
323,High Density Multi-Family,2
324,High Density Multi-Family,2
325,High Density Multi-Family,2
326,High Density Multi-Family,2
327,High Density Multi-Family,2
328,High Density Multi-Family,2
329,High Density Multi-Family,2
330,High Density Multi-Family,2
331,High Density Multi-Family,2
332,High Density Multi-Family,2
333,High Density Multi-Family,2
334,High Density Multi-Family,2
335,High Density Multi-Family,2
336,High Density Multi-Family,2
337,High Density Multi-Family,2
338,High Density Multi-Family,2
339,High Density Multi-Family,2
340,High Density Multi-Family,2
341,High Density Multi-Family,2
342,High Density Multi-Family,2
343,High Density Multi-Family,2
344,High Density Multi-Family,2
345,High Density Multi-Family,2
346,High Density Multi-Family,2
347,High Density Multi-Family,2
348,High Density Multi-Family,2
349,High Density Multi-Family,2
350,High Density Multi-Family,2
351,High Density Multi-Family,2
352,High Density Multi-Family,2
353,High Density Multi-Family,2
354,High Density Multi-Family,2
355,High Density Multi-Family,2
356,High Density Multi-Family,2
357,High Density Multi-Family,2
358,High Density Multi-Family,2
359,High Density Multi-Family,2
360,High Density Multi-Family,2
361,High Density Multi-Family,2
362,High Density Multi-Family,2
363,High Density Multi-Family,2
364,High Density Multi-Family,2
365,High Density Multi-Family,2
366,High Density Multi-Family,2
367,Low Density Multi-Family,2
368,Low Density Multi-Family,2
369,Low Density Multi-Family,2
370,Low Density Multi-Family,2
371,Low Density Multi-Family,2
372,Low Density Multi-Family,2
373,Low Density Multi-Family,2
374,Low Density Multi-Family,2
375,Low Density Multi-Family,2
376,Low Density Multi-Family,2
377,Low Density Multi-Family,2
378,Low Density Multi-Family,2
379,Low Density Multi-Family,2
380,Low Density Multi-Family,2
381,Low Density Multi-Family,2
382,Low Density Multi-Family,2
383,Low Density Multi-Family,2
384,Low Density Multi-Family,2
385,Low Density Multi-Family,2
386,Low Density Multi-Family,2
387,Low Density Multi-Family,2
388,Low Density Multi-Family,2
389,Low Density Multi-Family,2
390,Low Density Multi-Family,2
391,Low Density Multi-Family,2
392,Low Density Multi-Family,2
393,Low Density Multi-Family,2
394,Low Density Multi-Family,2
395,Low Density Multi-Family,2
396,Low Density Multi-Family,2
397,Low Density Multi-Family,2
398,Low Density Multi-Family,2
399,Low Density Multi-Family,2
400,Low Density Multi-Family,2
401,Low Density Multi-Family,2
402,Low Density Multi-Family,2
403,Low Density Multi-Family,2
404,Low Density Multi-Family,2
405,Low Density Multi-Family,2
406,Low Density Multi-Family,2
407,Low Density Multi-Family,2
408,Low Density Multi-Family,2
409,Low Density Multi-Family,2
410,Low Density Multi-Family,2
411,Low Density Multi-Family,2
412,Low Density Multi-Family,2
413,Low Density Multi-Family,2
414,Low Density Multi-Family,2
415,Low Density Multi-Family,2
416,Low Density Multi-Family,2
417,Low Density Multi-Family,2
418,Low Density Multi-Family,2
419,Low Density Multi-Family,2
420,Low Density Multi-Family,2
421,Low Density Multi-Family,2
422,Low Density Multi-Family,2
423,Low Density Multi-Family,2
424,Low Density Multi-Family,2
425,Low Density Multi-Family,2
426,Low Density Multi-Family,2
427,Low Density Multi-Family,2
428,Low Density Multi-Family,2
429,Low Density Multi-Family,2
430,Low Density Multi-Family,2
431,Low Density Multi-Family,2
432,Low Density Multi-Family,2
433,Low Density Multi-Family,2
434,Low Density Multi-Family,2
435,Low Density Multi-Family,2
436,Low Density Multi-Family,2
437,Low Density Multi-Family,2
438,Low Density Multi-Family,2
439,Low Density Multi-Family,2
440,Low Density Multi-Family,2
441,Low Density Multi-Family,2
442,Low Density Multi-Family,2
443,Low Density Multi-Family,2
444,Low Density Multi-Family,2
445,Low Density Multi-Family,2
446,Low Density Multi-Family,2
447,Low Density Multi-Family,2
448,Low Density Multi-Family,2
449,Low Density Multi-Family,2
450,Low Density Multi-Family,2
451,Low Density Multi-Family,2
452,Low Density Multi-Family,2
453,Low Density Multi-Family,2
454,Low Density Multi-Family,2
455,Low Density Multi-Family,2
456,Low Density Multi-Family,2
457,Low Density Multi-Family,2
458,Low Density Multi-Family,2
459,Low Density Multi-Family,2
460,Low Density Multi-Family,2
461,Low Density Multi-Family,2
462,Low Density Multi-Family,2
463,Low Density Multi-Family,2
464,Low Density Multi-Family,2
465,Low Density Multi-Family,2
466,Low Density Multi-Family,2
467,Low Density Multi-Family,2
468,Low Density Multi-Family,2
469,Low Density Multi-Family,2
470,Low Density Multi-Family,2
471,Low Density Multi-Family,2
472,Low Density Multi-Family,2
473,Low Density Multi-Family,2
474,Low Density Multi-Family,2
475,Low Density Multi-Family,2
476,Low Density Multi-Family,2
477,Low Density Multi-Family,2
478,Low Density Multi-Family,2
479,Low Density Multi-Family,2
480,Low Density Multi-Family,2
481,Low Density Multi-Family,2
482,Low Density Multi-Family,2
483,Low Density Multi-Family,2
484,Low Density Multi-Family,2
485,Low Density Multi-Family,2
486,Low Density Multi-Family,2
487,Low Density Multi-Family,2
488,Low Density Multi-Family,2
489,Low Density Multi-Family,2
490,Low Density Multi-Family,2
491,Low Density Multi-Family,2
492,Low Density Multi-Family,2
493,Low Density Multi-Family,2
494,Low Density Multi-Family,2
495,Low Density Multi-Family,2
496,Low Density Multi-Family,2
497,Low Density Multi-Family,2
498,Low Density Multi-Family,2
499,Low Density Multi-Family,2
500,Low Density Multi-Family,2
501,Low Density Multi-Family,2
502,Low Density Multi-Family,2
503,Low Density Multi-Family,2
504,Low Density Multi-Family,2
505,Low Density Multi-Family,2
506,Low Density Multi-Family,2
507,Low Density Multi-Family,2
508,Low Density Multi-Family,2
509,Low Density Multi-Family,2
510,Low Density Multi-Family,2
511,Low Density Multi-Family,2
512,Low Density Multi-Family,2
513,Low Density Multi-Family,2
514,Low Density Multi-Family,2
515,Low Density Multi-Family,2
516,Low Density Multi-Family,2
517,Low Density Multi-Family,2
518,Low Density Multi-Family,2
519,Low Density Multi-Family,2
520,Low Density Multi-Family,2
521,Low Density Multi-Family,2
522,Low Density Multi-Family,2
523,Low Density Multi-Family,2
524,Low Density Multi-Family,2
525,Low Density Multi-Family,2
526,Low Density Multi-Family,2
527,Low Density Multi-Family,2
528,Low Density Multi-Family,2
529,Low Density Multi-Family,2
530,Low Density Multi-Family,2
531,Low Density Multi-Family,2
532,Low Density Multi-Family,2
533,Low Density Multi-Family,2
534,Low Density Multi-Family,2
535,Low Density Multi-Family,2
536,Low Density Multi-Family,2
537,Low Density Multi-Family,2
538,Low Density Multi-Family,2
539,Low Density Multi-Family,2
540,Low Density Multi-Family,2
541,Low Density Multi-Family,2
542,Low Density Multi-Family,2
543,Low Density Multi-Family,2
544,Low Density Multi-Family,2
545,Low Density Multi-Family,2
546,Low Density Multi-Family,2
547,Low Density Multi-Family,2
548,Low Density Multi-Family,2
549,Low Density Multi-Family,2
550,Low Density Multi-Family,2
551,Low Density Multi-Family,2
552,Low Density Multi-Family,2
553,Low Density Multi-Family,2
554,Low Density Multi-Family,2
555,Low Density Multi-Family,2
556,Low Density Multi-Family,2
557,Low Density Multi-Family,2
558,Low Density Multi-Family,2
559,Low Density Multi-Family,2
560,Low Density Multi-Family,2
561,Low Density Multi-Family,2
562,Low Density Multi-Family,2
563,Low Density Multi-Family,2
564,Low Density Multi-Family,2
565,Low Density Multi-Family,2
566,Low Density Multi-Family,2
567,Low Density Multi-Family,2
568,Low Density Multi-Family,2
569,Low Density Multi-Family,2
570,Low Density Multi-Family,2
571,Low Density Multi-Family,2
572,Low Density Multi-Family,2
573,Low Density Multi-Family,2
574,Low Density Multi-Family,2
575,Low Density Multi-Family,2
576,Low Density Multi-Family,2
577,Low Density Multi-Family,2
578,Low Density Multi-Family,2
579,Low Density Multi-Family,2
580,Low Density Multi-Family,2
581,Low Density Multi-Family,2
582,Low Density Multi-Family,2
583,Low Density Multi-Family,2
584,Low Density Multi-Family,2
585,Low Density Multi-Family,2
586,Low Density Multi-Family,2
587,Low Density Multi-Family,2
588,Low Density Multi-Family,2
589,Low Density Multi-Family,2
590,Low Density Multi-Family,2
591,Low Density Multi-Family,2
592,Low Density Multi-Family,2
593,Low Density Multi-Family,2
594,Low Density Multi-Family,2
595,Low Density Multi-Family,2
596,Low Density Multi-Family,2
597,Low Density Multi-Family,2
598,Low Density Multi-Family,2
599,Low Density Multi-Family,2
600,Low Density Multi-Family,2
601,Low Density Multi-Family,2
602,Low Density Multi-Family,2
603,Low Density Multi-Family,2
604,Low Density Multi-Family,2
605,Low Density Multi-Family,2
606,Low Density Multi-Family,2
607,Low Density Multi-Family,2
608,Low Density Multi-Family,2
609,Low Density Multi-Family,2
610,Low Density Multi-Family,2
611,Low Density Multi-Family,2
612,Low Density Multi-Family,2
613,Low Density Multi-Family,2
614,Low Density Multi-Family,2
615,Low Density Multi-Family,2
616,Low Density Multi-Family,2
617,Low Density Multi-Family,2
618,Low Density Multi-Family,2
619,Low Density Multi-Family,2
620,Low Density Multi-Family,2
621,Low Density Multi-Family,2
622,Low Density Multi-Family,2
623,Low Density Multi-Family,2
624,Low Density Multi-Family,2
625,Low Density Multi-Family,2
626,Low Density Multi-Family,2
627,Low Density Multi-Family,2
