gnrl_p_,id,zoning
203 - Public/Private Park,212,0
203 - Public/Private Park,213,0
203 - Public/Private Park,214,0
203 - Public/Quasi Public,215,0
203 - Rural Estate,216,1
203 - Rural Estate,217,1
203 - Rural Estate,218,1
203 - Rural Estate,219,1
203 - Rural Estate,221,1
203 - Rural Estate,223,1
203 - Rural Estate,224,1
203 - Rural Estate,225,1
203 - Schools,226,0
203 - Schools,227,0
203 - Schools,228,0
203 - Schools,229,0
203 - Town Center,230,0
203 - Town Center,231,0
203 - Town Center,232,0
203 - Town Center,233,0
203 - Town Center,234,0
203 - Town Center,235,0
203 - Town Center,236,0
203 - Town Center,237,0
203 - Town Center,238,0
