ACRES,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
79.87294,3479251.35352,16928.0571131,RS:AC,1
15.78137,687433.881836,4195.64543501,GI:AC,0
44.43809,1935715.43457,9557.29868672,I:AC,0
76.28875,3323124.63574,8979.88251898,GI:AC,0
5370.57299,233941223.743,118606.434281,AW,0
10.59556,461540.952148,2773.16942399,MC:AC,0
16.0389,698651.723633,4119.32452714,RS:B-5,1
5.95037,259197.020508,2492.51819604,RS:UR,1
302.44392,13174404.5381,17850.3157151,PD,0
2.23236,97241.0595703,1362.02358815,RS:UR,1
0.5705,24850.9648438,646.810668856,RS:UR,1
39.53216,1722014.1748,12660.1917343,RS:UR,1
3.63816,158477.625,1620.1392395,RS:UR,1
11.24877,489994.527344,2992.96087534,MC:AH,0
30.15931,1313734.19238,5564.30874745,AW:AH,0
2.93891,128018.47168,1483.44242755,CL,0
2.36708,103109.759766,1400.15655672,MC:AH,0
7.00039,304935.883789,2181.0632283,AW:AH,0
2920.35615,127210221.368,74024.8518645,AW:AC,0
2.26497,98661.6757813,1624.77535386,PD:AH:AC,0
43.46217,1893204.35254,6354.31342124,PD:AH:AC,0
168.85803,7355426.20898,13436.3735875,PD:AC,0
64.48608,2809002.54785,14477.0782434,AV:AC,0
257.68495,11224711.6904,22268.4629937,RS:B-5,1
76.79175,3345035.28418,9488.82569566,PD,0
19.72275,859119.480469,4600.73944962,PD:AH,0
8.54038,372017.532227,2916.33877049,PD,0
674.37506,29375660.2207,34256.9697833,PD,0
1572.57475,68501082.2666,84286.8997803,RC,1
416723.21639,18152390616.8,1932885.81923,AW,0
30.2962,1319696.98145,5107.77133173,GI:AC,0
263.45473,11476042.2139,16873.4111705,PL:AC,0
15820.264,689127943.246,305573.460117,AW:AC,0
4.24942,185104.015625,2024.76024106,RS:UR,1
23.33075,1016283.32813,5335.29268083,RC:AH,1
36.259,1579435.86523,5567.18872729,AW:AH,0
5.08785,221625.654297,3171.59180108,RS:UR,1
2.34502,102148.703125,3672.43811309,CL:AC,0
257.88835,11233571.5488,17658.0036032,AP,0
6.1816,269269.450195,2821.06518911,RS:UR,1
1.63779,71342.0439453,1416.33370354,RS:UR,1
3.60063,156842.87207,2080.65210599,RS:UR,1
674.27666,29371373.8262,29547.6051536,AW,0
942.55526,41057542.9512,41501.2961237,AW:SWP,0
48.69891,2121316.21289,7209.71079982,RS:B-5,1
21.27891,926905.665039,4863.38818825,IP:AC,0
55.99775,2439252.11426,6691.63674768,NP-MUR-W:AC,0
18.21318,793363.09668,3930.67780723,NP-IBP:AC,0
33.23085,1447529.95801,5726.77415667,NP-IBP-W:AC,0
2.47648,107875.070313,2052.77698463,RS:UR,1
6.53407,284622.902344,2772.85450367,RS:UR,1
