OBJECTID,SHAPESTAre,SHAPESTLen,BaseZone,Zoning
991,93213.6865234375,1560.408902439456,C-1,NA
992,5264.7890625,334.88530873212864,OS,NA
993,69141.736328125,1837.4829852661173,OS,NA
994,1254.3935546875,125.59204332880915,OS,NA
995,8623.3134765625,374.5625190140748,R,NA
996,924.16015625,143.97870159715626,R,NA
997,79612.6376953125,3033.6422427757516,OS,NA
998,41652.900390625,1480.08846834106,OS,NA
999,123970.9658203125,4148.448504106593,R,NA
1000,2799411.4619140625,19348.203842935294,R,NA
1002,81435.83984375,1426.188741756581,R-15,1
1003,123362.9072265625,1764.7951695454817,R-15,1
1004,105713.5048828125,2015.0997037973664,R-15,1
1005,75115.044921875,1407.69075985937,R-15,1
1006,46499.5205078125,920.7489765005548,R-15,1
1007,57610.373046875,926.9854865504417,R-15,1
1008,48680.81640625,843.7843189792529,R-15,1
1009,203100.11328125,3148.2574195708644,R-15,1
1010,53216.548828125,1209.2513296599668,R-15,1
1011,109090.44140625,2565.206179182365,R-15,1
1012,71615.083984375,1048.8827549498146,R-15,1
1013,31239.48046875,709.0234188661794,R-15,1
1014,64559.912109375,1215.2874407990466,R-15,1
1015,18504.4111328125,681.4619000724874,R-15,1
1016,27859.4189453125,717.0667054955543,R-15,1
1017,80526.1796875,1495.6428612500054,R-15,1
1018,50474.15625,1188.4778145511607,R-15,1
1019,1114314.05078125,10137.060231947671,R-15,1
1020,52943.759765625,1076.7954827702897,R-15,1
1021,135069.2958984375,2877.1939264975053,R-15,1
1022,56702.8984375,1224.4897472094515,R-15,1
1023,59320.529296875,1521.2251160293322,R-15,1
1024,99725.5224609375,2016.2583668475231,R-15,1
1025,66903.7451171875,1322.3720904346806,R-15,1
1026,74541.0341796875,1140.5188340162915,R-15,1
1027,861980.3916015625,6383.766999300729,R-15,1
1028,192678.033203125,3147.9242956718826,R-15,1
1029,673621.8515625,5634.363036784322,R-15,1
1030,159111.267578125,2559.810135667469,R-15,1
1031,94102.515625,1603.506476173471,R-15,1
1032,483339.08203125,3743.0981889104214,R-15,1
1033,397553.54296875,3622.403886221343,R-15,1
1034,135501.9033203125,2462.9181287817696,R-15,1
1035,125162.8544921875,1530.840674074152,R-15,1
1036,1077254.423828125,12758.740882893371,R-15,1
1037,9287.3466796875,434.7975560976864,R-1C,1
1038,11722.4140625,616.9393970293866,R-1C,1
1039,29918.953125,1037.8103942700725,R-1C,1
1040,52924.8583984375,1334.5864656919673,R-1C,1
1041,28279.412109375,903.4117596440201,R-1C,1
1042,145614.283203125,2910.9788910332145,R-1C,1
1043,72910.296875,1440.2609976177118,R,NA
1044,13133.1962890625,448.2107034817346,R-1L,1
1045,78672.8154296875,1723.7798237400175,R-1L,1
1046,461234.296875,8908.749283724577,R-1L,1
1047,19704.5419921875,651.2249556427163,R-1L,1
1048,592188.896484375,9743.522725265828,R-1L,1
1049,331418.9453125,6187.085238059372,R-1L,1
1050,512376.01171875,10197.329063180621,R-1L,1
1052,60422.0419921875,1245.626571396167,R-1L,1
1053,534182.65625,8924.97142133077,R-1W,1
1054,35381.0869140625,857.1205499801196,R-2,2
1055,274518.2890625,3754.4559746796244,R-2,2
1056,8001.697265625,446.42703994984953,R-3,2
1057,28341.7890625,772.2815942092342,R-3,2
1058,5673.998046875,330.8571695762805,R-3,2
1059,44674.73046875,945.7778390882536,R-3,2
1063,12001.4169921875,500.47322313634805,R-3,2
1065,78027.9453125,1139.486640602356,R-3,2
1066,42300.41015625,1149.3863557483892,R-3C,2
1067,30328.0546875,739.6087344417614,R-3C,2
1068,12419.8212890625,508.83010435292533,SC-H,NA
1069,28372.505859375,754.6463858642647,R-3,2
1070,77677.923828125,1414.0613889740807,R-3,2
1073,17816.9091796875,571.3472621917499,R-15,1
1076,39086.2451171875,1165.325775596916,OS,NA
1078,88743.88671875,2101.1946036991044,OS,NA
1080,3846.263671875,219.86015343767656,OS,NA
1082,20743.8935546875,999.7268829018462,OS,NA
1083,60279.9931640625,3862.2102688402147,OS,NA
1084,44895610.31640625,66159.69921857136,R,3
1085,12459.30078125,622.7465015288519,OS,NA
