ZoningDesc,GroupLabel,UnitsPerAc,MinimumLot,MinimumL_1,PlannedDis,NoticingBu,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
Residential Single Family,Residential Single Family 7500 Sqft,5.808,0.172,7500,None,300,33623.7158203,920.344671679,C-R1,1
Residential Single Family,Residential Single Family 7500 Sqft,5.808,0.172,7500,None,300,32692.8847656,802.924324034,C-R1,1
Residential Single Family,Residential Single Family 7500 Sqft,5.808,0.172,7500,None,300,32367.8955078,781.693189887,C-R1,1
Residential Single Family,Residential Single Family 7500 Sqft,5.808,0.172,7500,None,300,28282.3447266,732.428372684,C-R1,1
Residential Single Family,Residential Single Family 7500 Sqft,5.808,0.172,7500,None,300,24503.78125,700.640182131,C-R1,1
Residential Single Family,Residential Single Family 7500 Sqft,5.808,0.172,7500,None,300,23264.7724609,681.74919393,C-R1,1
Residential Single Family,Residential Single Family 10000 Sqft,4.356,0.229,10000,None,300,141207.361328,2266.78421681,C-R1-B2,1
Residential Single Family,Residential Single Family 10000 Sqft,4.356,0.229,10000,None,300,78103.4414063,1541.04633653,C-R1-B2,1
Residential Single Family,Residential Single Family 20000 Sqft,2.178,0.459,20000,None,600,323472.344727,2669.7726371,C-R1-B3,1
Residential Single Family,Residential Single Family 20000 Sqft,2.178,0.459,20000,None,600,286330.169922,2226.07714386,C-R1-B3,1
Residential Single Family,Residential Single Family 20000 Sqft,2.178,0.459,20000,None,600,173248.782227,2187.94622284,C-R1-B3,1
Residential Single Family,Residential Single Family 1 Acre,1,1,43560,None,300,672707.756836,4426.3905614,C-R1-B4,1
Residential Single Family,Residential Single Family 1 Acre,1,1,43560,None,300,451329.698242,4020.06986655,C-R1-B4,1
Residential Single Family,Residential Single Family 1 Acre,1,1,43560,None,300,142748.053711,1472.14389216,C-R1-B4,1
Residential Single Family,Residential Single Family 1 Acre,1,1,43560,None,300,114224.050781,1296.53772781,C-R1-B4,1
Residential Single Family,Residential Single Family 2 Acres,0.5,2,87120,None,300,862046.727539,5123.38375451,C-R1-B5,1
Residential Single Family,Residential Single Family 2 Acres,0.5,2,87120,None,300,733405.144531,4368.19314033,C-R1-B5,1
Residential Single Family,Residential Single Family 2 Acres,0.5,2,87120,None,300,552505.4375,3751.89898424,C-R1-B5,1
Residential Single Family,Residential Single Family 2 Acres,0.5,2,87120,None,300,431664.701172,3646.61928316,C-R1-B5,1
Residential Single Family,Residential Single Family 1750 Sqft,24.891,0.04,1750,None,300,79679.9580078,1964.33562978,C-R1-BD,1
Residential Single Family,Residential Single Family 1750 Sqft,24.891,0.04,1750,None,300,67235.859375,1573.99736627,C-R1-BD,1
Residential Single Family,Residential Single Family 1750 Sqft,24.891,0.04,1750,None,300,59834.3164063,1395.5700407,C-R1-BD,1
Residential Single Family,Residential Single Family 1750 Sqft,24.891,0.04,1750,None,300,33601.4833984,778.668029911,C-R1-BD,1
Residential Single Family,Residential Single Family 1750 Sqft,24.891,0.04,1750,None,300,27429.7246094,792.039832136,C-R1-BD,1
Residential Single Family,Residential Single Family 1750 Sqft,24.891,0.04,1750,None,300,26018.4472656,744.608338859,C-R1-BD,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,595968.321289,8357.19147851,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,330945.235352,3823.94969643,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,195600.672852,2587.27963509,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,191172.855469,2285.03165395,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,166600.746094,2439.78922122,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,161072.005859,2434.66140865,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,157982.216797,2077.76313622,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,157218.682617,2088.89922694,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,150421.320313,2391.65106807,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,147760.669922,1892.27580998,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,137178.578125,1790.63926349,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,136708.479492,1764.60180702,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,134473.90332,1787.9726439,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,126512.956055,1672.32222984,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,123386.007813,1624.61547248,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,122846.443359,1619.82628466,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,122229.919922,1613.37793395,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,122199.768555,1615.93395566,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,121743.670898,1608.86504184,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,121669.342773,1606.986052,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,121572.177734,1606.12403352,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,121558.888672,1604.74883574,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,121169.598633,1604.76381964,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,121149.706055,1611.39797772,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,121123.527344,1611.43562096,C-RA-B2,1
