FID_1,BaseZone,LotSizeZon,dZone,srZone,nZone,hZone,bwZone,psZone,smZone,GlobalID,SHAPE_Leng,SHAPE_Area,Tot_zone,Zoning
1436,HS,NA,NA,-sr,NA,-h1,NA,NA,NA,{275C90D5-8026-4687-8821-3E48E9A3DA4A},0.013386606915636,6.109379095e-6,HS-sr-h1,0
1437,HS,NA,NA,-sr,NA,-h1,NA,NA,NA,{A488E1E4-1F6A-4AF5-919E-D4B2BAF77B5B},0.002132234540892,2.58539431e-7,HS-sr-h1,0
1441,HS,NA,NA,NA,NA,NA,NA,NA,NA,{5F40EAA9-2155-4E51-9CE8-11897DC5892D},0.016590939984291,1.6943836153e-5,HS,0
1442,HS,NA,NA,NA,NA,NA,NA,NA,NA,{2BEB0037-BCDB-4B09-893A-2C6750986E00},0.055889373044124,1.19510037072e-4,HS,0
1443,HS,NA,NA,NA,NA,NA,NA,NA,NA,{17AA2EEF-E6D3-48CB-B072-0961E845F77D},0.034532408160223,3.81681751e-5,HS,0
1444,HS,NA,NA,NA,NA,NA,NA,NA,NA,{CA67CF7B-6FFC-4157-9235-DCB640474515},0.064513928857963,1.3047753937e-4,HS,0
1445,HS,NA,NA,NA,NA,NA,NA,NA,NA,{1F4B4B9D-D321-43A8-ADF6-BB1A9AC20001},0.016843972598134,1.7486651708e-5,HS,0
1448,HS,NA,NA,NA,NA,NA,NA,NA,NA,{D4F8557A-383B-4FC4-AF67-8F0A82B22B93},0.007086191835433,1.507485052e-6,HS,0
1449,HS,NA,NA,NA,NA,NA,NA,NA,NA,{E90614A9-902A-48F6-A90D-211A25D3842E},0.094564610202545,2.0218835667e-4,HS,0
1450,RR,NA,NA,NA,NA,NA,NA,NA,NA,{463974A5-3C97-4958-8E8F-209DD75EC77C},0.008509505666059,1.428944665e-6,RR,1
1451,RR,NA,NA,NA,NA,NA,NA,NA,NA,{37A0F10A-3D0B-4E18-B1F2-EE81FE1460DB},0.026727164024737,1.8867618472e-5,RR,1
1452,RR,NA,NA,NA,NA,NA,NA,NA,NA,{AA141EF3-7833-41A7-BF56-6A9E3AFFB758},0.005704671737825,1.595653234e-6,RR,1
1453,RR,NA,NA,NA,NA,NA,NA,NA,NA,{86E6E818-7C3E-4353-AD5E-8DC1BB469550},0.077312913533197,6.1705922557e-5,RR,1
1454,A,-20Ac,NA,NA,NA,NA,NA,NA,NA,{B3311747-5E0C-4764-9039-DE6748E0CF48},0.062406534386504,8.0145580192e-5,A-20Ac,0
1455,A,-20Ac,NA,NA,NA,NA,NA,NA,NA,{208397D8-D995-4F60-AF0B-FDB454F0ADDF},0.037472448528315,3.1682115353e-5,A-20Ac,0
1456,R1E,-2.5s,-d1,NA,NA,NA,NA,NA,NA,{ABE3DA61-4BA0-49EF-A3FB-261685E156E8},0.015125101222468,6.446368827e-6,R1E-2.5s-d1,1
