general_pl,id,Zoning
R-2,1753,2
R-1,1754,1
R-1,1755,1
R-1,1756,1
R-1,1757,1
R-1,1758,1
R-1,1759,1
R-2,1760,2
R-2,1761,2
R-2,1762,2
R-2,1763,2
R-1,1764,1
R-1,1765,1
R-2,1766,2
R-2,1767,2
R-2,1768,2
R-2,1769,2
R-2,1770,2
R-2,1771,2
R-2,1772,2
R-2,1773,2
R-2,1774,2
R-1,1775,1
R-2,1776,2
R-3,1777,2
R-2,1778,2
R-1,1779,1
R-1,1780,1
R-1,1781,1
R-1,1782,1
R-1,1783,1
R-1,1784,1
C-SA,1785,NA
C-SA,1786,NA
C-SA,1787,NA
C-SA,1788,NA
R-1,1789,1
R-1,1790,1
R-3,1791,2
R-3,1792,2
R-3,1793,2
R-3,1794,2
R-2,1795,2
R-2,1796,2
R-2,1797,2
R-2,1798,2
R-2,1799,2
R-1A,1800,2
C-N,1801,NA
R-1A,1802,2
R-2,1803,2
R-2,1804,2
R-1A,1805,2
R-2,1806,2
R-2,1807,2
R-2,1808,2
R-1A,1809,2
R-1A,1810,2
R-1A,1811,2
R-2,1812,2
C-N,1813,NA
R-2,1814,2
R-2,1815,2
R-2,1816,2
R-2,1817,2
R-2,1818,2
C-N,1819,NA
R-2,1820,2
C-N,1821,NA
C-N,1822,NA
R-2,1823,2
R-2,1824,2
R-2,1825,2
R-2,1826,2
C-N,1827,NA
C-N,1828,NA
C-N,1829,NA
R-2,1830,2
R-2,1831,2
R-2,1832,2
R-2,1833,2
R-3,1834,2
R-3,1835,2
R-3,1836,2
R-3,1837,2
R-3,1838,2
R-3,1839,2
R-3,1840,2
R-2,1841,2
R-2,1842,2
R-2,1843,2
SP,1844,NA
SP,1845,NA
U,1846,NA
U,1847,NA
U,1848,NA
U,1849,NA
U,1850,NA
U,1851,NA
R-2,1852,2
R-2,1853,2
R-2A,1854,2
R-2,1855,2
R-2,1856,2
R-2A,1857,2
C-1,1858,NA
MULI,1859,NA
MULI,1860,NA
