gnrl_p_,id,city_nm,zoning
MU_MF,574,dublin,2
ROA,575,dublin,0
MU_MF,576,dublin,2
ROA,577,dublin,0
OS,578,dublin,0
OS,579,dublin,0
PSP,580,dublin,0
LDR,581,dublin,1
LDR,582,dublin,1
LDR,583,dublin,1
LDR,584,dublin,1
LDR,585,dublin,1
LDR,586,dublin,1
MDR,587,dublin,2
MS,588,dublin,0
MDR,589,dublin,2
MDR,590,dublin,2
MDR,591,dublin,2
HDR,592,dublin,2
ER,593,dublin,1
RO,594,dublin,0
RO,595,dublin,0
RO,596,dublin,0
ER,597,dublin,1
OS,598,dublin,0
NP,599,dublin,0
NC,600,dublin,0
PSP,601,dublin,0
NC,602,dublin,0
NC,603,dublin,0
GCCO,604,dublin,0
CO,605,dublin,0
GC,606,dublin,0
OS,607,dublin,0
PSP,608,dublin,0
PSP,609,dublin,0
PSP,610,dublin,0
PSP,611,dublin,0
HDR,612,dublin,2
HDR,613,dublin,2
HDR,614,dublin,2
CO,615,dublin,0
CO,616,dublin,0
PL,617,dublin,0
HDR,618,dublin,2
RRA,619,dublin,3
CO,620,dublin,0
CO,621,dublin,0
CO,622,dublin,0
CO,623,dublin,0
CO,624,dublin,0
CO,625,dublin,0
RRA,626,dublin,3
MHDR,627,dublin,2
RRA,628,dublin,3
MDR,629,dublin,2
MDR,630,dublin,2
MDR,631,dublin,2
MDR,632,dublin,2
MDR,633,dublin,2
PSP,634,dublin,0
PSP,635,dublin,0
PSP,636,dublin,0
PSP,637,dublin,0
CO,638,dublin,0
NP,639,dublin,0
MDR,640,dublin,2
NS,641,dublin,0
SFR,642,dublin,1
NC,643,dublin,0
MDR,644,dublin,2
MHDR,645,dublin,2
NS,646,dublin,0
MDR,647,dublin,2
MDR,648,dublin,2
ES,649,dublin,0
NC,650,dublin,0
SC,651,dublin,0
LDR,652,dublin,1
IP,653,dublin,0
RRA,654,dublin,3
LDR,655,dublin,1
SC,656,dublin,0
SC,657,dublin,0
SC,658,dublin,0
MDR,659,dublin,2
IP,660,dublin,0
OS,661,dublin,0
CO,662,dublin,0
SC,663,dublin,0
RRA,664,dublin,3
MDR,665,dublin,2
NP,666,dublin,0
MDR,667,dublin,2
MDR,668,dublin,2
GC,669,dublin,0
NP,670,dublin,0
LDR,671,dublin,1
OS,672,dublin,0
CO,673,dublin,0
EMHDR,674,dublin,2
SC,675,dublin,0
LDR,676,dublin,1
ES,677,dublin,0
NP,678,dublin,0
OS,679,dublin,0
RRA,680,dublin,3
GC,681,dublin,0
OS,682,dublin,0
GC,683,dublin,0
MDR,684,dublin,2
EMHDR,685,dublin,2
EMHDR,686,dublin,2
NS,687,dublin,0
MDR,688,dublin,2
EMHDR,689,dublin,2
OS,690,dublin,0
GC,691,dublin,0
LDR,692,dublin,1
LDR,693,dublin,1
LDR,694,dublin,1
LDR,695,dublin,1
RRA,696,dublin,3
RRA,697,dublin,3
LDR,698,dublin,1
SC,699,dublin,0
EMHDR,700,dublin,2
ES,701,dublin,0
NP,702,dublin,0
JH,703,dublin,2
RP,704,dublin,0
RP,705,dublin,0
LDR,706,dublin,1
MHDR,707,dublin,2
MHDR,708,dublin,2
LDR,709,dublin,1
NP,710,dublin,0
NP,711,dublin,0
SC,712,dublin,0
LDR,713,dublin,1
LDR,714,dublin,1
LDR,715,dublin,1
LDR,716,dublin,1
RRA,717,dublin,3
LDR,718,dublin,1
RRA,719,dublin,3
RRA,720,dublin,3
LDR,721,dublin,1
LDR,722,dublin,1
CP,723,dublin,0
MHDR,724,dublin,2
OS,725,dublin,0
CP,726,dublin,0
CP,727,dublin,0
SFR,728,dublin,1
SFR,729,dublin,1
SFR,730,dublin,1
SFR,731,dublin,1
SFR,732,dublin,1
SFR,733,dublin,1
SFR,734,dublin,1
SFR,735,dublin,1
ER,736,dublin,1
RO,737,dublin,0
ER,738,dublin,1
SFR,739,dublin,1
SFR,740,dublin,1
SFR,741,dublin,1
SFR,742,dublin,1
SFR,743,dublin,1
SFR,744,dublin,1
SFR,745,dublin,1
OS,746,dublin,0
NP,747,dublin,0
NP,748,dublin,0
PSP,749,dublin,0
SFR,750,dublin,1
SFR,751,dublin,1
LDSF,752,dublin,1
OS,753,dublin,0
SFR,754,dublin,1
HDR,618,dublin,2
PL_MF,999,dublin,2
