gnrl_p_,LABEL,id,edt_g__,zonng_d,zoning
Low Residential,CD-5,1395,CD-5,877,0
Parks/Recreation,PD,1396,PD__NonRes,14,0
Parks/Recreation,MH,1397,MH,29,2
Parks/Recreation,RR-40,1398,RR-40,8,1
Low Residential,R-1-6,1399,R-1-6,33,1
Low Residential,R-1-6,1400,R-1-6,33,1
Low Residential,PD,1401,PD__SF,212,1
Low Residential,PD,1402,PD__SF,212,1
Low Residential,PD,1403,PD__SF,212,1
Low Residential,R-1-6,1404,R-1-6,33,1
Low Residential,CO,1405,CO,725,0
Low Residential,R-1-6,1406,R-1-6,33,1
Low Residential,PD,1407,PD__SF,212,1
Low Residential,PD,1408,PD__SF,212,1
Low Residential,R-1-6,1409,R-1-6,33,1
Low Residential,PD,1410,PD__SF,212,1
Low Residential,R-1-6,1411,R-1-6,33,1
Low Residential,R-1-6,1412,R-1-6,33,1
Low Residential,R-1-6,1413,R-1-6,33,1
Low Residential,Pre-Zone R-1-6,1414,Pre-Zone R-1-6,876,3
Low Residential,Pre-Zone R-1-6,1415,Pre-Zone R-1-6,876,3
Low Residential,R-1-6,1416,R-1-6,33,1
Low Residential,County RR-20,1417,County RR-20,293,3
Low Residential,R-2,1418,R-2,191,2
Low Residential,R-1-6,1419,R-1-6,33,1
Low Residential,R-1-6,1420,R-1-6,33,1
Low Residential,R-1-6,1421,R-1-6,33,1
Low Residential,R-1-6,1422,R-1-6,33,1
Low Residential,PD-RC,1423,PD-RC__SF,120,1
Low Residential,PD-H,1424,PD-H__SF,489,1
Low Residential,PD,1425,PD__SF,212,1
Low Residential,PD-H,1426,PD-H__SF,489,1
Low Residential,PD,1427,PD__SF,212,1
Low Residential,R-1-6,1428,R-1-6,33,1
Low Residential,CO,1429,CO,725,0
Low Residential,PD-H,1430,PD-H__SF,489,1
Low Residential,R-1-6,1431,R-1-6,33,1
Low Residential,R-1-6,1432,R-1-6,33,1
Low Residential,R-1-6,1433,R-1-6,33,1
Low Residential,PD,1434,PD__SF,212,1
Low Residential,PD,1435,PD__SF,212,1
Low Residential,PD-RC,1436,PD-RC__SF,120,1
Low Residential,PD,1437,PD__SF,212,1
Low Residential,R-1-6,1438,R-1-6,33,1
Low Residential,R-2,1439,R-2,191,2
Low Residential,CG,1440,CG,138,0
Low Residential,R-1-6,1441,R-1-6,33,1
Low Residential,R-1-6,1442,R-1-6,33,1
Low Residential,R-1-6,1443,R-1-6,33,1
Low Residential,PD-RC,1444,PD-RC__SF,120,1
Low Residential,R-1-6,1445,R-1-6,33,1
Low Residential,PD,1446,PD__SF,212,1
Low Residential,R-1-6,1447,R-1-6,33,1
Low Residential,PD,1448,PD__SF,212,1
Low Residential,R-1-6,1449,R-1-6,33,1
Low Residential,R-3-18-H,1450,R-3-18-H,841,2
Low Residential,CG-H,1451,CG-H,922,0
Low Residential,R-1-6,1452,R-1-6,33,1
Low Residential,R-1-6,1453,R-1-6,33,1
Low Residential,R-2,1454,R-2,191,2
Low Residential,R-1-6,1455,R-1-6,33,1
Low Residential,PD,1456,PD__SF,212,1
Low Residential,R-1-6,1457,R-1-6,33,1
Low Residential,PD,1458,PD__SF,212,1
Low Residential,PD,1459,PD__SF,212,1
Low Residential,CN,1460,CN,196,0
Low Residential,RR-20,1461,RR-20,15,1
Low Residential,R-1-6,1462,R-1-6,33,1
Low Residential,R-1-6,1463,R-1-6,33,1
Low Residential,PD,1464,PD__SF,212,1
Low Residential,RR-20,1465,RR-20,15,1
Low Residential,R-1-6,1466,R-1-6,33,1
Low Residential,PD,1467,PD__SF,212,1
Low Residential,PD,1468,PD__SF,212,1
Low Residential,PD-H,1469,PD-H__SF,489,1
Low Residential,R-1-6,1470,R-1-6,33,1
Low Residential,PD-H,1471,PD-H__SF,489,1
Low Residential,R-1-6,1472,R-1-6,33,1
Low Residential,R-1-6,1473,R-1-6,33,1
Low Residential,R-1-6,1474,R-1-6,33,1
Low Residential,PD,1475,PD__SF,212,1
Low Residential,RR-20,1476,RR-20,15,1
Low Residential,PD-H,1477,PD-H__SF,489,1
Low Residential,R-1-6,1478,R-1-6,33,1
Low Residential,PD-H,1479,PD-H__SF,489,1
Low Residential,PD-H,1480,PD-H__SF,489,1
Low Residential,PD-H,1481,PD-H__SF,489,1
Low Residential,R-1-6,1482,R-1-6,33,1
Low Residential,PD-RC,1483,PD-RC__SF,120,1
Low Residential,R-1-6,1484,R-1-6,33,1
Low Residential,PD,1485,PD__SF,212,1
Low Residential,PD,1486,PD__SF,212,1
Low Residential,PD,1487,PD__SF,212,1
Low Residential,R-1-6,1488,R-1-6,33,1
Low Residential,PD,1489,PD__SF,212,1
Low Residential,PD,1490,PD__SF,212,1
Low Residential,R-1-6,1491,R-1-6,33,1
Low Residential,PD,1492,PD__SF,212,1
Low Residential,PD,1493,PD__SF,212,1
Low Residential,R-1-6,1494,R-1-6,33,1
Low Residential,R-1-6,1495,R-1-6,33,1
Low Residential,PD,1496,PD__SF,212,1
Low Residential,R-1-6,1497,R-1-6,33,1
Low Residential,PD,1498,PD__SF,212,1
Low Residential,R-1-6,1499,R-1-6,33,1
Low Residential,R-1-6,1500,R-1-6,33,1
Low Residential,R-1-6,1501,R-1-6,33,1
Low Residential,PD,1502,PD__SF,212,1
Low Residential,PD,1503,PD__SF,212,1
Low Residential,R-1-6,1504,R-1-6,33,1
Low Residential,PI,1505,PI,83,0
Low Residential,PD,1506,PD__SF,212,1
Low Residential,R-2-H,1507,R-2-H,957,2
Low Residential,R-1-6-H,1508,R-1-6-H,490,1
Low Residential,CO-H,1509,CO-H,957,0
Low Residential,PD-H,1510,PD-H__SF,489,1
Low Residential,R-2-H,1511,R-2-H,957,2
Low Residential,R-2-H,1512,R-2-H,957,2
Low Residential,R-1-6-H,1513,R-1-6-H,490,1
Low Residential,PD-H,1514,PD-H__SF,489,1
Low Residential,PD,1515,PD__SF,212,1
Low Residential,PD-H,1516,PD-H__SF,489,1
Low Residential,PD,1517,PD__SF,212,1
Low Residential,PD-H,1518,PD-H__SF,489,1
Low Residential,R-1-6,1519,R-1-6,33,1
Low Residential,R-1-6,1520,R-1-6,33,1
Low Residential,PD,1521,PD__SF,212,1
Low Residential,PD,1522,PD__SF,212,1
Low Residential,PD-H,1523,PD-H__SF,489,1
Low Residential,PD-H,1524,PD-H__SF,489,1
Low Residential,R-3-18-H,1525,R-3-18-H,841,2
Low Residential,R-1-6-H,1526,R-1-6-H,490,1
Low Residential,R-1-6-H,1527,R-1-6-H,490,1
Low Residential,PD-H,1528,PD-H__SF,489,1
Low Residential,R-1-6,1529,R-1-6,33,1
Low Residential,R-1-6,1530,R-1-6,33,1
Low Residential,R-2,1531,R-2,191,2
Low Residential,R-3-30-SA,1532,R-3-30-SA,85,2
Low Residential,PD-H,1533,PD-H__SF,489,1
Low Residential,PD-H,1534,PD-H__SF,489,1
Low Residential,PD-H,1535,PD-H__SF,489,1
Low Residential,PD-H,1536,PD-H__SF,489,1
Low Residential,R-1-6,1537,R-1-6,33,1
Low Residential,PD,1538,PD__SF,212,1
Low Residential,PD-H,1539,PD-H__SF,489,1
Low Residential,R-1-6,1540,R-1-6,33,1
Low Residential,PD,1541,PD__SF,212,1
Low Residential,R-1-6,1542,R-1-6,33,1
Low Residential,R-1-6,1543,R-1-6,33,1
Low Residential,R-3-15,1544,R-3-15,170,2
Low Residential,R-1-6,1545,R-1-6,33,1
Low Residential,R-1-6,1546,R-1-6,33,1
Low Residential,PD,1547,PD__SF,212,1
Low Residential,R-1-6,1548,R-1-6,33,1
Low Residential,R-1-6,1549,R-1-6,33,1
Low Residential,PD,1550,PD__SF,212,1
Low Residential,PD,1551,PD__SF,212,1
Low Residential,PD,1552,PD__SF,212,1
Low Residential,PD,1553,PD__SF,212,1
Low Residential,R-1-6-H,1554,R-1-6-H,490,1
Low Residential,CO-H,1555,CO-H,957,0
Low Residential,PD,1556,PD__SF,212,1
Low Residential,PD,1557,PD__SF,212,1
Low Residential,PD,1558,PD__SF,212,1
Low Residential,PD,1559,PD__SF,212,1
Low Residential,PD,1560,PD__SF,212,1
Low Residential,R-1-6,1561,R-1-6,33,1
Low Residential,PD,1562,PD__SF,212,1
Low Residential,PD,1563,PD__SF,212,1
Low Residential,R-1-6,1564,R-1-6,33,1
Low Residential,PD,1565,PD__SF,212,1
Low Residential,PD,1566,PD__SF,212,1
Low Residential,R-1-6,1567,R-1-6,33,1
Low Residential,PD,1568,PD__SF,212,1
Low Residential,PD-H,1569,PD-H__SF,489,1
Low Residential,R-1-6,1570,R-1-6,33,1
Low Residential,CO,1571,CO,725,0
Low Residential,R-1-6,1572,R-1-6,33,1
Low Residential,PD-H,1573,PD-H__SF,489,1
Low Residential,R-3-18-H,1574,R-3-18-H,841,2
Low Residential,PD-H,1575,PD-H__SF,489,1
Low Residential,R-1-6,1576,R-1-6,33,1
Low Residential,PD,1577,PD__SF,212,1
Low Residential,PD-H,1578,PD-H__SF,489,1
Low Residential,R-1-6,1579,R-1-6,33,1
Low Residential,PD-H,1580,PD-H__SF,489,1
Low Residential,PD-H,1581,PD-H__SF,489,1
Low Residential,PD-H,1582,PD-H__SF,489,1
Low Residential,PD-H,1583,PD-H__SF,489,1
Low Residential,R-2-H,1584,R-2-H,957,2
Low Residential,R-1-6-H,1585,R-1-6-H,490,1
Low Residential,R-1-6,1586,R-1-6,33,1
Low Residential,PD,1587,PD__SF,212,1
Low Residential,PD,1588,PD__SF,212,1
Low Residential,R-1-6,1589,R-1-6,33,1
Low Residential,R-1-6,1590,R-1-6,33,1
Low Residential,PD,1591,PD__SF,212,1
Low Residential,PD,1592,PD__SF,212,1
Low Residential,PD,1593,PD__SF,212,1
Low Residential,R-3-18-H,1594,R-3-18-H,841,2
Low Residential,PD-H,1595,PD-H__SF,489,1
Low Residential,R-1-6-H,1596,R-1-6-H,490,1
Low Residential,CO-H,1597,CO-H,957,0
Low Residential,R-1-6,1598,R-1-6,33,1
Low Residential,R-1-6,1599,R-1-6,33,1
Low Residential,PD,1600,PD__SF,212,1
Low Residential,PD,1601,PD__SF,212,1
Low Residential,PD,1602,PD__SF,212,1
Low Residential,PD,1603,PD__SF,212,1
Low Residential,PD,1604,PD__SF,212,1
Low Residential,PD,1605,PD__SF,212,1
Low Residential,PD,1606,PD__SF,212,1
Low Residential,PD,1607,PD__SF,212,1
Low Residential,PD,1608,PD__SF,212,1
Low Residential,R-1-6,1609,R-1-6,33,1
Low Residential,PD,1610,PD__SF,212,1
Low Residential,R-1-6,1611,R-1-6,33,1
Low Residential,R-1-6,1612,R-1-6,33,1
Low Residential,R-1-6,1613,R-1-6,33,1
Low Residential,R-1-6,1614,R-1-6,33,1
Low Residential,R-1-6,1615,R-1-6,33,1
Low Residential,PD,1616,PD__SF,212,1
Low Residential,PD,1617,PD__SF,212,1
Low Residential,PD,1618,PD__SF,212,1
Low Residential,RR-40,1619,RR-40,8,1
Low Residential,RR-20,1620,RR-20,15,1
Low Residential,RR-20,1621,RR-20,15,1
Low Residential,R-1-6,1622,R-1-6,33,1
Low Residential,R-1-6-SA,1623,R-1-6-SA,611,1
Low Residential,R-1-6,1624,R-1-6,33,1
Low Residential,R-1-6,1625,R-1-6,33,1
Low Residential,R-1-6,1626,R-1-6,33,1
Low Residential,R-1-6,1627,R-1-6,33,1
Low Residential,R-1-6,1628,R-1-6,33,1
Low Residential,PD,1629,PD__SF,212,1
Low Residential,PD,1630,PD__SF,212,1
Low Residential,PD,1631,PD__SF,212,1
Low Residential,PD-H,1632,PD-H__SF,489,1
Low Residential,PD-H,1633,PD-H__SF,489,1
Low Residential,PD,1634,PD__SF,212,1
Low Residential,PD-H,1635,PD-H__SF,489,1
Low Residential,PD-H,1636,PD-H__SF,489,1
Low Residential,PD,1637,PD__SF,212,1
Low Residential,PD,1638,PD__SF,212,1
Low Residential,PD-H,1639,PD-H__SF,489,1
Low Residential,PD,1640,PD__SF,212,1
Low Residential,PD,1641,PD__SF,212,1
Low Residential,PD,1642,PD__SF,212,1
Low Residential,PD,1643,PD__SF,212,1
Low Residential,R-1-6,1644,R-1-6,33,1
Low Residential,PD,1645,PD__SF,212,1
Low Residential,R-1-6,1646,R-1-6,33,1
Low Residential,PD-RC,1647,PD-RC__SF,120,1
Low Residential,PD,1648,PD__SF,212,1
Low Residential,PD,1649,PD__SF,212,1
Low Residential,PD,1650,PD__SF,212,1
Low Residential,PD,1651,PD__SF,212,1
Low Residential,R-3-18,1652,R-3-18,136,2
Low Residential,R-3-18-SH,1653,R-3-18-SH,1048,2
Low Residential,R-1-6,1654,R-1-6,33,1
Low Residential,CG,1655,CG,138,0
Low Residential,CO,1656,CO,725,0
Low Residential,PD,1657,PD__SF,212,1
Low Residential,R-1-6,1658,R-1-6,33,1
Low Residential,PD,1659,PD__SF,212,1
Low Residential,PD,1660,PD__SF,212,1
Low Residential,PD,1661,PD__SF,212,1
Low Residential,PD,1662,PD__SF,212,1
Low Residential,PD,1663,PD__SF,212,1
Low Residential,R-1-6,1664,R-1-6,33,1
Low Residential,R-1-6,1665,R-1-6,33,1
Low Residential,R-1-6,1666,R-1-6,33,1
Low Residential,R-1-6,1667,R-1-6,33,1
Low Residential,R-1-6,1668,R-1-6,33,1
Low Residential,PD,1669,PD__SF,212,1
Low Residential,R-1-6,1670,R-1-6,33,1
Low Residential,R-1-6,1671,R-1-6,33,1
Low Residential,R-1-6,1672,R-1-6,33,1
Low Residential,R-1-6,1673,R-1-6,33,1
Low Residential,R-1-6,1674,R-1-6,33,1
Low Residential,PD,1675,PD__SF,212,1
Low Residential,R-1-6,1676,R-1-6,33,1
Low Residential,PD-H,1677,PD-H__SF,489,1
Low Residential,PD,1678,PD__SF,212,1
Low Residential,R-1-6,1679,R-1-6,33,1
Low Residential,PD,1680,PD__SF,212,1
Low Residential,PD,1681,PD__SF,212,1
Low Residential,PD-H,1682,PD-H__SF,489,1
Low Residential,PD,1683,PD__SF,212,1
Low Residential,PD-H,1684,PD-H__SF,489,1
Low Residential,PD-H,1685,PD-H__SF,489,1
Low Residential,R-1-6,1686,R-1-6,33,1
Low Residential,PD,1687,PD__SF,212,1
Low Residential,PD,1688,PD__SF,212,1
Low Residential,PD,1689,PD__SF,212,1
Low Residential,PD-H,1690,PD-H__SF,489,1
Low Residential,PD-RC,1691,PD-RC__SF,120,1
Low Residential,PD-H,1692,PD-H__SF,489,1
Low Residential,PD-H,1693,PD-H__SF,489,1
Low Residential,PD-H,1694,PD-H__SF,489,1
Low Residential,PD,1695,PD__SF,212,1
Low Residential,PD,1696,PD__SF,212,1
Low Residential,PD,1697,PD__SF,212,1
Low Residential,PD,1698,PD__SF,212,1
Low Residential,R-1-6,1699,R-1-6,33,1
Low Residential,R-1-6,1700,R-1-6,33,1
Low Residential,R-1-6,1701,R-1-6,33,1
Low Residential,R-1-6,1702,R-1-6,33,1
Low Residential,R-1-6,1703,R-1-6,33,1
Low Residential,PD,1704,PD__SF,212,1
Low Residential,PD-RC,1705,PD-RC__SF,120,1
Low Residential,R-1-6,1706,R-1-6,33,1
Low Residential,CO,1707,CO,725,0
Low Residential,PD,1708,PD__SF,212,1
Low Residential,PD,1709,PD__SF,212,1
Low Residential,PD,1710,PD__SF,212,1
Low Residential,R-1-6,1711,R-1-6,33,1
Low Residential,R-1-6,1712,R-1-6,33,1
Low Residential,R-1-6,1713,R-1-6,33,1
Low Residential,RR-20,1714,RR-20,15,1
Low Residential,PD,1715,PD__SF,212,1
Low Residential,PD,1716,PD__SF,212,1
Low Residential,R-1-6,1717,R-1-6,33,1
Low Residential,R-1-6,1718,R-1-6,33,1
Low Residential,CO,1719,CO,725,0
Low Residential,R-1-6,1720,R-1-6,33,1
Low Residential,R-1-6,1721,R-1-6,33,1
Low Residential,PD,1722,PD__SF,212,1
Low Residential,PD,1723,PD__SF,212,1
Low Residential,R-1-6,1724,R-1-6,33,1
Low Residential,R-2,1725,R-2,191,2
Low Residential,R-3-18-SA,1726,R-3-18-SA,152,2
Low Residential,R-1-6,1727,R-1-6,33,1
Low Residential,R-1-6,1728,R-1-6,33,1
Low Residential,R-1-6,1729,R-1-6,33,1
Low Residential,R-1-6,1730,R-1-6,33,1
Low Residential,R-1-6,1731,R-1-6,33,1
Low Residential,R-1-6,1732,R-1-6,33,1
Low Residential,R-1-6,1733,R-1-6,33,1
Low Residential,PD-SA,1734,PD-SA__SF,1089,1
Low Residential,PD,1735,PD__SF,212,1
Low Residential,R-1-6,1736,R-1-6,33,1
Low Residential,PD-H,1737,PD-H__SF,489,1
Low Residential,PD-H,1738,PD-H__SF,489,1
Low Residential,PD-H,1739,PD-H__SF,489,1
Low Residential,PD-H,1740,PD-H__SF,489,1
Low Residential,PD-H,1741,PD-H__SF,489,1
Low Residential,PD,1742,PD__SF,212,1
Low Residential,CG,1743,CG,138,0
Low Residential,R-1-6,1744,R-1-6,33,1
Low Residential,CO,1745,CO,725,0
Low Residential,R-1-6,1746,R-1-6,33,1
Low Residential,R-2,1747,R-2,191,2
Low Residential,R-2,1748,R-2,191,2
Low Residential,R-1-6,1749,R-1-6,33,1
Low Residential,R-1-6,1750,R-1-6,33,1
Low Residential,R-1-6,1751,R-1-6,33,1
Low Residential,R-1-6,1752,R-1-6,33,1
Low Residential,RR-20,1753,RR-20,15,1
Low Residential,PD,1754,PD__SF,212,1
Low Residential,R-1-6,1755,R-1-6,33,1
Low Residential,R-3-15,1756,R-3-15,170,2
Low Residential,R-3-18,1757,R-3-18,136,2
Low Residential,R-1-6,1758,R-1-6,33,1
Low Residential,R-1-6,1759,R-1-6,33,1
Low Residential,CO,1760,CO,725,0
Low Residential,PD,1761,PD__SF,212,1
Low Residential,PD,1762,PD__SF,212,1
Low Residential,PD,1763,PD__SF,212,1
Low Residential,PD,1764,PD__SF,212,1
Low Residential,PD,1765,PD__SF,212,1
Low Residential,R-1-6,1766,R-1-6,33,1
Low Residential,R-2,1767,R-2,191,2
Low Residential,R-1-6,1768,R-1-6,33,1
Low Residential,R-1-6,1769,R-1-6,33,1
Low Residential,R-1-6,1770,R-1-6,33,1
Low Residential,R-1-6,1771,R-1-6,33,1
Low Residential,R-2,1772,R-2,191,2
Low Residential,PD,1773,PD__SF,212,1
Low Residential,PD,1774,PD__SF,212,1
Low Residential,PD-RC,1775,PD-RC__SF,120,1
Low Residential,PD-RC,1776,PD-RC__SF,120,1
Low Residential,PD-RC,1777,PD-RC__SF,120,1
Low Residential,R-1-6,1778,R-1-6,33,1
Low Residential,R-1-6,1779,R-1-6,33,1
Low Residential,R-1-6,1780,R-1-6,33,1
Low Residential,RR-40,1781,RR-40,8,1
Low Residential,PD-H,1782,PD-H__SF,489,1
Low Residential,PD-H,1783,PD-H__SF,489,1
Low Residential,PD-H,1784,PD-H__SF,489,1
Low Residential,PD-H,1785,PD-H__SF,489,1
Low Residential,R-1-6,1786,R-1-6,33,1
Low Residential,CO,1787,CO,725,0
Low Residential,PD-H,1788,PD-H__SF,489,1
Low Residential,PD-H,1789,PD-H__SF,489,1
Low Residential,PD-H,1790,PD-H__SF,489,1
Low Residential,PD-H,1791,PD-H__SF,489,1
Low Residential,PD,1792,PD__SF,212,1
Low Residential,PD,1793,PD__SF,212,1
Low Residential,PD,1794,PD__SF,212,1
Low Residential,PD,1795,PD__SF,212,1
Low Residential,PD,1796,PD__SF,212,1
Low Residential,PD,1797,PD__SF,212,1
Low Residential,R-1-6,1798,R-1-6,33,1
Low Residential,R-2,1799,R-2,191,2
Low Residential,PD,1800,PD__SF,212,1
Low Residential,R-1-6,1801,R-1-6,33,1
Low Residential,R-2,1802,R-2,191,2
Low Residential,R-1-6,1803,R-1-6,33,1
Low Residential,R-2,1804,R-2,191,2
Low Residential,R-1-6,1805,R-1-6,33,1
Low Residential,R-1-6,1806,R-1-6,33,1
Low Residential,PD,1807,PD__SF,212,1
Low Residential,R-1-6,1808,R-1-6,33,1
Low Residential,PD,1809,PD__SF,212,1
Low Residential,R-1-6,1810,R-1-6,33,1
Low Residential,R-1-6,1811,R-1-6,33,1
Low Residential,R-1-6,1812,R-1-6,33,1
Low Residential,R-1-6,1813,R-1-6,33,1
Low Residential,R-1-6,1814,R-1-6,33,1
Low Residential,R-1-6,1815,R-1-6,33,1
Low Residential,R-2,1816,R-2,191,2
Low Residential,R-1-6,1817,R-1-6,33,1
Low Residential,PD,1818,PD__SF,212,1
Low Residential,R-1-6,1819,R-1-6,33,1
Low Residential,R-1-6,1820,R-1-6,33,1
Low Residential,R-2,1821,R-2,191,2
Low Residential,R-2,1822,R-2,191,2
Low Residential,R-2,1823,R-2,191,2
Low Residential,R-1-6,1824,R-1-6,33,1
Low Residential,R-1-6,1825,R-1-6,33,1
Low Residential,R-1-6,1826,R-1-6,33,1
Low Residential,R-1-6,1827,R-1-6,33,1
Low Residential,PD,1828,PD__SF,212,1
Low Residential,R-1-6,1829,R-1-6,33,1
Low Residential,PD,1830,PD__SF,212,1
Low Residential,R-1-6,1831,R-1-6,33,1
Low Residential,R-3-18-RC,1832,R-3-18-RC,836,2
Low Residential,RR-40-RC,1833,RR-40-RC,197,1
Low Residential,RR-40-RC,1834,RR-40-RC,197,1
Low Residential,PD-RC,1835,PD-RC__SF,120,1
Low Residential,RR-40-SR-RC,1836,RR-40-SR-RC,1143,1
Low Residential,County RR-40,1837,County RR-40,1144,3
Low Residential,RR-40,1838,RR-40,8,1
Low Residential,RR-20,1839,RR-20,15,1
Low Residential,R-1-6,1840,R-1-6,33,1
Low Residential,R-1-6,1841,R-1-6,33,1
Low Residential,PD-H,1842,PD-H__SF,489,1
Low Residential,PD,1843,PD__SF,212,1
Low Residential,R-1-6,1844,R-1-6,33,1
Low Residential,R-1-6,1845,R-1-6,33,1
Low Residential,R-2,1846,R-2,191,2
Low Residential,R-1-6,1847,R-1-6,33,1
Low Residential,R-1-6,1848,R-1-6,33,1
Low Residential,R-1-6,1849,R-1-6,33,1
Low Residential,R-2,1850,R-2,191,2
Low Residential,R-3-15,1851,R-3-15,170,2
Low Residential,R-3-15,1852,R-3-15,170,2
Low Residential,R-1-6,1853,R-1-6,33,1
Low Residential,R-1-6,1854,R-1-6,33,1
Low Residential,PD,1855,PD__SF,212,1
Low Residential,PD,1856,PD__SF,212,1
Low Residential,PD,1857,PD__SF,212,1
Low Residential,PD,1858,PD__SF,212,1
Low Residential,PD,1859,PD__SF,212,1
Low Residential,PD,1860,PD__SF,212,1
Low Residential,CG,1861,CG,138,0
Low Residential,CO,1862,CO,725,0
Low Residential,OSC,1863,OSC,88,0
Low Residential,PD,1864,PD__SF,212,1
Low Residential,R-1-6,1865,R-1-6,33,1
Low Residential,R-3-18,1866,R-3-18,136,2
Low Residential,R-1-6,1867,R-1-6,33,1
Low Residential,RR-20,1868,RR-20,15,1
Low Residential,RR-40,1869,RR-40,8,1
Low Residential,PD,1870,PD__SF,212,1
Low Residential,PD,1871,PD__SF,212,1
Low Residential,R-2,1872,R-2,191,2
Low Residential,R-2,1873,R-2,191,2
Low Residential,R-1-6,1874,R-1-6,33,1
Low Residential,R-1-6,1875,R-1-6,33,1
Low Residential,R-1-6,1876,R-1-6,33,1
Low Residential,R-2,1877,R-2,191,2
Low Residential,R-3-15,1878,R-3-15,170,2
Low Residential,R-1-6,1879,R-1-6,33,1
Low Residential,R-1-6,1880,R-1-6,33,1
Low Residential,R-1-6,1881,R-1-6,33,1
Low Residential,R-1-6,1882,R-1-6,33,1
Low Residential,RR-40,1883,RR-40,8,1
Low Residential,RR-40,1884,RR-40,8,1
Low Residential,RR-40,1885,RR-40,8,1
Low Residential,PD,1886,PD__SF,212,1
Low Residential,CN,1887,CN,196,0
Low Residential,PD,1888,PD__SF,212,1
Low Residential,PD,1889,PD__SF,212,1
Low Residential,PD,1890,PD__SF,212,1
Low Residential,PD,1891,PD__SF,212,1
Low Residential,PD,1892,PD__SF,212,1
Low Residential,R-1-6,1893,R-1-6,33,1
Low Residential,PD,1894,PD__SF,212,1
Low Residential,PD,1895,PD__SF,212,1
Low Residential,R-1-6,1896,R-1-6,33,1
Low Residential,R-1-6,1897,R-1-6,33,1
Low Residential,R-1-6,1898,R-1-6,33,1
Low Residential,R-1-6,1899,R-1-6,33,1
Low Residential,R-1-6,1900,R-1-6,33,1
Low Residential,PI,1901,PI,83,0
Low Residential,RR-40,1902,RR-40,8,1
Low Residential,PD,1903,PD__SF,212,1
Low Residential,PD,1904,PD__SF,212,1
Low Residential,PD,1905,PD__SF,212,1
Low Residential,PD,1906,PD__SF,212,1
Low Residential,PD,1907,PD__SF,212,1
Low Residential,R-1-6,1908,R-1-6,33,1
Low Residential,PD,1909,PD__SF,212,1
Low Residential,PD,1910,PD__SF,212,1
Low Residential,R-1-6,1911,R-1-6,33,1
Low Residential,R-1-6,1912,R-1-6,33,1
Low Residential,CN,1913,CN,196,0
Low Residential,R-1-6,1914,R-1-6,33,1
Low Residential,R-1-6,1915,R-1-6,33,1
Low Residential,R-1-9,1916,R-1-9,291,1
Low Residential,R-1-6,1917,R-1-6,33,1
Low Residential,PD,1918,PD__SF,212,1
Low Residential,R-1-6,1919,R-1-6,33,1
Low Residential,R-1-6,1920,R-1-6,33,1
Low Residential,PD,1921,PD__SF,212,1
Low Residential,PD,1922,PD__SF,212,1
Low Residential,PD,1923,PD__SF,212,1
Low Residential,R-1-6,1924,R-1-6,33,1
Low Residential,R-1-6,1925,R-1-6,33,1
Low Residential,R-1-6,1926,R-1-6,33,1
Low Residential,PD,1927,PD__SF,212,1
Low Residential,PD,1928,PD__SF,212,1
Low Residential,PD,1929,PD__SF,212,1
Low Residential,PD,1930,PD__SF,212,1
Low Residential,PD,1931,PD__SF,212,1
Low Residential,PD,1932,PD__SF,212,1
Low Residential,PD,1933,PD__SF,212,1
Low Residential,R-1-6,1934,R-1-6,33,1
Low Residential,R-1-6,1935,R-1-6,33,1
Low Residential,Pre-Zone R-3-18,1936,Pre-Zone R-3-18,1197,3
Low Residential,Pre-Zone R-3-18-SA,1937,Pre-Zone R-3-18-SA,1197,3
Low Residential,R-1-6,1938,R-1-6,33,1
Low Residential,R-1-6,1939,R-1-6,33,1
Low Residential,CG,1940,CG,138,0
Low Residential,PD,1941,PD__SF,212,1
Low Residential,PD,1942,PD__SF,212,1
Low Residential,PD,1943,PD__SF,212,1
Low Residential,R-1-6,1944,R-1-6,33,1
Low Residential,PD,1945,PD__SF,212,1
Low Residential,R-2-SA,1946,R-2-SA,1201,2
Low Residential,R-1-6,1947,R-1-6,33,1
Low Residential,PD,1948,PD__SF,212,1
Low Residential,R-1-6,1949,R-1-6,33,1
Low Residential,PI,1950,PI,83,0
Low Residential,PD,1951,PD__SF,212,1
Low Residential,R-1-6,1952,R-1-6,33,1
Low Residential,PD,1953,PD__SF,212,1
Low Residential,PD,1954,PD__SF,212,1
Low Residential,PD,1955,PD__SF,212,1
Low Residential,PD,1956,PD__SF,212,1
Low Residential,PD,1957,PD__SF,212,1
Low Residential,PD,1958,PD__SF,212,1
Low Residential,Pre-Zone R-3-18-SA,1959,Pre-Zone R-3-18-SA,1197,3
Low Residential,R-1-6,1960,R-1-6,33,1
Low Residential,PD,1961,PD__SF,212,1
Low Residential,PD,1962,PD__SF,212,1
Low Residential,PD,1963,PD__SF,212,1
Low Residential,R-1-6-SR,1964,R-1-6-SR,322,1
Low Residential,R-1-6,1965,R-1-6,33,1
Low Residential,R-1-15,1966,R-1-15,197,1
Low Residential,R-1-6,1967,R-1-6,33,1
Low Residential,R-1-6,1968,R-1-6,33,1
Low Residential,R-1-6,1969,R-1-6,33,1
Low Residential,PD,1970,PD__SF,212,1
Low Residential,PD,1971,PD__SF,212,1
Low Residential,PD,1972,PD__SF,212,1
Low Residential,R-1-6,1973,R-1-6,33,1
Low Residential,RR-40-SR,1974,RR-40-SR,1218,1
