id,gnrl_p_,city_nm,zoning
138,621 - Low/Medium Density Residential,east palo alto,1
139,621 - Low/Medium Density Residential,east palo alto,1
140,621 - Low/Medium Density Residential,east palo alto,1
141,621 - Low/Medium Density Residential,east palo alto,1
142,621 - Low/Medium Density Residential,east palo alto,1
143,621 - Low/Medium Density Residential,east palo alto,1
144,621 - Low/Medium Density Residential,east palo alto,1
145,621 - Low/Medium Density Residential,east palo alto,1
146,621 - Low/Medium Density Residential,east palo alto,1
147,621 - Low/Medium Density Residential,east palo alto,1
148,621 - Low/Medium Density Residential,east palo alto,1
149,621 - Low/Medium Density Residential,east palo alto,1
150,621 - Low/Medium Density Residential,east palo alto,1
151,621 - Low/Medium Density Residential,east palo alto,1
152,621 - Low/Medium Density Residential,east palo alto,1
153,621 - Low/Medium Density Residential,east palo alto,1
154,621 - Low/Medium Density Residential,east palo alto,1
155,621 - Low/Medium Density Residential,east palo alto,1
156,621 - Low/Medium Density Residential,east palo alto,1
157,621 - Low/Medium Density Residential,east palo alto,1
158,621 - Low/Medium Density Residential,east palo alto,1
159,621 - Low/Medium Density Residential,east palo alto,1
160,621 - Low/Medium Density Residential,east palo alto,1
161,621 - Low/Medium Density Residential,east palo alto,1
162,621 - Low/Medium Density Residential,east palo alto,1
163,621 - Low/Medium Density Residential,east palo alto,1
164,621 - Low/Medium Density Residential,east palo alto,1
165,621 - Low/Medium Density Residential,east palo alto,1
166,621 - Low/Medium Density Residential,east palo alto,1
167,621 - Low/Medium Density Residential,east palo alto,1
168,621 - Low/Medium Density Residential,east palo alto,1
169,621 - Low/Medium Density Residential,east palo alto,1
170,621 - Low/Medium Density Residential,east palo alto,1
171,621 - Low/Medium Density Residential,east palo alto,1
172,621 - Low/Medium Density Residential,east palo alto,1
173,621 - Low/Medium Density Residential,east palo alto,1
174,621 - Low/Medium Density Residential,east palo alto,1
175,621 - Low/Medium Density Residential,east palo alto,1
176,621 - Low/Medium Density Residential,east palo alto,1
177,621 - Low/Medium Density Residential,east palo alto,1
178,621 - Low/Medium Density Residential,east palo alto,1
179,621 - Low/Medium Density Residential,east palo alto,1
180,621 - Low/Medium Density Residential,east palo alto,1
181,621 - Low/Medium Density Residential,east palo alto,1
182,621 - Low/Medium Density Residential,east palo alto,1
183,621 - Low/Medium Density Residential,east palo alto,1
184,621 - Low/Medium Density Residential,east palo alto,1
185,621 - Low/Medium Density Residential,east palo alto,1
186,621 - Low/Medium Density Residential,east palo alto,1
187,621 - Low/Medium Density Residential,east palo alto,1
188,621 - Medium/High Density Residential,east palo alto,2
189,621 - Medium/High Density Residential,east palo alto,2
190,621 - Medium/High Density Residential,east palo alto,2
191,621 - Medium/High Density Residential,east palo alto,2
192,621 - Medium/High Density Residential,east palo alto,2
193,621 - Medium/High Density Residential,east palo alto,2
194,621 - Medium/High Density Residential,east palo alto,2
195,621 - Medium/High Density Residential,east palo alto,2
196,621 - Medium/High Density Residential,east palo alto,2
197,621 - Medium/High Density Residential,east palo alto,2
198,621 - Medium/High Density Residential,east palo alto,2
199,621 - Medium/High Density Residential_SF,east palo alto,1
200,621 - Medium/High Density Residential,east palo alto,2
201,621 - Medium/High Density Residential,east palo alto,2
202,621 - Medium/High Density Residential_SF,east palo alto,1
203,621 - Medium/High Density Residential_SF,east palo alto,1
204,621 - Neighborhood Commercial,east palo alto,0
205,621 - Neighborhood Commercial,east palo alto,0
206,621 - Neighborhood Commercial,east palo alto,0
207,621 - Neighborhood Commercial,east palo alto,0
208,621 - Neighborhood Commercial_MF,east palo alto,2
209,621 - Neighborhood Commercial_MF,east palo alto,2
210,621 - Neighborhood Commercial,east palo alto,0
211,621 - Neighborhood Commercial,east palo alto,0
212,621 - Neighborhood Commercial,east palo alto,0
213,621 - Neighborhood Commercial,east palo alto,0
214,621 - Neighborhood Commercial,east palo alto,0
215,621 - Neighborhood Commercial,east palo alto,0
216,621 - Neighborhood Commercial,east palo alto,0
217,621 - Neighborhood Commercial,east palo alto,0
218,621 - Office,east palo alto,0
219,621 - Office,east palo alto,0
220,621 - Office,east palo alto,0
221,621 - Resource Management,east palo alto,0
222,621 - Resource Management,east palo alto,0
223,621 - Resource Management,east palo alto,0
224,621 - Resource Management,east palo alto,0
225,621 - Resource Management,east palo alto,0
999,621 - Medium/High Density Residential_SF,east palo alto,1
998,621 - Low/Medium Density Residential,east palo alto,1
