FID_1,DATE_CREAT,DATE_UPDAT,EDITOR,SPECIFICPL,PRIMARY_ZO,COMBINING_,COMBININ_1,COMBININ_2,COMBININ_3,YARD_REQUI,AREAPLAN,PD_ZU_NUMB,MBSA_ACRE,MBSA_SQFT,MEDIAN_LOT,FRONT_YARD,SIDE_YARD,LABEL,Notes,GlobalID,SHAPE_Leng,SHAPE_Area,Zoning
1732,2003-01-01,2012-11-02,ppa,NA,R1,L,BE,CSU,RV,5 Ac. MBSA 100' MLW 30' FY,NA,NA,5,NA,NA,NA,NA,R1-L-BE-CSU-RV,NA,{F3111BFF-4F00-4E5B-9914-FC0101DF933C},9.21364819519e-4,5.2198662e-8,1
1733,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{9BEBE933-4986-46CB-8548-F5F866DB31A4},0.00499268101964,6.50684865e-7,NA
1734,2003-01-01,NA,C1,NA,R1,L,BE,NA,NA,5 Ac. M.B.S.A. 300' M.L.W. 30' F.Y.,NA,NA,NA,NA,NA,NA,NA,R1-L-BE,NA,{AF43472A-B4C9-40AA-B4D8-97AD6B8DA9E0},0.001370359523659,1.14364588e-7,1
1735,2011-04-27,2011-04-27,C1,NA,R1,L,BE,NA,NA,5 Ac. M.B.S.A. 300' M.L.W. 30' F.Y.,NA,NA,NA,NA,NA,NA,NA,R1-L-BE,NA,{D9EDB03C-E43B-46F1-AD88-9FF364BD3041},0.060778683013251,1.70723896707e-4,1
1736,2010-12-27,2010-12-27,C1,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{ADA21876-2E8F-46B9-8623-93B772E07B30},0.007560634585871,1.33448991e-6,1
1737,2010-12-27,2010-12-27,C1,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{2F3F3605-DF5D-4300-A100-379F271E741F},0.002210188837275,3.01966982e-7,1
1738,2010-12-27,2010-12-27,C1,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{088DB9C6-B2F1-4EEB-A483-340185EA2F58},0.001570666198336,1.40695313e-7,1
1739,2011-01-03,2011-01-03,C1,NA,PD,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,PD-1985,NA,{1933AD91-CD82-4D21-83AB-D7C34B4837DC},0.008586678474036,1.563774591e-6,NA
1740,2011-01-03,2011-01-03,C1,NA,PD,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,PD-1985,NA,{4D96789F-1333-46B0-9C78-203BB845D154},0.004927696821145,1.240337902e-6,NA
1741,2011-01-03,2011-01-03,C1,NA,PD,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,PD-1985,NA,{F4FD0B62-55B4-4B57-BB54-9C278DBDEBED},0.001387984904537,1.21202576e-7,NA
1742,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{30001481-F0AA-44AC-BCE3-CFB4171E67F5},0.020337433486258,4.788496907e-6,1
1743,2003-01-01,NA,C1,NA,CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO,NA,{69D3538B-D866-420C-B989-BFF8D7216499},0.003845957024192,5.48935083e-7,NA
