FID_1,DATE_CREAT,DATE_UPDAT,EDITOR,SPECIFICPL,PRIMARY_ZO,COMBINING_,COMBININ_1,COMBININ_2,COMBININ_3,YARD_REQUI,AREAPLAN,PD_ZU_NUMB,MBSA_ACRE,MBSA_SQFT,MEDIAN_LOT,FRONT_YARD,SIDE_YARD,LABEL,Notes,GlobalID,SHAPE_Leng,SHAPE_Area,Zoning
1,2011-03-04,2011-03-04,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{773D08D1-DAAC-4BD8-976F-C279C45A6B0D},0.007004149512659,6.29835124e-7,1
2,2011-03-04,2011-03-04,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{50FEA66F-884E-4451-8C0A-B632C909E72A},0.012348014706416,2.316497142e-6,1
3,2011-03-04,2011-03-04,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{14A62684-F1E7-4B47-A5B8-3BE97FAD8319},0.004952144538275,3.59523868e-7,1
4,2011-03-04,2011-03-04,C1,CVCBD,S02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCBD-S02,NA,{D5B92E5A-E8D9-443C-AC16-CFF0619912D5},0.007752132842525,3.235652968e-6,NA
5,2011-03-04,2011-03-04,C1,CVCBD,S02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCBD-S02,NA,{B9EDAE32-9328-46AF-90F3-F98871AA792A},0.008148936106286,4.011277104e-6,NA
6,2011-03-04,2011-03-04,C1,CVCBD,S11W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCBD-S11W,NA,{56B24ACC-FF07-4082-9363-76C1C2FC9B3E},6.7454585221e-5,3.757e-12,NA
7,2011-03-14,2011-03-14,C1,NA,R1,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-RV,NA,{51A11FD5-50C7-4A66-AC11-8B663CD8BBB2},0.005079417036597,7.3510356e-7,1
8,2011-03-15,2011-03-15,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{C49A0217-C128-4164-91B5-077BEFDDDD09},0.006410279956885,8.86928315e-7,1
9,2011-03-15,2011-03-15,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{2FE46E3B-18E5-4812-94D3-19B60460A0F3},0.002155086361071,2.48686134e-7,1
10,2011-03-15,2011-03-15,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{6EB37B74-67B0-4AB7-A581-F241D89CB805},0.005709817722262,9.19042273e-7,1
11,2011-03-15,2011-03-15,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{A128E410-0151-45C5-A274-743AD53A97AC},0.006120956827686,1.479507824e-6,1
12,2011-03-15,2011-03-15,C1,NA,R1,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-RV,NA,{0AD6B38C-8470-416E-98AE-86C93E226A3C},0.005844809673989,8.94125951e-7,1
13,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{CE411EAA-5850-4491-BFCB-C21DA87CD961},0.013250639534647,3.584395324e-6,1
14,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{2F956229-3535-42E5-8068-E4EC8723EE56},0.00469437134392,7.17201389e-7,1
15,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{E6ABA279-6021-4EBC-B91F-4115591E4861},0.002097985251874,2.14922001e-7,1
16,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{275AC858-4F69-4F11-88A7-973619EB2BC7},0.004117818160346,9.05104706e-7,1
17,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{468ED2A1-0DDC-42BF-9EAA-9FDFC4ADB6A3},0.010070215367999,2.535107934e-6,1
18,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{01E6E6DA-83B6-4875-8873-7623F3E692E4},0.0089397567234,1.780187553e-6,1
19,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{62B5679F-0E17-4C75-B888-F710C89B948B},0.007589859541759,1.62085273e-6,1
20,2011-03-18,2011-03-18,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{445C6F60-52B7-4BB7-B176-581B4B165597},0.005626629676307,1.358805207e-6,1
21,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{0B4EFB0B-1D1D-4B3F-BBB3-1F1EBC84B1EF},0.010400636949194,3.16236751e-6,1
22,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{27C46461-983C-41DA-B139-4FF734411BA2},0.005896169787679,1.237250162e-6,1
23,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{5E276305-4039-4108-827E-3AED590AF72B},0.004534909153199,6.07133609e-7,1
24,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{58DD6F4B-D61D-4660-87E5-C0CD4622FAF7},0.028027941175355,6.302120099e-6,1
25,2011-03-25,2011-03-25,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{47C1C16E-3BED-4423-9E8D-416AE270D170},0.014661780194468,9.996886719e-6,1
26,2011-03-25,2011-03-25,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{7659A16D-7BA9-40FF-8962-9DD0243A0EAC},0.007281364950215,2.410313201e-6,1
27,2003-01-01,NA,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{C41728B6-0B65-450F-9BEC-1904DE804B4B},0.007726595200741,1.870273334e-6,1
28,2009-07-31,2009-07-31,C1,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,NA,{192597A7-CF93-4EF2-9CD0-5E17F8CAE24A},0.002935863800488,3.92958959e-7,2
29,2009-07-31,2009-07-31,C1,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS,NA,{9935D670-CE23-4CE5-B3F0-B514B50502B0},0.002920267716504,3.84848764e-7,2
30,2003-01-01,2008-02-19,C1,NA,PD,NA,NA,NA,NA,NA,SLAP,2065,NA,NA,NA,NA,NA,PD-2065,NA,{15ED5B04-36AD-45E7-A610-25195CA8F914},0.070708445191734,6.8780699541e-5,NA
31,2003-01-01,NA,C1,NA,M1,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M1-X,NA,{E7B259A1-8395-4B29-A28E-275066BDB202},0.010495370947457,4.181497406e-6,NA
32,2003-01-01,NA,C1,NA,A,CA,NA,NA,NA,NA,SLAP,NA,NA,NA,NA,NA,NA,A-CA,NA,{7864FAD1-5945-468C-8AAC-F04399313969},0.031917198203722,2.7906964596e-5,NA
33,2003-01-01,NA,C1,NA,A,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A-CA,NA,{0CC0C12D-23F1-4FB6-A20B-ACDA8AD72F88},0.015108231253986,9.732762699e-6,NA
34,2003-01-01,NA,C1,NA,A,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A-CA,NA,{E6ECBA39-51B0-4FCC-8191-E9E8B64F99C7},0.03109643343417,5.9893125223e-5,NA
35,2003-01-01,2008-03-24,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{9B5E2E2B-4BFA-4773-A444-EF4B28847AA4},0.048535329588689,1.04600510537e-4,NA
36,2003-01-01,2008-03-24,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{058FDF83-E44C-453C-9038-2C7A3BEC3F27},0.025133300099391,2.4936230768e-5,NA
37,2003-01-01,2008-03-24,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{C7F98F48-21A7-48D5-8521-0BB5BDBAFA7E},0.031607914507228,6.2329615244e-5,NA
38,2003-01-01,2012-12-11,ppa,NA,R1,B10,NA,NA,NA,100' MLW 30' FY 15' SY,NA,NA,NA,NA,NA,NA,NA,R1-B10,NA,{A0AED55A-D739-40EC-B7CF-5C8672A764EF},0.006338130670504,2.157927243e-6,1
39,2003-01-01,NA,C1,NA,RS,D3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS-D3,NA,{832C5361-E25D-4F8B-9736-7755B873D90C},6.548344971e-6,2.12e-13,2
40,2003-01-01,2012-07-17,ppa,CVCBD,S04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCBD-S04,NA,{43111201-0306-44B0-8B3C-D4F1D85D9778},0.001746328927682,1.71936046e-7,NA
41,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{4A7EE3B1-363A-4733-A1A1-90BC058A2F5A},0.002864886912596,4.35676252e-7,1
42,2003-01-01,NA,C1,NA,RS,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS-CSU-RV,NA,{C6F9E644-EEB8-46D5-B672-0DB6AF6F939B},0.012632304912861,5.004718606e-6,2
43,2011-01-25,2011-01-25,C1,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{4516F517-3B90-45A3-A539-09678F8573A1},0.004941611779331,9.84771018e-7,1
44,2011-01-25,2011-01-25,C1,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{4C036C60-F5AB-403F-B0CB-6ECD2E7369F7},0.006613479454673,2.367262263e-6,1
45,2011-01-26,2011-01-26,C1,FASP,R1,BE,NA,NA,NA,6000 sq.ft. M.B.S.A. 60' M.L.W. 20' F.Y. 7' S.Y.,NA,NA,NA,NA,NA,NA,NA,FASP-R1-BE,NA,{922E2810-05C8-4F5E-BC4A-D25ED5F8D7D1},0.00502388043068,1.410643511e-6,1
46,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{F573922A-412C-43C3-A8C9-8246572A558F},0.01067048381885,3.355771915e-6,1
47,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{73FF860A-5CFC-4C65-80B4-3663EC628FDF},0.003965287233192,8.91234138e-7,1
48,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{39D6EECC-3FCD-4F0D-9886-9F049AD474D2},0.011888515341318,4.636224419e-6,1
49,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{1AE7A103-54E2-4F15-9C11-57ACD9A33B6B},0.005889594889375,2.024651153e-6,1
50,2003-01-01,NA,C1,NA,PD,NA,NA,NA,NA,NA,NA,1942,NA,NA,NA,NA,NA,PD-1942,NA,{90F1B876-3FCC-4DA2-9E27-148A4AE44676},0.007114562906164,2.217661039e-6,NA
51,2003-01-01,2013-08-27,ppa,NA,PD,NA,NA,NA,NA,NA,NA,1291,NA,NA,NA,NA,NA,PD-1291,NA,{F5177BEA-F6B8-4A75-BCB9-F69E35CF4734},0.010165473385538,4.76331473e-6,NA
52,2003-01-01,2012-12-12,ppa,NA,R1,B40,NA,NA,NA,150' MLW 30' FY 20' SY,NA,NA,NA,NA,NA,NA,NA,R1-B40,NA,{2DE9DB44-4B27-4EAD-83FB-DDFA53697E72},0.003233567967516,4.20907265e-7,1
53,2003-01-01,NA,C1,NA,PD,NA,NA,NA,NA,NA,NA,1669,NA,NA,NA,NA,NA,PD-1669,NA,{CB71F8DE-3A8E-4C7E-8892-DC0DD5B570C2},0.008803271545887,3.51560462e-6,NA
54,2003-01-01,NA,C1,NA,R1,BE,NA,NA,NA,1 ACRE M.B.S.A. 150' M.A.W. 30' F.Y. 20' S.Y.,NA,NA,NA,NA,NA,NA,NA,R1-BE,NA,{670390AE-0285-4EEE-812F-7A2031ED6F3E},0.01342115314219,7.469467664e-6,1
55,2011-03-28,2011-03-28,C1,NA,R1,BE,CSU,RV,NA,6500 sq. ft. 65' M.L.W.,NA,NA,NA,NA,NA,NA,NA,R1-BE-CSU-RV,NA,{A4916703-2967-43BD-A979-0BDDB5A2763F},0.00504630636532,1.065994515e-6,1
56,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{64856820-5A9E-4FFD-BF45-C1B2B51E6F8E},0.012154006485472,4.479717063e-6,1
57,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{4ADD9C51-2002-490D-A01D-6AD01959164F},8.9353323455e-5,1.311e-12,1
58,2003-01-01,2013-03-25,ppa,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{BBE3DFD6-B17E-495D-B3F3-3749B2EBCAA9},0.004615610604282,1.36899147e-6,1
59,2003-01-01,2012-11-05,ppa,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{CF36CD25-C11D-44F8-B09F-F7B292CE5883},0.006558340908122,2.285714934e-6,1
60,2011-05-17,2011-05-17,C1,NA,A,CA,NA,NA,NA,NA,SLAP,NA,NA,NA,NA,NA,NA,A-CA,NA,{BF465D40-1570-411D-9FD7-344C21C149BC},0.0259545033089,4.1980274261e-5,NA
61,2011-05-18,2011-05-18,C1,NA,A,CA,NA,NA,NA,NA,SLAP,NA,NA,NA,NA,NA,NA,A-CA,NA,{C7407C2F-EE50-4AE5-814D-E819D52DE92A},0.024299995218801,2.3774817645e-5,NA
62,2011-05-20,2011-05-20,C1,NA,R1,L,BE,NA,NA,5 Ac. M.B.S.A. 150' M.L.W. 30' F.Y.,NA,NA,NA,NA,NA,NA,NA,R1-L-BE,NA,{31FC8C7D-A794-4081-A55C-4CD90F0085AC},0.024261659790973,2.0063272166e-5,1
63,2011-05-23,2011-05-23,C1,NA,R1,L,BE,NA,NA,5 Ac.M.B.S.A. 150' M.L.W. 30' F.Y.,NA,NA,NA,NA,NA,NA,NA,R1-L-BE,NA,{5A204A7C-FA60-4AE9-B30C-680D3327DCEB},0.005736984361365,1.972133906e-6,1
64,2011-05-20,2011-05-20,C1,NA,A,CA,NA,NA,NA,NA,SLAP,NA,NA,NA,NA,NA,NA,A-CA,NA,{5F38670D-814E-4EB1-A90A-30AD725A3CF4},0.023547221641113,3.299046986e-5,NA
65,2011-05-23,2011-05-23,C1,NA,R1,L,BE,NA,NA,5 Ac.M.B.S.A,NA,NA,NA,NA,NA,NA,NA,R1-L-BE,NA,{D0D6E4DA-275B-48FC-9DDD-8699142E7ADA},0.002104402927027,2.65451572e-7,1
66,2011-05-23,2011-05-23,C1,NA,R1,L,BE,NA,NA,5 Ac.M.B.S.A,NA,NA,NA,NA,NA,NA,NA,R1-L-BE,NA,{D9866F35-2508-450A-B3AE-FC01ABE30FB7},0.007721608688831,2.722096716e-6,1
67,2011-03-28,2011-03-28,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{3DB0E620-1DFB-46DF-A807-A3B848DC374A},0.004623087427667,1.140139474e-6,1
68,2011-03-28,2011-03-28,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{B2AE5FA8-A54D-431F-864D-A329F4D23815},0.006850757857775,2.606144503e-6,1
69,2011-03-28,2011-03-28,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{CCB0BC72-C8E1-4066-9CF2-59030B473744},0.003253959416668,5.08171777e-7,1
70,2011-03-28,2011-03-28,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{BADA989B-4439-4EAA-9559-0994232A094C},0.005945644972006,1.587217382e-6,1
71,2011-03-28,2011-03-28,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{99E01CAC-4C54-4810-8C42-E8D6E8B456AF},0.004247016312437,1.070306076e-6,1
72,2011-03-28,2011-03-28,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{7D1543A5-9C42-4AB8-A061-27465139DE83},0.001675777161852,1.44198745e-7,1
73,2011-03-28,2011-03-28,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{289FBB3C-1426-4429-BF17-E36426A582A3},0.005563239765157,8.67295724e-7,1
74,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{1B0B2768-71C4-4B75-8BAD-A1E34CF57026},0.157808971487829,5.86749520739e-4,NA
75,2003-01-01,NA,C1,NA,A,BE,NA,NA,NA,320 Ac.,NA,NA,NA,NA,NA,NA,NA,A-BE,NA,{F815E0C6-1FC6-4729-B174-35C41F9EFE61},0.087352107549262,2.99004243368e-4,NA
76,2003-01-01,NA,C1,NA,A,BE,NA,NA,NA,320 Ac.,NA,NA,NA,NA,NA,NA,NA,A-BE,NA,{EBF742C1-F288-4100-8003-FE554FD67275},0.022649540872754,1.1772637014e-5,NA
77,2011-04-27,2011-04-27,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{C1DA88AC-2568-41D0-80CB-4E2839A5BB9B},0.032250430595747,5.7071747521e-5,NA
78,2003-01-01,NA,C1,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{ADA400CF-6738-460A-B022-AEE20D08B918},0.00744433684064,1.774818169e-6,1
79,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{8FE4F0B1-61FE-4BD9-91BD-616716C51AB5},0.001141747926664,7.1859193e-8,NA
80,2011-02-14,2013-03-07,ppa,FASP,PD,NA,NA,NA,NA,"R1-BE w/30'ht-limt 10000MBSA 85'MLW, 30'FY, 15'SY",NA,1697,NA,NA,NA,NA,NA,FASP-PD-1697,NA,{7D94EF5C-7F6F-49F6-B533-9D3771E6E2DB},0.004190079205742,6.83042375e-7,NA
81,2011-02-14,2011-02-14,C1,FASP,R1,BE,NA,NA,NA,10000 sq.ft. M.B.S.A. 85' M.L.W. 30' F.Y. 10'S.Y.,NA,NA,NA,NA,NA,NA,NA,FASP-R1-BE,NA,{9C46266C-2FE1-43AA-AFE6-92B245BCEF93},0.003564926626097,7.43665556e-7,1
82,2011-10-12,2013-03-08,ppa,FASP,R1,L,BE,NA,NA,150' MLW 30' FY 20' SY,NA,NA,1,NA,NA,NA,NA,FASP-R1-L-BE,NA,{CBA9E85B-7D7A-4006-8CB7-64BEFC8D59B6},0.00597587333163,1.920409128e-6,1
83,2009-10-16,2009-10-16,C1,NA,PD,NA,NA,NA,NA,NA,SLAP,1839,NA,NA,NA,NA,NA,PD-1839,NA,{A45881FC-4B4C-4DAC-8566-20BA98146932},0.057587867187083,7.6352756452e-5,NA
84,2009-10-23,2009-10-23,C1,NA,A,CA,NA,NA,NA,NA,SLAP,NA,NA,NA,NA,NA,NA,A-CA,NA,{B203B9E1-21B1-4DA8-A15F-A02320F94E12},0.05565047035735,1.78945899686e-4,NA
85,2011-05-04,2011-05-04,C1,NA,R1,L,BE,NA,NA,5 Ac. M.B.S.A. 300' M.L.W. 30' F.Y.,NA,NA,NA,NA,NA,NA,NA,R1-L-BE,NA,{B50BE2D7-AA89-420A-8E64-762275ABE65C},0.023973966948209,3.816554832e-6,1
86,2011-05-04,2011-05-04,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{BA5D4271-FE44-49B3-82E0-3061104E7175},0.003811677523163,5.19305695e-7,NA
87,2011-05-17,2011-05-17,C1,NA,R1,L,BE,NA,NA,5 Ac.M.B.S.A. 100' M.L.W. 30' F.Y.,NA,NA,NA,NA,NA,NA,NA,R1-L-BE,NA,{6DB61EA9-C32E-408F-8BED-8706B69BA7C8},0.020586801533549,1.1480514686e-5,1
88,2011-10-08,2016-02-05,RT,ACBD,AC-R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACBD-AC-R3,NA,{08F1626F-B5D1-4B53-9BD1-BD9B4622DD3F},0.002705837704169,3.42561025e-7,NA
89,2010-12-27,2010-12-27,C1,NA,PD,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA,NA,NA,PD-1892,NA,{21DC7A80-A739-43C6-A051-E9B20DC783AA},0.002661991748617,4.57991624e-7,NA
90,2010-12-27,2010-12-27,C1,NA,PD,NA,NA,NA,NA,NA,NA,1905,NA,NA,NA,NA,NA,PD-1905,NA,{2B04D045-7E2D-4E9A-A4A7-C18514AB91E5},0.025471488686391,9.30910297e-6,NA
91,2003-01-01,2013-03-25,ppa,FASP,PD,NA,NA,NA,NA,NA,NA,1353,NA,NA,NA,NA,NA,FASP-PD-1353,NA,{00CB8C65-6941-44FB-824B-401339DFF0BA},0.006426096250129,2.066798502e-6,NA
92,2003-01-01,2013-03-25,ppa,FASP,PD,NA,NA,NA,NA,NA,NA,1967,NA,NA,NA,NA,NA,FASP-PD-1967,NA,{204CA55B-8C81-4E3D-ABFC-9A91A8B765D2},0.001299534051092,1.04334566e-7,NA
93,2003-01-01,2012-12-03,ppa,FASP,R1,BE,NA,NA,NA,10000 s.f. MBSA 70' MLW,NA,NA,NA,NA,NA,NA,NA,FASP-R1-BE,NA,{CA2A332F-1DBC-4DD5-85FF-92976408A0B4},0.008553970077255,4.47790742e-6,1
94,2003-01-01,NA,C1,FASP,R1,BE,NA,NA,NA,10000 s.f. MBSA 70' MLW,NA,NA,NA,NA,NA,NA,NA,FASP-R1-BE,NA,{C8E2488A-9697-4C50-AEFC-EAC8EE7F1C2A},0.010411842078452,4.815336903e-6,1
95,2003-01-01,NA,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{33AEA752-C298-4EA7-AA76-7E70E731A542},0.011758476391028,3.208379398e-6,1
96,2003-01-01,NA,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{0EC4F9C6-9760-4237-B1C2-0853DB253EE4},0.003926534778424,8.56961612e-7,1
97,2003-01-01,NA,C1,NA,C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C1,NA,{C2440207-B6A4-4A65-877A-804029C88AC3},0.002760004807517,4.9455019e-7,NA
98,2003-01-01,NA,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{30FBDCF5-39F3-4700-8BE7-FFDC0070E42E},0.01781452654456,6.089184176e-6,1
99,2003-01-01,NA,C1,NA,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1,NA,{ED9A8583-83B8-454F-8442-A41B61B17CFC},0.005373435309051,1.363783508e-6,1
100,2003-01-01,NA,C1,NA,PD,NA,NA,NA,NA,NA,NA,1629,NA,NA,NA,NA,NA,PD-1629,NA,{1DEA2731-BA91-4BE6-9A06-7CE94FB128BE},0.001887564302049,1.54657294e-7,NA
101,2003-01-01,NA,C1,NA,RS,SU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS-SU,NA,{C44E5F61-B7E4-439F-982D-AEAD8A4E682B},0.008405196564175,2.288988587e-6,2
102,2003-01-01,NA,C1,NA,RS,D35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS-D35,NA,{30BE0593-77EC-43B7-A85B-7719528E29FF},0.001999677943782,1.66274255e-7,2
103,2003-01-01,NA,C1,NA,RS,SU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS-SU,NA,{5F623A5D-81D5-4BAA-AAD7-03E44472393C},0.002634577170296,3.64689597e-7,2
104,2011-03-18,2011-03-18,C1,NA,R1,BE,CSU,RV,NA,7500 sq. ft.,NA,NA,NA,NA,NA,NA,NA,R1-BE-CSU-RV,NA,{23FEDAB3-1AC8-4F38-894E-3145B93FB408},0.003207762238483,4.75013284e-7,1
105,2011-03-18,2011-03-18,C1,NA,RS,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS-CSU-RV,NA,{77B3F041-9B26-49AC-9021-D95657D3F378},0.002108855567198,2.36039827e-7,2
106,2011-03-23,2011-03-23,C1,NA,R1,BE,NA,NA,NA,"10000 sf.MBSA 75' MAW 30' FY, 10' SY",NA,NA,NA,NA,NA,NA,NA,R1-BE,NA,{21F7927B-8E36-454E-ADFE-C4FB43F2BA7F},0.008271390405876,3.993594849e-6,1
107,2011-03-23,2011-03-23,C1,MASP,R1,B40,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,MASP-R1-B40-CSU-RV,NA,{512A1392-8C2E-412A-AFBE-734A6D7FF2D7},0.004523111585467,1.238842703e-6,1
108,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{4D5F4786-D891-4991-8B52-AEFE6019C3C6},0.005645469273467,1.588522242e-6,1
109,2011-03-24,2011-03-24,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{A5E16544-5AF3-48A5-9DAE-5154DCA64FC4},0.009108879786262,3.402441824e-6,1
110,2010-12-10,2010-12-10,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{7BE0CC38-5EE2-4851-BEB1-3055D4F690A4},0.018487434186632,1.6838517065e-5,NA
111,2010-12-15,2010-12-15,C1,NA,PD,NA,NA,NA,NA,NA,NA,2132,NA,NA,NA,NA,NA,PD-2132,NA,{47291DB6-2F26-4DBE-B2F0-9A542D4BECE0},0.016779778865154,1.6137980076e-5,NA
