Name,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,snippet,Zoning
MX,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
MX,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
MX,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-N,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
R-3-18,NA,NA,NA,clampToGround,-1,0,-1,0,NA,NA,2
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-S,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-S,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2017-285,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-S,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-T,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-81-15A,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-81-15PP,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-81-15NN,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2015-23,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-81-15GG,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-81-15CC,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-81-15i,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-81-15B,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-81-15,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-T,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-T,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2000-214,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-R,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UO,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UO,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-TN,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
