id,gnrl_p_,zoning
476,RM-59,2
477,RM-59,2
478,RM-59,2
479,RM-59,2
480,RM-59,2
481,MU-SA,0
482,MU-SA,0
483,MU-SA,0
484,MU-SA,0
485,MU-SB,0
486,MU-SB,0
487,MU-SB,0
488,MU-SB,0
489,MU-SB,0
490,MU-SB,0
491,MU-SB,0
492,MU-SB,0
493,MU-SB,0
494,MU-SB,0
495,MU-SB,0
496,MU-SB,0
497,MU-SB,0
498,MU-SB,0
499,MU-SB,0
500,MU-SB,0
501,MU-SB,0
502,MU-SC,2
503,MU-SC,2
504,MU-SC,2
505,MU-SC,2
506,MU-SC,2
507,MU-SC,2
508,MU-SC,2
509,MU-SC_NonRes,0
510,IH,0
511,IH,0
512,RS-3,1
513,RS-3,1
514,RM-20,2
515,MU-D,0
516,MU-D,0
517,IH,0
518,IP,0
519,IP,0
520,IL,0
521,MU-NB,0
522,GCI,0
523,IP,0
524,MU-DC,0
525,MU-DC,0
526,RM-59,2
527,RM-59,2
528,RM-59,2
529,GCI,0
530,GCI,0
531,RM-59,2
532,RM-20,2
533,GCI,0
534,GCI,0
535,GCI,0
536,RS-3,1
537,RS-6,1
538,RS-3,1
539,RS-6,1
540,RS-6,1
541,RS-6,1
542,RM-20,2
