id,gnrl_p_,edt_g__,zoning
242,R-L,R-L,1
243,R-L,R-L,1
244,R-L,R-L,1
245,R-L,R-L,1
246,R-L,R-L,1
247,R-L,R-L,1
248,R-L,R-L,1
249,R-L,R-L,1
250,R-L,R-L,1
251,R-L,R-L,1
252,R-L,R-L,1
253,R-L,R-L,1
254,R-L,R-L,1
255,R-L,R-L,1
256,R-L,R-L,1
257,R-L,R-L,1
258,R-L,R-L,1
259,R-L,R-L,1
260,R-L,R-L,1
261,R-L,R-L,1
262,R-L,R-L,1
263,R-L,R-L,1
264,R-L,R-L,1
265,R-L,R-L,1
266,R-L,R-L,1
267,R-L,R-L,1
268,R-L,R-L,1
269,R-L,R-L,1
270,R-L,R-L,1
271,R-L,R-L,1
272,R-L,R-L,1
273,R-L,R-L,1
274,R-L,R-L,1
275,R-L,R-L,1
276,R-L,R-L,1
277,R-L,R-L,1
278,R-L,R-L,1
279,R-L,R-L,1
280,R-L,R-L,1
281,R-L,R-L,1
282,R-L,R-L,1
283,R-L,R-L,1
284,R-L,R-L,1
285,R-L,R-L,1
286,R-L,R-L,1
287,R-L,R-L,1
288,R-L,R-L,1
289,R-L,R-L,1
290,R-L,R-L,1
291,R-L,R-L,1
292,R-L,R-L,1
293,R-L,R-L,1
294,R-L,R-L,1
295,R-L,R-L,1
296,R-L,R-L,1
297,R-L,R-L,1
298,R-L,R-L,1
299,R-L,R-L,1
300,R-L,R-L,1
301,R-L,R-L,1
302,R-L,R-L,1
303,R-L,R-L,1
304,R-L,R-L,1
305,R-L,R-L,1
306,R-L,R-L,1
307,R-L,R-L,1
308,R-L,R-L,1
309,R-L,R-L,1
310,R-L,R-L,1
311,R-L,R-L,1
312,R-L,R-L,1
313,R-L,R-L,1
314,R-L,R-L,1
315,R-L,R-L,1
316,R-L,R-L,1
317,R-L,R-L,1
318,R-L,R-L,1
319,R-L,R-L,1
320,R-L,R-L,1
321,R-L,R-L,1
322,R-L,R-L,1
323,R-L,R-L,1
324,R-L,R-L,1
325,R-L,R-L,1
326,R-L,R-L,1
327,R-L,R-L,1
328,R-L,R-L,1
329,R-L,R-L,1
330,R-L,R-L,1
331,R-L,R-L,1
332,R-L,R-L,1
333,R-L,R-L,1
334,R-L,R-L,1
335,R-L,R-L,1
336,R-L,R-L,1
337,R-L,R-L,1
338,R-L,R-L,1
339,R-L,R-L,1
340,R-L,R-L,1
341,R-L,R-L_Remove,3
342,R-L,R-L,1
343,R-L,R-L,1
344,R-L,R-L,1
345,R-L,R-L,1
346,R-L,R-L,1
347,R-L,R-L,1
348,R-L,R-L,1
349,R-L,R-L,1
350,R-L,R-L,1
351,R-L,R-L,1
352,R-L,R-L,1
353,R-L,R-L,1
354,R-L,R-L,1
355,R-L,R-L,1
356,R-L,R-L,1
357,R-L,R-L,1
358,R-L,R-L,1
359,R-L,R-L_Remove,3
360,R-L,R-L,1
361,R-L,R-L,1
362,R-L,R-L,1
363,R-L,R-L,1
364,R-L,R-L,1
365,R-L,R-L,1
366,R-L,R-L,1
367,R-L,R-L,1
368,R-L,R-L_Remove,3
369,R-L,R-L,1
370,R-L,R-L,1
371,R-L,R-L,1
372,R-L,R-L,1
373,R-L,R-L,1
374,R-L,R-L,1
375,R-L,R-L,1
376,R-L,R-L,1
377,R-L,R-L,1
378,R-L,R-L,1
379,R-L,R-L,1
380,R-L,R-L,1
381,R-L,R-L,1
382,R-L,R-L,1
383,R-L,R-L,1
384,R-L,R-L,1
385,R-L,R-L,1
386,R-L,R-L,1
387,R-L,R-L,1
388,R-L,R-L,1
389,R-L,R-L,1
390,R-L,R-L,1
391,R-L,R-L,1
392,R-L,R-L,1
393,R-L,R-L,1
394,R-L,R-L,1
395,R-L,R-L,1
396,R-L,R-L,1
397,R-L,R-L,1
398,R-L,R-L,1
399,R-L,R-L,1
400,R-L,R-L,1
401,R-L,R-L,1
402,R-L,R-L,1
403,R-L,R-L,1
404,R-L,R-L,1
405,R-L,R-L,1
406,R-L,R-L,1
407,R-M,R-M,2
408,R-M,R-M,2
409,R-M,R-M,2
410,R-H,R-H,2
411,R-M,R-M,2
412,R-M,R-M,2
413,R-M,R-M,2
414,R-M,R-M,2
415,R-M,R-M,2
416,R-M,R-M,2
417,R-M,R-M,2
418,R-M,R-M,2
419,R-M,R-M,2
420,R-M,R-M,2
421,R-M,R-M,2
422,R-M,R-M,2
423,R-M,R-M,2
424,R-M,R-M,2
425,R-M,R-M,2
426,R-M,R-M,2
427,R-M,R-M,2
428,R-M,R-M,2
429,R-M,R-M,2
430,R-M,R-M,2
431,R-M,R-M,2
432,R-M,R-M,2
433,R-M,R-M,2
434,R-M,R-M,2
435,R-M,R-M,2
436,R-M,R-M,2
437,R-M,R-M,2
438,R-M,R-M,2
439,R-M,R-M,2
440,R-M,R-M,2
441,R-M,R-M,2
442,R-M,R-M,2
443,R-M,R-M,2
444,R-M,R-M,2
445,R-M,R-M,2
446,R-M,R-M,2
447,R-M,R-M,2
448,R-M,R-M,2
449,R-M,R-M,2
450,R-M,R-M,2
451,R-M,R-M,2
452,R-M,R-M,2
453,R-M,R-M,2
454,R-M,R-M,2
455,R-M,R-M,2
456,R-M,R-M,2
457,R-M,R-M_Remove,3
458,R-M,R-M,2
459,R-M,R-M,2
460,R-M,R-M,2
461,R-M,R-M,2
462,R-M,R-M,2
463,REC,REC,0
464,REC,REC,0
465,REC,REC_Remove,3
466,REC,REC,0
467,REC,REC,0
468,REC,REC,0
469,REC,REC,0
470,REC,REC,0
471,REC,REC,0
472,REC,REC,0
473,REC,REC,0
474,REC,REC,0
475,REC,REC,0
476,REC,REC,0
477,REC,REC,0
478,REC,REC,0
479,REC,REC,0
480,REC,REC,0
481,REC,REC,0
482,REC,REC,0
483,REC,REC,0
484,REC,REC,0
485,REC,REC_Remove,3
486,REC,REC_Remove,3
487,REC,REC_Remove,3
488,REC,REC,0
489,REC,REC,0
490,REC,REC,0
491,REC,REC,0
492,REC,REC,0
493,REC,REC,0
494,REC,REC,0
495,REC,REC,0
496,I-L,I-L,0
497,R-H,R-H,2
498,P-I,P-I,0
499,C-R,C-R,0
500,REC,REC,0
501,P-I,P-I,0
502,R-H,R-H,2
503,REC,REC,0
504,M-U,M-U_SF,1
505,M-U,M-U,2
506,M-U,M-U_SF,1
507,M-U,M-U,2
508,M-U,M-U,2
509,M-U,M-U,2
510,M-U,M-U,2
511,REC,REC,0
512,M-U,M-U,2
513,M-U,M-U,2
514,REC,REC,0
515,M-U,M-U_SF,1
516,M-U,M-U_NonRes,0
517,M-U,M-U,2
518,M-U,M-U_NonRes,0
994,M-U_NonRes,M-U_NonRes,0
994,M-U_NonRes,M-U_NonRes,0
520,M-U,M-U_NonRes,0
521,REC,REC,0
522,REC,REC,0
523,M-U,M-U,2
524,M-U,M-U,2
525,M-U,M-U,2
526,M-U,M-U_SF,1
527,M-U,M-U,2
528,M-U,M-U,2
529,M-U,M-U,2
530,M-U,M-U,2
531,M-U,M-U_SF,1
532,M-U,M-U_SF,1
533,M-U,M-U,2
534,M-U,M-U,2
535,M-U,M-U,2
536,REC,REC,0
537,M-U,M-U,2
538,M-U,M-U,2
539,M-U,M-U,2
540,M-U,M-U,2
541,M-U,M-U,2
542,M-U,M-U_SF,1
543,M-U,M-U,2
544,M-U,M-U,2
545,REC,REC,0
546,REC,REC,0
547,M-U,M-U,2
