gnrl_p_,id,cty_nm_x,edt_g__,cty_nm_y,zoning
MUR-1.6-60-55,1065,emeryville,MUR-1.6-60-55_MultiFamily,emeryville,2
ROW,1066,emeryville,ROW,emeryville,0
MDR-0.5-35-55,1067,emeryville,MDR-0.5-35-55,emeryville,1
MUR-1.6-60-55,1068,emeryville,MUR-1.6-60-55,emeryville,0
ROW,1069,emeryville,ROW,emeryville,0
MUR-1.6-60-55,1070,emeryville,MUR-1.6-60-55,emeryville,0
ROW,1071,emeryville,ROW,emeryville,0
Ind-0.5-x-55,1072,emeryville,Ind-0.5-x-55,emeryville,0
MUR-0.5-35-55,1073,emeryville,MUR-0.5-35-55,emeryville,0
CO-1.6-x-55,1074,emeryville,CO-1.6-x-55,emeryville,0
MUR-4-135-100,1075,emeryville,MUR-4-135-100_MultiFamily,emeryville,2
MU-4-x-x,1076,emeryville,MU-4-x-x,emeryville,0
MU-4-x-x,1077,emeryville,MU-4-x-x,emeryville,0
ROW,1078,emeryville,ROW,emeryville,0
ROW,1079,emeryville,ROW,emeryville,0
MUR-6-170-x,1080,emeryville,MUR-6-170-x,emeryville,0
OS,1081,emeryville,OS,emeryville,0
MUR-6-170-x,1082,emeryville,MUR-6-170-x,emeryville,0
CO-3-x-55,1083,emeryville,CO-3-x-55,emeryville,0
ROW,1084,emeryville,ROW,emeryville,0
MUR-6-170-55,1085,emeryville,MUR-6-170-55,emeryville,0
ROW,1086,emeryville,ROW,emeryville,0
MU-4-x-x,1087,emeryville,MU-4-x-x,emeryville,0
ROW,1088,emeryville,ROW,emeryville,0
Pub-0.5-x-55,1089,emeryville,Pub-0.5-x-55,emeryville,0
OS,1090,emeryville,OS,emeryville,0
OS,1091,emeryville,OS,emeryville,0
ROW,1092,emeryville,ROW,emeryville,0
MUR-6-170-x,1093,emeryville,MUR-6-170-x,emeryville,0
MUR-4-135-100,1094,emeryville,MUR-4-135-100,emeryville,0
MUR-4-135-100,1095,emeryville,MUR-4-135-100,emeryville,0
MUR-4-135-55,1096,emeryville,MUR-4-135-55,emeryville,0
ROW,1097,emeryville,ROW,emeryville,0
ROW,1098,emeryville,ROW,emeryville,0
MU-4-x-55,1099,emeryville,MU-4-x-55,emeryville,0
MU-4-x-55,1100,emeryville,MU-4-x-55,emeryville,0
ROW,1101,emeryville,ROW,emeryville,0
MUR-3-100-75,1102,emeryville,MUR-3-100-75_MultiFamily,emeryville,2
MUR-3-100-75,1103,emeryville,MUR-3-100-75,emeryville,0
MUR-3-100-75,1104,emeryville,MUR-3-100-75,emeryville,0
MUR-3-100-75,1105,emeryville,MUR-3-100-75,emeryville,0
MUR-3-100-75,1106,emeryville,MUR-3-100-75_MultiFamily,emeryville,2
MDR-0.5-35-30,1107,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1108,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1109,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1110,emeryville,MDR-0.5-35-30,emeryville,1
MUR-1.6-60-55,1111,emeryville,MUR-1.6-60-55_MultiFamily,emeryville,2
MUR-1.6-60-55,1112,emeryville,MUR-1.6-60-55,emeryville,0
MDR-0.5-35-30,1113,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1114,emeryville,MDR-0.5-35-30,emeryville,1
CO-1.6-x-55,1115,emeryville,CO-1.6-x-55,emeryville,0
MU-1.6-x-55,1116,emeryville,MU-1.6-x-55,emeryville,0
ROW,1117,emeryville,ROW,emeryville,0
MDR-0.5-35-30,1118,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1119,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1120,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1121,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1122,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1123,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1124,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1125,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1126,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1127,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1128,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1129,emeryville,MDR-0.5-35-30,emeryville,1
MUR-1.6-60-55,1130,emeryville,MUR-1.6-60-55,emeryville,0
MDR-0.5-35-30,1131,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1132,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1133,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1134,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1135,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1136,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1137,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1138,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1139,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1140,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1141,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1142,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1143,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1144,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1145,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1146,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1147,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1148,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1149,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1150,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1151,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1152,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1153,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1154,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1155,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1156,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1157,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1158,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1159,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1160,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1161,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1162,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1163,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1164,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1165,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1166,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1167,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1168,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1169,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1170,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1171,emeryville,MDR-0.5-35-30,emeryville,1
MUR-1.6-60-55,1172,emeryville,MUR-1.6-60-55,emeryville,0
MUR-1.6-60-55,1173,emeryville,MUR-1.6-60-55,emeryville,0
MUR-1.6-60-55,1174,emeryville,MUR-1.6-60-55,emeryville,0
MUR-1.6-60-55,1175,emeryville,MUR-1.6-60-55,emeryville,0
MDR-0.5-35-30,1176,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1177,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1178,emeryville,MDR-0.5-35-30,emeryville,1
MDR-0.5-35-30,1179,emeryville,MDR-0.5-35-30,emeryville,1
