gnrl_p_,id,edtd_nm_x,edt_g__,edtd_nm_y,zoning
ROW,1374,ROW_remove,ROW_remove,ROW_remove,3
ROW,1375,ROW_remove,ROW_remove,ROW_remove,3
ROW,1376,ROW_remove,ROW_remove,ROW_remove,3
ROW,1377,ROW_remove,ROW_remove,ROW_remove,3
W,1378,W_remove,W_remove,W_remove,3
W,1379,W_remove,W_remove,W_remove,3
WEV,1380,WEV,WEV,WEV,0
WEV,1381,WEV,WEV,WEV,0
WEV,1382,WEV,WEV,WEV,0
WEV,1383,WEV,WEV,WEV,0
WEV,1384,WEV,WEV,WEV,0
WEV,1385,WEV,WEV,WEV,0
WEV,1386,WEV,WEV,WEV,0
WEV,1387,WEV,WEV,WEV,0
WEV,1388,WEV,WEV,WEV,0
WEV,1389,WEV,WEV,WEV,0
LDR,1390,LDR,LDR,LDR,1
median,1391,median,median,median,3
GC,1392,GC,GC,GC,0
C,1393,C,C,C,0
LI/O,1394,LI/O,LI/O,LI/O,0
MDR,1395,MDR,MDR,MDR,2
MDR,1396,MDR,MDR,MDR,2
MDR,1397,MDR,MDR,MDR,2
MIN,1398,MIN_remove,MIN_remove,MIN_remove,3
MIN,1399,MIN_remove,MIN_remove,MIN_remove,3
LI/O,1400,LI/O,LI/O,LI/O,0
MDR,1401,MDR,MDR,MDR,2
W,1402,W_remove,W_remove,W_remove,3
W,1403,W_remove,W_remove,W_remove,3
P/QP,1404,P/QP,P/QP,P/QP,0
W,1405,W_remove,W_remove,W_remove,3
MIN,1406,MIN_remove,MIN_remove,MIN_remove,3
W,1407,W_remove,W_remove,W_remove,3
LDR,1408,LDR,LDR,LDR,1
W,1409,W_remove,W_remove,W_remove,3
LDR,1410,LDR,LDR,LDR,1
HDR,1411,HDR,HDR,HDR,2
HDR,1412,HDR,HDR,HDR,2
HDR,1413,HDR,HDR,HDR,2
W,1414,W_remove,W_remove,W_remove,3
MDR,1415,MDR,MDR,MDR,2
MDR,1416,MDR,MDR,MDR,2
MDR,1417,MDR,MDR,MDR,2
MDR,1418,MDR,MDR,MDR,2
P,1419,P,P,P,0
W,1420,W_remove,W_remove,W_remove,3
P/QP,1421,P/QP,P/QP,P/QP,0
W,1422,W_remove,W_remove,W_remove,3
LDR,1423,LDR,LDR,LDR,1
W,1424,W_remove,W_remove,W_remove,3
W,1425,W_remove,W_remove,W_remove,3
LI/O,1426,LI/O,LI/O,LI/O,0
LI/O,1427,LI/O,LI/O,LI/O,0
P/QP,1428,P/QP,P/QP,P/QP,0
P/QP,1429,P/QP,P/QP,P/QP,0
P,1430,P_remove,P_remove,P_remove,3
P/QP,1431,P/QP,P/QP,P/QP,0
W,1432,W_remove,W_remove,W_remove,3
HR,1433,HR_remove,HR_remove,HR_remove,3
HR,1434,HR_remove,HR_remove,HR_remove,3
HR,1435,HR_remove,HR_remove,HR_remove,3
HR,1436,HR_remove,HR_remove,HR_remove,3
HR,1437,HR_remove,HR_remove,HR_remove,3
HR,1438,HR_remove,HR_remove,HR_remove,3
HR,1439,HR_remove,HR_remove,HR_remove,3
HR,1440,HR_remove,HR_remove,HR_remove,3
HR,1441,HR_remove,HR_remove,HR_remove,3
HR,1442,HR_remove,HR_remove,HR_remove,3
HR,1443,HR_remove,HR_remove,HR_remove,3
HR,1444,HR_remove,HR_remove,HR_remove,3
HR,1445,HR_remove,HR_remove,HR_remove,3
HR,1446,HR_remove,HR_remove,HR_remove,3
HR,1447,HR_remove,HR_remove,HR_remove,3
HR,1448,HR_remove,HR_remove,HR_remove,3
HR,1449,HR_remove,HR_remove,HR_remove,3
HR,1450,HR_remove,HR_remove,HR_remove,3
HR,1451,HR_remove,HR_remove,HR_remove,3
HR,1452,HR_remove,HR_remove,HR_remove,3
HR,1453,HR_remove,HR_remove,HR_remove,3
HR,1454,HR_remove,HR_remove,HR_remove,3
HR,1455,HR_remove,HR_remove,HR_remove,3
HRR,1456,HRR_remove,HRR_remove,HRR_remove,3
HRR,1457,HRR_remove,HRR_remove,HRR_remove,3
HRR,1458,HRR_remove,HRR_remove,HRR_remove,3
HRR,1459,HRR_remove,HRR_remove,HRR_remove,3
HRR,1460,HRR_remove,HRR_remove,HRR_remove,3
HRR,1461,HRR_remove,HRR_remove,HRR_remove,3
HRR,1462,HRR_remove,HRR_remove,HRR_remove,3
LDR,1463,LDR_remove,LDR_remove,LDR_remove,3
LDR,1464,LDR_remove,LDR_remove,LDR_remove,3
LDR,1465,LDR_remove,LDR_remove,LDR_remove,3
LDR,1466,LDR_remove,LDR_remove,LDR_remove,3
LDR,1467,LDR_remove,LDR_remove,LDR_remove,3
LDR,1468,LDR_remove,LDR_remove,LDR_remove,3
LDR,1469,LDR_remove,LDR_remove,LDR_remove,3
LDR,1470,LDR_remove,LDR_remove,LDR_remove,3
LDR,1471,LDR_remove,LDR_remove,LDR_remove,3
LDR,1472,LDR_remove,LDR_remove,LDR_remove,3
LDR,1473,LDR_remove,LDR_remove,LDR_remove,3
LDR,1474,LDR_remove,LDR_remove,LDR_remove,3
LDR,1475,LDR_remove,LDR_remove,LDR_remove,3
LDR,1476,LDR_remove,LDR_remove,LDR_remove,3
LDR,1477,LDR_remove,LDR_remove,LDR_remove,3
LDR,1478,LDR_remove,LDR_remove,LDR_remove,3
LDR,1479,LDR_remove,LDR_remove,LDR_remove,3
LDR,1480,LDR_remove,LDR_remove,LDR_remove,3
LDR,1481,LDR_remove,LDR_remove,LDR_remove,3
LDR,1482,LDR_remove,LDR_remove,LDR_remove,3
LDR,1483,LDR,LDR,LDR,1
LDR,1484,LDR_remove,LDR_remove,LDR_remove,3
LDR,1485,LDR_remove,LDR_remove,LDR_remove,3
LDR,1486,LDR_remove,LDR_remove,LDR_remove,3
LDR,1487,LDR_remove,LDR_remove,LDR_remove,3
LDR,1488,LDR_remove,LDR_remove,LDR_remove,3
LDR,1489,LDR_remove,LDR_remove,LDR_remove,3
LDR,1490,LDR_remove,LDR_remove,LDR_remove,3
LDR,1491,LDR_remove,LDR_remove,LDR_remove,3
LDR,1492,LDR_remove,LDR_remove,LDR_remove,3
LDR,1493,LDR_remove,LDR_remove,LDR_remove,3
LDR,1494,LDR_remove,LDR_remove,LDR_remove,3
LDR,1495,LDR_remove,LDR_remove,LDR_remove,3
LDR,1496,LDR_remove,LDR_remove,LDR_remove,3
LDR,1497,LDR_remove,LDR_remove,LDR_remove,3
LDR,1498,LDR_remove,LDR_remove,LDR_remove,3
LDR,1499,LDR_remove,LDR_remove,LDR_remove,3
LDR,1500,LDR_remove,LDR_remove,LDR_remove,3
LDR,1501,LDR_remove,LDR_remove,LDR_remove,3
LDR,1502,LDR_remove,LDR_remove,LDR_remove,3
LDR,1503,LDR,LDR,LDR,1
MDR,1504,MDR_remove,MDR_remove,MDR_remove,3
MDR,1505,MDR_remove,MDR_remove,MDR_remove,3
MDR,1506,MDR_remove,MDR_remove,MDR_remove,3
MDR,1507,MDR_remove,MDR_remove,MDR_remove,3
MDR,1508,MDR_remove,MDR_remove,MDR_remove,3
MIN,1509,MIN_remove,MIN_remove,MIN_remove,3
MIN,1510,MIN_remove,MIN_remove,MIN_remove,3
OS,1511,OS_remove,OS_remove,OS_remove,3
OS,1512,OS_remove,OS_remove,OS_remove,3
OS,1513,OS_remove,OS_remove,OS_remove,3
OS,1514,OS_remove,OS_remove,OS_remove,3
OS,1515,OS,OS,OS,0
OS,1516,OS_remove,OS_remove,OS_remove,3
OS,1517,OS,OS,OS,3
OS,1518,OS_remove,OS_remove,OS_remove,3
C,1519,C,C,C,0
MAR,1520,MAR_remove,MAR_remove,MAR_remove,3
NC,1521,NC_remove,NC_remove,NC_remove,3
RET/O,1522,RET/O,RET/O,RET/O,0
W,1523,W_remove,W_remove,W_remove,3
GC,1525,GC,GC,GC,0
GC,1526,GC,GC,GC,0
GC,1527,GC_remove,GC_remove,GC_remove,3
HDR,1528,HDR_remove,HDR_remove,HDR_remove,3
HDR,1529,HDR_remove,HDR_remove,HDR_remove,3
HDR,1530,HDR_remove,HDR_remove,HDR_remove,3
HDR,1531,HDR_remove,HDR_remove,HDR_remove,3
HDR,1532,HDR,HDR,HDR,2
HDR,1533,HDR,HDR,HDR,2
HDR,1534,HDR,HDR,HDR,2
HDR,1535,HDR_remove,HDR_remove,HDR_remove,3
HDR,1536,HDR_remove,HDR_remove,HDR_remove,3
HDR,1537,HDR,HDR,HDR,2
HDR,1538,HDR_remove,HDR_remove,HDR_remove,3
HDR,1539,HDR_remove,HDR_remove,HDR_remove,3
HDR,1540,HDR,HDR,HDR,2
HDR,1541,HDR,HDR,HDR,2
HDR,1542,HDR,HDR,HDR,2
HDR,1543,HDR_remove,HDR_remove,HDR_remove,3
HDR,1544,HDR,HDR,HDR,2
HDR,1545,HDR,HDR,HDR,2
HDR,1546,HDR,HDR,HDR,2
HDR,1547,HDR,HDR,HDR,2
HDR,1548,HDR,HDR,HDR,2
HDR,1549,HDR,HDR,HDR,2
HDR,1550,HDR,HDR,HDR,2
HDR,1551,HDR_remove,HDR_remove,HDR_remove,3
HDR,1552,HDR_remove,HDR_remove,HDR_remove,3
HR,1553,HR_remove,HR_remove,HR_remove,3
HR,1554,HR_remove,HR_remove,HR_remove,3
HR,1555,HR_remove,HR_remove,HR_remove,3
HR,1556,HR_remove,HR_remove,HR_remove,3
HRR,1557,HRR,HRR,HRR,1
HRR,1558,HRR_remove,HRR_remove,HRR_remove,3
HRR,1559,HRR_remove,HRR_remove,HRR_remove,3
HRR,1560,HRR_remove,HRR_remove,HRR_remove,3
HRR,1561,HRR_remove,HRR_remove,HRR_remove,3
LDR,1562,LDR,LDR,LDR,1
LDR,1563,LDR_remove,LDR_remove,LDR_remove,3
LDR,1564,LDR_remove,LDR_remove,LDR_remove,3
LDR,1565,LDR_remove,LDR_remove,LDR_remove,3
LDR,1566,LDR_remove,LDR_remove,LDR_remove,3
LDR,1567,LDR_remove,LDR_remove,LDR_remove,3
LDR,1568,LDR_remove,LDR_remove,LDR_remove,3
LDR,1569,LDR_remove,LDR_remove,LDR_remove,3
LDR,1570,LDR_remove,LDR_remove,LDR_remove,3
LDR,1571,LDR_remove,LDR_remove,LDR_remove,3
LDR,1572,LDR_remove,LDR_remove,LDR_remove,3
LDR,1573,LDR_remove,LDR_remove,LDR_remove,3
LDR,1574,LDR_remove,LDR_remove,LDR_remove,3
LDR,1575,LDR_remove,LDR_remove,LDR_remove,3
LDR,1576,LDR_remove,LDR_remove,LDR_remove,3
LDR,1577,LDR_remove,LDR_remove,LDR_remove,3
LDR,1578,LDR_remove,LDR_remove,LDR_remove,3
LDR,1579,LDR_remove,LDR_remove,LDR_remove,3
LDR,1580,LDR_remove,LDR_remove,LDR_remove,3
LDR,1581,LDR_remove,LDR_remove,LDR_remove,3
LDR,1582,LDR_remove,LDR_remove,LDR_remove,3
LDR,1583,LDR_remove,LDR_remove,LDR_remove,3
LDR,1584,LDR_remove,LDR_remove,LDR_remove,3
LDR,1585,LDR_remove,LDR_remove,LDR_remove,3
LDR,1586,LDR_remove,LDR_remove,LDR_remove,3
LDR,1587,LDR_remove,LDR_remove,LDR_remove,3
LDR,1588,LDR_remove,LDR_remove,LDR_remove,3
LDR,1589,LDR_remove,LDR_remove,LDR_remove,3
LDR,1590,LDR_remove,LDR_remove,LDR_remove,3
LDR,1591,LDR,LDR,LDR,1
LDR,1592,LDR_remove,LDR_remove,LDR_remove,3
LDR,1593,LDR_remove,LDR_remove,LDR_remove,3
LDR,1594,LDR_remove,LDR_remove,LDR_remove,3
LDR,1595,LDR_remove,LDR_remove,LDR_remove,3
LDR,1596,LDR_remove,LDR_remove,LDR_remove,3
LDR,1597,LDR_remove,LDR_remove,LDR_remove,3
LDR,1598,LDR_remove,LDR_remove,LDR_remove,3
LDR,1599,LDR_remove,LDR_remove,LDR_remove,3
LDR,1600,LDR_remove,LDR_remove,LDR_remove,3
LDR,1601,LDR_remove,LDR_remove,LDR_remove,3
LDR,1602,LDR_remove,LDR_remove,LDR_remove,3
LDR,1603,LDR_remove,LDR_remove,LDR_remove,3
LDR,1604,LDR_remove,LDR_remove,LDR_remove,3
LDR,1605,LDR_remove,LDR_remove,LDR_remove,3
LDR,1606,LDR_remove,LDR_remove,LDR_remove,3
LDR,1607,LDR_remove,LDR_remove,LDR_remove,3
LDR,1608,LDR_remove,LDR_remove,LDR_remove,3
LDR,1609,LDR_remove,LDR_remove,LDR_remove,3
LDR,1610,LDR_remove,LDR_remove,LDR_remove,3
LDR,1611,LDR_remove,LDR_remove,LDR_remove,3
LDR,1612,LDR_remove,LDR_remove,LDR_remove,3
LDR,1613,LDR,LDR,LDR,1
LDR,1614,LDR_remove,LDR_remove,LDR_remove,3
LDR,1615,LDR_remove,LDR_remove,LDR_remove,3
LDR,1616,LDR_remove,LDR_remove,LDR_remove,3
LDR,1617,LDR,LDR,LDR,1
LDR,1618,LDR_remove,LDR_remove,LDR_remove,3
LDR,1619,LDR_remove,LDR_remove,LDR_remove,3
LDR,1620,LDR_remove,LDR_remove,LDR_remove,3
LDR,1621,LDR_remove,LDR_remove,LDR_remove,3
LDR,1622,LDR_remove,LDR_remove,LDR_remove,3
LDR,1623,LDR_remove,LDR_remove,LDR_remove,3
LDR,1624,LDR_remove,LDR_remove,LDR_remove,3
LDR,1625,LDR_remove,LDR_remove,LDR_remove,3
LDR,1626,LDR_remove,LDR_remove,LDR_remove,3
LDR,1627,LDR_remove,LDR_remove,LDR_remove,3
LDR,1628,LDR_remove,LDR_remove,LDR_remove,3
LDR,1629,LDR_remove,LDR_remove,LDR_remove,3
LDR,1630,LDR_remove,LDR_remove,LDR_remove,3
LDR,1631,LDR_remove,LDR_remove,LDR_remove,3
LDR,1632,LDR_remove,LDR_remove,LDR_remove,3
MDR,1633,MDR_remove,MDR_remove,MDR_remove,3
MDR,1634,MDR_remove,MDR_remove,MDR_remove,3
MDR,1635,MDR_remove,MDR_remove,MDR_remove,3
MDR,1636,MDR_remove,MDR_remove,MDR_remove,3
O,1637,O_remove,O_remove,O_remove,3
O,1638,O_remove,O_remove,O_remove,3
OS,1639,OS,OS,OS,0
OS,1640,OS_remove,OS_remove,OS_remove,3
OS,1641,OS_remove,OS_remove,OS_remove,3
OS,1642,OS_remove,OS_remove,OS_remove,3
OS,1643,OS_remove,OS_remove,OS_remove,3
OS,1644,OS,OS,OS,0
OS,1645,OS,OS,OS,0
OS,1646,OS_remove,OS_remove,OS_remove,3
OS,1647,OS_remove,OS_remove,OS_remove,3
P,1648,P_remove,P_remove,P_remove,3
P,1649,P_remove,P_remove,P_remove,3
P,1650,P_remove,P_remove,P_remove,3
P,1651,P,P,P,0
P/QP,1652,P/QP,P/QP,P/QP,0
P/QP,1653,P/QP,P/QP,P/QP,0
ROW,1654,ROW_remove,ROW_remove,ROW_remove,3
ROW,1655,ROW_remove,ROW_remove,ROW_remove,3
WEV,9993,WEV_MF,WEV_MF,WEV_MF,2
WEV,9993,WEV_MF,HO_MF,HO_MF,2
HO,9993,HO_MF,WEV_MF,WEV_MF,2
HO,9993,HO_MF,HO_MF,HO_MF,2
5MR/O,9994,5MR/O_MF,5MR/O_MF,5MR/O_MF,2
2/3MU,9995,2/3MU_MF,2/3MU_MF,2/3MU_MF,2
2/3MU,9996,2/3MU_SF,2/3MU_SF,2/3MU_SF,1
2/3MU,9997,2/3MU_MF,2/3MU_MF,2/3MU_MF,2
2/3MU,9998,2/3MU_MF,2/3MU_MF,2/3MU_MF,2
OS,9999,OS_remove,OS_remove,OS_remove,3
