general_pl,id,city_name,Zoning
Med Res.,205,sunnyvale,2
General Business,206,sunnyvale,NA
Neighborhood Com,207,sunnyvale,NA
Low Med Res.,208,sunnyvale,1
Neighborhood Com,209,sunnyvale,NA
Low Med Res.,210,sunnyvale,1
Low Res.,211,sunnyvale,1
Low Med Res.,212,sunnyvale,1
Neighborhood Com,213,sunnyvale,NA
High Res.,214,sunnyvale,2
Low Res.,215,sunnyvale,1
Low Med Res.,216,sunnyvale,1
Low Res.,217,sunnyvale,1
Low Med Res.,218,sunnyvale,1
Low Med Res.,219,sunnyvale,1
Low Res.,220,sunnyvale,1
Low Med Res.,221,sunnyvale,1
Low Res.,222,sunnyvale,1
Low Med Res.,223,sunnyvale,1
Low Res.,224,sunnyvale,1
Med Res.,225,sunnyvale,2
Industry,226,sunnyvale,NA
Neighborhood Com,227,sunnyvale,NA
ITR Med to High,228,sunnyvale,NA
Ind. to Res. (Me,229,sunnyvale,NA
Low Res.,230,sunnyvale,1
Low Med Res.,231,sunnyvale,1
Office,232,sunnyvale,NA
Office,233,sunnyvale,NA
Low Res.,234,sunnyvale,1
Industry,235,sunnyvale,NA
Moffett Park,236,sunnyvale,NA
High Res.,237,sunnyvale,2
Very High Res.,238,sunnyvale,2
Med Res.,239,sunnyvale,2
Low Med Res.,240,sunnyvale,1
Med Res.,241,sunnyvale,2
General Business,242,sunnyvale,NA
Med Res.,243,sunnyvale,2
Med Res.,244,sunnyvale,2
Low Med Res.,245,sunnyvale,1
Lakeside,246,sunnyvale,NA
Low Res.,247,sunnyvale,1
Low Res.,248,sunnyvale,1
Industry,249,sunnyvale,NA
Ind. to Res. (Me,250,sunnyvale,2
ITR High,251,sunnyvale,NA
Very High Res.,252,sunnyvale,2
General Business,253,sunnyvale,NA
Industry,254,sunnyvale,NA
Ind. to Res. (Me,255,sunnyvale,2
