OBJECTID,BASEZONING,DISTRICT,DENSITY,Shape_Leng,Shape_Area,Zoning
86,AR B6 10,AR,10,8681.3439429,3045721.95993,NA
87,AR B6 10,AR,10,7874.84089182,2897997.40283,NA
88,AR B6 10,AR,10,10336.3802896,3926991.69156,NA
89,AR B6 10,AR,10,3527.50672571,636046.722047,NA
90,AR B6 10,AR,10,38393.7425167,16523453.8486,NA
91,AR B6 10,AR,10,10586.4384868,3680509.56024,NA
92,AR B6 10,AR,10,25192.907549,14260590.7549,NA
93,AR B6 10,AR,10,745.315570771,20561.5123018,NA
94,AR B6 10,AR,10,1942.01709604,206063.229949,NA
95,AR B6 10,AR,10,15256.8751494,4762554.40343,NA
96,AR B6 10,AR,10,14788.9849889,9110198.60172,NA
97,AR B6 10,AR,10,17971.3255267,8932362.23619,NA
98,AR B6 10,AR,10,14909.765434,8374755.27454,NA
99,AR B6 10,AR,10,82365.6100298,43277775.0888,NA
100,AR B6 10,AR,10,1592.81889333,146672.024215,NA
101,AR B6 10,AR,10,31164.3432216,33279481.018,NA
102,AR B6 10,AR,10,8801.04604388,4687759.37731,NA
103,AR B6 10,AR,10,4863.67625733,1189566.7206,NA
104,AR B6 10,AR,10,9400.98419238,3136111.05956,NA
105,AR B6 10,AR,10,6879.06902901,2310305.34487,NA
106,AR B6 10,AR,10,11459.749202,758493.094851,NA
107,AR B6 10,AR,10,2292.01467433,127016.606657,NA
108,AR B6 10,AR,10,580.099372426,13092.2420769,NA
109,AR B6 10,AR,10,433.289371366,7089.05244771,NA
110,AR B6 10,AR,10,2843.92234209,148623.956318,NA
111,AR B6 10,AR,10,6825.70402947,1822611.89782,NA
112,AR B6 10,AR,10,19532.6591453,7700559.65007,NA
113,AR B6 10,AR,10,15086.8258474,8031117.63182,NA
114,AR B6 10,AR,10,41270.8403772,23820890.3722,NA
115,AR B6 10,AR,10,2745.71218336,392422.952373,NA
116,AR B6 10,AR,10,1814.65196115,155967.212015,NA
117,AR B6 10,AR,10,4626.53406783,825435.682374,NA
118,AR B6 10,AR,10,5696.81613106,1406803.29131,NA
119,AR B6 10,AR,10,3941.42137323,737053.249798,NA
120,AR B6 10,AR,10,9437.5781769,3851134.88802,NA
121,AR B6 10,AR,10,8444.91504918,1748830.05165,NA
122,AR B6 10,AR,10,3100.90568322,429463.492524,NA
123,AR B6 10,AR,10,2823.43506343,424685.571802,NA
124,AR B6 10,AR,10,17908.3491979,2555650.76973,NA
125,AR B6 10,AR,10,15633.9531693,7981493.12764,NA
126,AR B6 10,AR,10,5344.36120394,1783606.32763,NA
127,AR B6 10,AR,10,3303.5382474,460712.467253,NA
128,AR B6 10,AR,10,869.067548315,47445.0569265,NA
129,AR B6 10,AR,10,7932.18655769,2212480.538,NA
130,AR B6 10,AR,10,1490.44020867,114221.905199,NA
131,AR B6 10,AR,10,6343.4317128,1823249.47586,NA
132,AR B6 10,AR,10,741.438613541,32631.2759332,NA
133,AR B6 10,AR,10,2704.96220388,376527.46971700003,NA
134,AR B6 10,AR,10,23971.5905239,12036029.6608,NA
135,AR B6 10,AR,10,7599.99229226,1357622.63397,NA
136,AR B6 10,AR,10,11068.2676906,6401995.75073,NA
137,AR B6 10,AR,10,1604.13858855,123719.536651,NA
138,AR B6 10,AR,10,9596.66694629,1830732.67158,NA
139,AR B6 10,AR,10,3882.5047198,523368.442591,NA
140,AR B6 10,AR,10,678.538623114,24924.7300523,NA
141,AR B6 10,AR,10,829.73642983,38791.4651345,NA
142,AR B6 10,AR,10,9095.98264827,2660071.26119,NA
143,AR B6 10,AR,10,7177.15854183,1397323.03771,NA
144,AR B6 10,AR,10,6032.50430155,1526888.73186,NA
145,AR B6 10,AR,10,20848.2338271,9114433.76057,NA
146,AR B6 10,AR,10,3509.09040938,618532.162738,NA
147,AR B6 10,AR,10,10316.4837578,5104384.59999,NA
148,AR B6 10,AR,10,4008.26701377,838123.762051,NA
149,AR B6 10,AR,10,3219.42357176,420736.76412,NA
150,AR B6 10,AR,10,10972.0797355,4182659.369,NA
151,AR B6 10,AR,10,2065.49339355,67694.4246273,NA
152,AR B6 10,AR,10,4010.19755025,766411.707568,NA
153,AR B6 10,AR,10,2390.27202636,222621.138796,NA
154,AR B6 10,AR,10,15348.1667893,4585776.06524,NA
155,AR B6 10,AR,10,1229.67794555,51095.3947251,NA
156,AR B6 10,AR,10,1045.3790801,40120.0968127,NA
157,AR B6 10,AR,10,1642.87390606,113614.986,NA
158,AR B6 10,AR,10,750.269373497,36145.5921626,NA
159,AR B6 10,AR,10,7184.29438992,618421.478263,NA
160,AR B6 10,AR,10,1551.98248811,97932.298075,NA
161,AR B6 10,AR,10,11338.4364729,2528805.89913,NA
162,AR B6 10,AR,10,1549.32309649,148144.964695,NA
163,AR B6 10,AR,10,5403.25002281,595893.567595,NA
164,AR B6 10,AR,10,4223.11862028,772136.868148,NA
165,AR B6 10,AR,10,831.977164287,21942.311973,NA
166,AR B6 10,AR,10,632.99407275,21389.1352484,NA
167,AR B6 10,AR,10,1011.10238053,40623.293163,NA
168,AR B6 10,AR,10,621.760358031,20521.2086875,NA
169,AR B6 10,AR,10,895.503585267,34510.578764,NA
170,AR B6 10,AR,10,1322.38608667,51715.1663561,NA
171,AR B6 10,AR,10,847.354081998,32507.4636358,NA
172,AR B6 10,AR,10,3516.47376662,196169.815585,NA
173,AR B6 10,AR,10,1375.51369673,54709.9477565,NA
174,AR B6 10,AR,10,295.065290836,3230.34614609,NA
175,AR B6 10,AR,10,1419.02594085,38356.6251194,NA
176,AR B6 10,AR,10,1606.26492276,62225.4181137,NA
177,AR B6 10,AR,10,1007.48980732,34633.7348351,NA
178,AR B6 10,AR,10,1707.49471449,125024.181058,NA
179,AR B6 10,AR,10,1081.84523705,44216.0988562,NA
180,AR B6 10,AR,10,623.14845159,22627.993212,NA
181,AR B6 10,AR,10,1626.67919429,101301.562128,NA
182,AR B6 10,AR,10,2297.54822948,171916.882324,NA
183,AR B6 10,AR,10,1495.72700473,94463.5316165,NA
184,AR B6 10,AR,10,5944.04429189,711963.046476,NA
185,AR B6 10,AR,10,861.265749766,43160.1162811,NA
186,AR B6 10,AR,10,1335.8814773,88136.637033,NA
187,AR B6 10,AR,10,1116.61937519,75799.5711135,NA
188,AR B6 10,AR,10,3609.3472993,320147.335421,NA
189,AR B6 10,AR,10,1554.67554097,70610.1478854,NA
190,AR B6 10,AR,10,12257.9966156,1363349.50003,NA
191,AR B6 10,AR,10,3861.93035125,487601.700344,NA
192,AR B6 10,AR,10,14702.2841853,6081081.33292,NA
193,AR B6 10,AR,10,857.377199176,45237.4831562,NA
194,AR B6 10,AR,10,4611.46935866,1177921.13853,NA
195,AR B6 10,AR,10,4560.08155495,1137794.89703,NA
196,AR B6 10 Z,AR,10,4230.85330764,869719.451846,NA
197,AR B6 10 Z,AR,10,4863.10585702,773988.910701,NA
