APN,LevelNm,GP,gnrl_p_,ASMT,Shp_Lng,Shap_Ar,Acres,id,edt_g__,zoning
161-560-017,1,LDR,VR,161560017,294.408896504,4905.552449,0.11261598827,2809,VR,1
161-100-060,1,OS,ER,161100060,1804.22160674,45088.9938278,1.03510086841,2810,ER,1
161-470-042,1,VLDR,SR,161470042,217.392347794,2775.89669642,0.06372581948,2811,SR,1
164-410-053,1,LDR,PD_VntgGrn,164410053,298.011161197,4128.92123308,0.09478698882,2812,PD_VntgGrn,1
066-372-007,1,LDR,VR,066372007,315.33287074,5999.44006413,0.13772819247,2813,VR,1
164-320-062,1,VLDR,PD_VntgGrn,164320062,1985.63947591,47516.9820598,1.09083980854,2814,PD_VntgGrn,1
066-352-012,1,VLDR,SR,066352012,400.564557961,8451.89026838,0.19402870221,2815,SR,1
161-060-057,1,VLDR,SR,161060057,863.609294588,23301.0480265,0.53491845791,2816,SR,1
161-560-033,1,LDR,VR,161560033,282.901043391,4134.92163244,0.09492473904,2817,VR,1
066-430-016,1,VLDR,SR,066430016,466.0250034,12243.67183,0.28107602916,2818,SR,1
066-342-003,1,VLDR,SR,066342003,372.603340854,8144.9558761,0.18698245813,2819,SR,1
161-470-021,1,VLDR,SR,161470021,440.135463325,9729.64485379,0.22336191124,2820,SR,1
164-410-047,1,LDR,PD_VntgGrn,164410047,261.77773957,3736.01656711,0.08576713882,2821,PD_VntgGrn,1
164-340-060,1,VLDR,PD_VntgGrn,164340060,319.782938933,6001.81932489,0.13778281278,2822,PD_VntgGrn,1
164-450-042,1,LDR,PD_VntgGrn,164450042,286.162227761,4845.55535633,0.11123864454,2823,PD_VntgGrn,1
164-280-016,1,LDR,VR,164280016,288.30096091,4407.66137172,0.1011859819,2824,VR,1
161-162-014,1,VLDR,SR,161162014,293.049859037,4593.1671666,0.10544460897,2825,SR,1
164-210-044,1,LDR,VR,164210044,280.276015736,4585.05824599,0.10525845376,2826,VR,1
161-560-023,1,LDR,VR,161560023,255.584748941,3256.58140572,0.07476082199,2827,VR,1
161-580-007,1,LDR,VR,161580007,263.370455276,4104.43748501,0.09422491931,2828,VR,1
161-161-003,1,VLDR,SR,161161003,293.511358673,4575.45540066,0.10503800277,2829,SR,1
066-342-004,1,VLDR,SR,066342004,372.913950179,8155.60604545,0.18722695238,2830,SR,1
164-350-006,1,NC,CC,164350006,534.40984956,15579.0306043,0.35764533068,2831,CC,0
161-560-013,1,LDR,VR,161560013,263.775133148,3786.78151565,0.08693254168,2832,VR,1
066-343-002,1,VLDR,SR,066343002,400.493151507,9855.156142,0.22624325395,2833,SR,1
066-342-008,1,VLDR,SR,066342008,369.958107011,8052.04391774,0.18484949306,2834,SR,1
066-470-056,1,OS,OS,066470056,1609.48337328,52406.5084573,1.20308788929,2835,OS,0
164-150-057,1,PQ,PI,164150057,3327.28218714,458636.612698,10.5288478581,2836,PI,0
066-341-003,1,VLDR,SR,066341003,520.369585897,14609.5369758,0.33538881946,2837,SR,1
066-372-008,1,LDR,VR,066372008,315.338078733,5999.92115517,0.1377392368,2838,VR,1
164-410-044,1,LDR,PD_VntgGrn,164410044,263.790199145,3797.57385434,0.08718029969,2839,PD_VntgGrn,1
066-400-003,1,VLDR,SR,066400003,402.243675829,10004.9666806,0.22968243068,2840,SR,1
066-070-053,1,LDR,VR,066070053,389.283781755,7163.03808066,0.16444072729,2841,VR,1
066-373-004,1,LDR,VR,066373004,320.008735373,6000.48214462,0.13775211535,2842,VR,1
066-420-021,1,VLDR,SR,066420021,568.181572859,20062.6285697,0.4605745769,2843,SR,1
161-310-014,1,VLDR,SR,161310014,394.416384679,7371.94609912,0.16923659548,2844,SR,1
164-410-006,1,LDR,PD_VntgGrn,164410006,285.639441981,5045.52647235,0.11582934969,2845,PD_VntgGrn,1
066-560-024,1,ER,ER,066560024,476.989350094,14607.8580868,0.33535027748,2846,ER,1
161-560-020,1,LDR,VR,161560020,249.423971459,3351.21066124,0.07693321077,2847,VR,1
161-580-004,1,LDR,VR,161580004,263.395359262,4105.05520679,0.09423910025,2848,VR,1
066-022-022,1,ER,ER,066022022,648.260573615,26137.2782646,0.60002934492,2849,ER,1
066-010-013,1,VLDR,SR,066010013,782.898454752,31084.8579852,0.71361014658,2850,SR,1
066-341-008,1,VLDR,SR,066341008,385.213134048,8586.87889609,0.1971276147,2851,SR,1
164-210-046,1,LDR,VR,164210046,276.278067361,4408.91526775,0.1012147674,2852,VR,1
