ZN_ID,GP_DESG,FILENUM,OTHER,ACRES,CHANGED,LABCLAS,ZNPROP,ZNEX,ZNEXUPD,T_GP,LABEL_F,ZNPROPD,T_hndlb,Cannabs,gnrl_p_,id,edt_g__,zoning
127,NA,NA,NA,2.269,Y,Medium,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,83,Medium High and High Density Residential District,2
128,OS,NA,NA,0.606,N,Small,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),84,Single-Family Residential District (6 du/acre),1
130,NA,83-3,NA,4.802,N,Small -FileNum,P-D,P-D,P-D,NA,fn - hand lab,Planned Development District,Yes,0,Planned Development District_NonRes,85,Planned Development District_NonRes,0
138,Flood control Wetlands Mitigation area,NA,NA,2.092,N,Medium,R-6,R-1,R-6,RIVERTWN,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),86,Single-Family Residential District (6 du/acre),1
144,NA,NA,NA,230.364,N,Large,FRWY,U,FRWY,NA,NA,Freeway,No,0,Freeway,87,Freeway,3
147,NA,70-2,NA,10.57,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_MF,88,Planned Development District_MF,2
148,NA,NA,NA,24.334,Y,Large,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,89,Medium High and High Density Residential District,2
149,NA,07-01,NA,156.682,N,Large,C-3,C-3,C-4,NA,NA,Service/Regional Commercial District,No,0,Service/Regional Commercial District,90,Service/Regional Commercial District,0
150,NA,NA,NA,7.181,N,Medium,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,91,Professional Office District,0
153,NA,NA,NA,2.855,N,Medium,R-10,R-2,R-10,NA,NA,Medium Density Residential District,No,0,Medium Density Residential District,92,Medium Density Residential District,2
154,NA,NA,NA,0.169,N,Use  leader,C-O,C-O/B-4,C-O/B-4,NA,NA,Professional Office District,Yes,0,Professional Office District,93,Professional Office District,0
155,NA,NA,NA,1.004,N,Small,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,94,Convenience Commercial District,0
156,NA,NA,NA,0.437,N,Very small,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,95,Professional Office District,0
159,NA,85-2,NA,4.995,N,Small -FileNum,P-D,P-D,P-D,NA,fn - hand lab,Planned Development District,Yes,0,Planned Development District_SF,96,Planned Development District_SF,1
160,NA,80-1,NA,10.605,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,97,Planned Development District_SF,1
170,MDR,NA,NA,0.123,N,Use  leader,C-2,M-1,M-1,RIVERTWN,NA,Neighborhood/Community Commercial District,Yes,0,Neighborhood/Community Commercial District,98,Neighborhood/Community Commercial District,0
171,NA,NA,NA,24.668,Y,Large,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,99,Medium High and High Density Residential District,2
176,Industrial,NA,NA,8.753,Y,Medium,WF,M-1,M-1,RIVERTWN,NA,Urban Waterfront District,No,0,Urban Waterfront District,100,Urban Waterfront District,0
177,NA,NA,NA,29.546,N,Large,P-D,P-D,P-D,RIVERTWN,NA,Planned Development District,No,0,Planned Development District_NonRes,101,Planned Development District_NonRes,0
178,NA,NA,NA,10.882,N,Large,R-10,R-2,R-10,NA,NA,Medium Density Residential District,No,0,Medium Density Residential District,102,Medium Density Residential District,2
179,NA,85-4,NA,4.885,N,Small -FileNum,P-D,P-D,P-D,NA,fn - hand lab,Planned Development District,Yes,0,Planned Development District_SF,103,Planned Development District_SF,1
180,NA,NA,NA,13.132,N,Large,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,104,Medium High and High Density Residential District,2
181,NA,NA,NA,10.801,Y,Large,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,105,Medium High and High Density Residential District,2
182,NA,NA,NA,15.956,Y,Large,R-20T,R-3T,R-15T,NA,NA,R-20 Manufactured Housing Combining District,No,0,R-20 Manufactured Housing Combining District,106,R-20 Manufactured Housing Combining District,2
183,NA,83-1,NA,129.638,N,Large-FileNum,HPD,HPD,HPD,NA,has fn,Hillside Planned Development District,No,0,Hillside Planned Development District,107,Hillside Planned Development District,1
184,NA,78-2,NA,69.453,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,108,Planned Development District_SF,1
185,"BP, OS, no data",NA,NA,60.5,N,Large,PBC,M-1,M-1,NA,NA,Light Industrial District,No,0,Light Industrial District,109,Light Industrial District,0
186,NA,NA,NA,5.448,N,Medium,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,110,Professional Office District,0
189,OS,NA,NA,46.243,Y,Large,OS,R-1,R-6,NA,NA,Open Space/Public Use District,No,0,Open Space/Public Use District,111,Open Space/Public Use District,0
190,NA,NA,NA,2.416,N,Medium,R-6,C-O/B-4,C-O/B-4,NA,NA,Professional Office District,No,0,Professional Office District,112,Professional Office District,0
191,NA,NA,NA,11.636,N,Large,R-20,R-3/B-4,R-15/B-4,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,113,Medium High and High Density Residential District,2
192,NA,88-1.1,NA,3.669,N,Small -FileNum,P-D,P-D,P-D,NA,fn - hand lab,Planned Development District,Yes,0,Planned Development District_NonRes,114,Planned Development District_NonRes,0
198,NA,NA,NA,19.37,NA,Medium,C-2,C-2,C-2,NA,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,115,Neighborhood/Community Commercial District,0
205,NA,NA,NA,0.346,N,Use  leader,R-10,R-2,R-10,NA,NA,Medium Density Residential District,Yes,0,Medium Density Residential District,116,Medium Density Residential District,2
206,NA,NA,NA,0.341,Y,Very small,C-2,C-O/B-4,C-O/B-4,NA,NA,Professional Office District,No,0,Professional Office District,117,Professional Office District,0
207,NA,NA,NA,2.159,Y,Medium,C-2,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,118,Professional Office District,0
210,NA,NA,NA,0.213,Y,Use  leader,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,Yes,0,Medium High and High Density Residential District,119,Medium High and High Density Residential District,2
214,NA,NA,NA,9.312,Y,Medium,C-2,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,120,Convenience Commercial District,0
218,NA,NA,NA,15.372,N,Large,C-2,C-2,C-2,NA,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,121,Neighborhood/Community Commercial District,0
219,NA,NA,NA,2.101,N,Medium,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,122,Medium High and High Density Residential District,2
220,NA,78-7,NA,9.76,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_MF,123,Planned Development District_MF,2
221,NA,NA,NA,17.534,N,Large,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,124,Professional Office District,0
222,NA,78-6,NA,11.019,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,125,Planned Development District_SF,1
224,NA,NA,NA,4.009,N,Medium,C-1,C-1/B-4,C-1/B-4,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,126,Convenience Commercial District,0
225,NA,86-10,NA,22.1,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,127,Planned Development District_SF,1
226,NA,NA,NA,3.744,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_SF,128,Planned Development District_SF,1
227,NA,79-2,NA,18.921,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,129,Planned Development District_SF,1
228,NA,85-3,NA,17.921,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_MF,130,Planned Development District_MF,2
229,NA,NA,NA,0.154,Y,Use  leader,C-2,C-O/B-4,C-O/B-4,NA,NA,Professional Office District,Yes,0,Professional Office District,131,Professional Office District,0
231,NA,NA,NA,4.686,Y,Medium,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,132,Medium High and High Density Residential District,2
232,NA,06-04,(C-2),5.044,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,133,Planned Development District_NonRes,0
233,NA,NA,NA,1.813,N,Medium,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,134,Convenience Commercial District,0
237,NA,89-6.1,NA,13.801,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,135,Planned Development District_NonRes,0
239,NA,88-5,NA,17,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_MF,136,Planned Development District_MF,2
240,NA,NA,NA,9.617,N,Medium,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,137,Convenience Commercial District,0
244,NA,NA,NA,139.066,Y,Large,PBC,M-2,M-2,NA,NA,Planned Business Center,No,1,Planned Business Center,138,Planned Business Center,0
245,NA,NA,NA,9.167,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_SF,139,Planned Development District_SF,1
248,BP,NA,NA,5.83,N,Medium,PBC,M-1,PBC,NA,NA,Planned Business Center,No,1,Planned Business Center,140,Planned Business Center,0
250,NA,79-3,NA,24.636,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_MF,141,Planned Development District_MF,2
252,NA,85-9,NA,34.973,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,142,Planned Development District_NonRes,0
257,NA,NA,NA,974.445,Y,Large,OS,S,S,NA,NA,Study District,No,0,Study District_NonRes,143,Study District_NonRes,0
258,NA,04-12,(PBC),14.76,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_MF,144,Planned Development District_MF,2
259,OS,NA,NA,11.593,N,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),145,Single-Family Residential District (6 du/acre),1
260,NA,85-1.1,NA,24.116,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,146,Planned Development District_NonRes,0
261,NA,NA,NA,13.184,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,147,Planned Development District_NonRes,0
262,NA,86-4,NA,52.386,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,148,Planned Development District_SF,1
264,NA,86-9.1,NA,18.182,N,Large-FileNum,HPD,HPD,HPD,NA,has fn,Hillside Planned Development District,No,0,Hillside Planned Development District,149,Hillside Planned Development District,1
265,NA,NA,NA,5.721,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,150,Planned Development District_NonRes,0
266,NA,NA,NA,6.114,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,151,Planned Development District_NonRes,0
267,NA,NA,NA,1.927,N,Medium,S,S,S,NA,NA,Study District,No,0,Study District_NonRes,152,Study District_NonRes,0
268,OS,NA,NA,4.406,N,Medium,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),153,Single-Family Residential District (6 du/acre),1
269,NA,NA,ELEM SCHOOL,9.729,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,154,Planned Development District_NonRes,0
270,NA,81-8,NA,33.153,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,155,Planned Development District_NonRes,0
271,NA,83-4,NA,44.436,N,Large-FileNum,HPD,HPD,HPD,NA,has fn,Hillside Planned Development District,No,0,Hillside Planned Development District,156,Hillside Planned Development District,1
272,NA,NA,NA,10.291,N,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),157,Single-Family Residential District (6 du/acre),1
273,NA,NA,NA,0.658,Y,Small,C-2,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,158,Professional Office District,0
274,NA,NA,NA,17.493,Y,Large,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,159,Medium High and High Density Residential District,2
279,NA,NA,NA,22.933,N,Large,R-10T,R-2T,R-10T,NA,NA,R-10 Manufactured Housing Combining District,No,0,R-10 Manufactured Housing Combining District,160,R-10 Manufactured Housing Combining District,2
284,NA,NA,NA,1.379,Y,Small,R-20,R-3,R-15,RIVERTWN,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,161,Medium High and High Density Residential District,2
285,NA,NA,NA,15.119,N,Large,C-O,C-O,C-O,NA,NA,Professional Office District,No,0,Professional Office District,162,Professional Office District,0
286,NA,NA,NA,1.231,N,Small,R-20,R-4/B-4,R-20/B-4,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,163,Medium High and High Density Residential District,2
289,NA,70-1,NA,16.868,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_MF,164,Planned Development District_MF,2
290,NA,70-1,(C-O),10.414,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,165,Planned Development District_NonRes,0
291,NA,09-01,(R-20),12.609,N,Large,R-6,R-6,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),166,Single-Family Residential District (6 du/acre),1
292,NA,NA,(C-2),7.627,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,167,Planned Development District_NonRes,0
293,NA,84-1,NA,60.519,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,168,Planned Development District_NonRes,0
294,NA,79-5.4,NA,40.487,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,169,Planned Development District_SF,1
295,MDR,NA,NA,0.118,Y,Use  leader,C-1,R-1,R-6,RIVERTWN,NA,Convenience Commercial District,Yes,0,Convenience Commercial District,170,Convenience Commercial District,0
296,NA,NA,NA,0.979,Y,Small,C-1,C-O,C-O,RIVERTWN,NA,Convenience Commercial District,No,0,Convenience Commercial District,171,Convenience Commercial District,0
297,NA,NA,NA,0.113,Y,Use  leader,C-1,C-2,C-2,RIVERTWN,NA,Convenience Commercial District,Yes,0,Convenience Commercial District,172,Convenience Commercial District,0
301,Commercial,NA,NA,0.464,N,Very small,M-1,M-1,M-1,RIVERTWN,NA,Light Industrial District,No,0,Light Industrial District,173,Light Industrial District,0
302,NA,NA,NA,0.152,N,Use  leader,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,Yes,0,Medium High and High Density Residential District,174,Medium High and High Density Residential District,2
304,NA,NA,NA,0.687,N,Small,C-1,C-1,C-1,NA,NA,Convenience Commercial District,No,0,Convenience Commercial District,175,Convenience Commercial District,0
305,NA,86-1,NA,16.693,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,176,Planned Development District_NonRes,0
306,NA,NA,NA,7.228,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_MF,177,Planned Development District_MF,2
307,BP,NA,NA,70.588,N,Large,PBC,M-1,PBC,NA,NA,Planned Business Center,No,0,Planned Business Center,178,Planned Business Center,0
308,NA,85-1.0,NA,117.758,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,179,Planned Development District_NonRes,0
309,NA,88-2,NA,1.481,N,Small -FileNum,P-D,P-D,P-D,NA,fn - hand lab,Planned Development District,Yes,0,Planned Development District_SF,180,Planned Development District_SF,1
310,NA,86-9.1,NA,144.109,N,Large-FileNum,HPD,HPD,HPD,NA,has fn,Hillside Planned Development District,No,0,Hillside Planned Development District,181,Hillside Planned Development District,1
311,NA,87-4.1,NA,89.436,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,182,Planned Development District_SF,1
312,NA,85-6,NA,41.887,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,183,Planned Development District_SF,1
313,NA,81-8,NA,148.048,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,184,Planned Development District_SF,1
314,NA,85-11.1,NA,6.607,N,Small -FileNum,P-D,P-D,P-D,NA,fn - hand lab,Planned Development District,Yes,0,Planned Development District_NonRes,185,Planned Development District_NonRes,0
315,NA,86-8,NA,2.491,N,Small -FileNum,P-D,P-D,P-D,NA,fn - hand lab,Planned Development District,Yes,0,Planned Development District_NonRes,186,Planned Development District_NonRes,0
316,NA,NA,NA,0.77,N,Small,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_SF,187,Planned Development District_SF,1
317,NA,86-8,NA,119.369,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,188,Planned Development District_SF,1
318,NA,85-11.1,NA,106.517,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,189,Planned Development District_SF,1
319,NA,85-11.2,NA,17.769,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_MF,190,Planned Development District_MF,2
320,NA,88-5.1,NA,316.83,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,191,Planned Development District_SF,1
322,NA,87-9.2,NA,108.729,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,192,Planned Development District_SF,1
323,NA,87-6.1,NA,148.523,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,193,Planned Development District_SF,1
324,NA,88-4.1,NA,81.033,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,194,Planned Development District_SF,1
325,NA,87-8.1,NA,268.74,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,195,Planned Development District_SF,1
327,NA,89-1.1,NA,313.588,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,196,Planned Development District_SF,1
328,NA,NA,NA,198.735,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_SF,197,Planned Development District_SF,1
329,NA,NA,NA,30.259,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_SF,198,Planned Development District_SF,1
330,NA,86-3.1,NA,196.308,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,199,Planned Development District_SF,1
331,NA,86-5,NA,30.821,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,200,Planned Development District_SF,1
332,NA,86-4,NA,47.821,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,201,Planned Development District_NonRes,0
333,NA,86-5,NA,46.208,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,202,Planned Development District_SF,1
334,NA,86-5,NA,34.873,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,203,Planned Development District_SF,1
335,NA,87-5,NA,15.115,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,204,Planned Development District_SF,1
336,NA,87-3,NA,48.292,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,205,Planned Development District_SF,1
337,NA,86-6,NA,36.279,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,206,Planned Development District_SF,1
338,NA,85-1.2,NA,241.459,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,207,Planned Development District_SF,1
339,NA,87-2,NA,129.946,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,208,Planned Development District_SF,1
340,NA,86-11,NA,179.677,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,209,Planned Development District_SF,1
341,NA,NA,NA,9.8,N,Medium,C-2,C-2,C-2,NA,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,210,Neighborhood/Community Commercial District,0
344,NA,NA,NA,5.639,Y,Medium,R-10,R-3,R-15,NA,NA,Medium Density Residential District,No,0,Medium Density Residential District,211,Medium Density Residential District,2
345,NA,NA,NA,1.011,N,Small,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_MF,212,Planned Development District_MF,2
346,NA,NA,(C-2),6.127,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,213,Planned Development District_NonRes,0
347,NA,NA,(C-O),12.115,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,214,Planned Development District_NonRes,0
348,NA,98-01 & 13-01,(C-2),26.303,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,215,Planned Development District_NonRes,0
349,NA,04-11,(C-2),9.479,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,216,Planned Development District_NonRes,0
350,NA,04-08,(C-O),7.823,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,217,Planned Development District_NonRes,0
351,NA,87-7.1,NA,92.479,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,218,Planned Development District_SF,1
352,NA,87-1,NA,102.522,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,219,Planned Development District_SF,1
353,NA,80-2,NA,101.609,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,220,Planned Development District_SF,1
354,NA,87-11.1,NA,38.164,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,221,Planned Development District_SF,1
355,NA,86-7,NA,114.716,Y,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,222,Planned Development District_SF,1
356,NA,79-5.3,NA,32.58,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,223,Planned Development District_SF,1
359,NA,90-1,NA,48.845,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,224,Planned Development District_SF,1
360,NA,NA,NA,40.97,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_SF,225,Planned Development District_SF,1
361,NA,NA,NA,2.509,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,226,Planned Development District_NonRes,0
362,NA,NA,NA,0.584,N,Small,P-D/S-H,P-D/S-H,P-D/S-H,NA,NA,Planned Development/Senior Housing Overlay District,No,0,Planned Development/Senior Housing Overlay Distric,227,Planned Development/Senior Housing Overlay Distric,2
363,NA,NA,NA,0,N,Large,HPD,HPD,HPD,NA,NA,Hillside Planned Development District,No,0,Hillside Planned Development District,228,Hillside Planned Development District,1
364,MLDR,NA,NA,3.655,N,Medium,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,1,Single-Family Residential District (6 du/acre),229,Single-Family Residential District (6 du/acre),1
35,Dow Wetlands Preserve,NA,NA,0,NA,Large,M-1,M-1,M-1,RIVERTWN,NA,Light Industrial District,No,0,Light Industrial District,230,Light Industrial District,0
140,NA,NA,NA,43.458,Y,Large,RTC,M-2,M-2,RIVERTWN,NA,Rivertown Retail District,No,0,Rivertown Retail District,231,Rivertown Retail District,0
50,MDR,NA,NA,25.461,N,Large,R-6,R-1,R-6,RIVERTWN,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),232,Single-Family Residential District (6 du/acre),1
75,NA,NA,NA,2.608,N,Medium,R-10,R-2,R-10,RIVERTWN,NA,Medium Density Residential District,No,0,Medium Density Residential District,233,Medium Density Residential District,2
168,NA,NA,NA,10.277,N,Large,C-2,C-1,C-1,RIVERTWN,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,234,Neighborhood/Community Commercial District,0
175,NA,NA,NA,7.93,N,Medium,M-2,M-2,M-2,RIVERTWN,NA,Heavy Industrial District,No,1,Heavy Industrial District,235,Heavy Industrial District,0
175,NA,NA,NA,15.035,Y,Large,WF,M-2,M-2,RIVERTWN,NA,Urban Waterfront District,No,1,Urban Waterfront District,236,Urban Waterfront District,0
241,NA,NA,NA,32.097,N,Large,M-1,M-1,M-1,NA,NA,Light Industrial District,No,1,Light Industrial District,237,Light Industrial District,0
241,NA,NA,NA,8.816,Y,Medium,OS,M-1,M-1,NA,NA,Open Space/Public Use District,No,1,Open Space/Public Use District,238,Open Space/Public Use District,0
158,NA,NA,NA,13.225,Y,Large,R-20,R-3,R-15,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,239,Medium High and High Density Residential District,2
238,NA,NA,NA,59.269,N,Large,C-2,C-2/B-4,C-2/B-4,NA,NA,Neighborhood/Community Commercial District,No,0,Neighborhood/Community Commercial District,240,Neighborhood/Community Commercial District,0
235,NA,NA,NA,15.664,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,241,Planned Development District_NonRes,0
263,NA,NA,NA,7.86,Y,Medium,OS,R-1,R-6,NA,NA,Open Space/Public Use District,No,0,Open Space/Public Use District,242,Open Space/Public Use District,0
281,NA,NA,NA,5.117,Y-newisl,Medium,OS,R-1,R-6,NA,NA,Open Space/Public Use District,No,0,Open Space/Public Use District,243,Open Space/Public Use District,0
17,PI,NA,NA,10.63,N,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),244,Single-Family Residential District (6 du/acre),1
17,PI,NA,NA,5.358,Y,Medium,OS,R-1,R-6,NA,NA,Open Space/Public Use District,No,0,Open Space/Public Use District,245,Open Space/Public Use District,0
321,NA,87-10.1,NA,234.303,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,246,Planned Development District_SF,1
24,NA,NA,(C-2),6.816,N,Medium,P-D,P-D,P-D,NA,NA,Mixed Commercial/Residential District,No,0,Mixed Commercial/Residential District_NonRes,247,Mixed Commercial/Residential District_NonRes,0
24,NA,87-10.1,(C-2),32.175,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,248,Planned Development District_NonRes,0
358,NA,NA,NA,5.909,Y,Medium,R-6,P-D,P-D,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),249,Single-Family Residential District (6 du/acre),1
