ZN_ID,GP_DESG,FILENUM,OTHER,ACRES,CHANGED,LABCLAS,ZNPROP,ZNEX,ZNEXUPD,T_GP,LABEL_F,ZNPROPD,T_hndlb,Cannabs,gnrl_p_,id,edt_g__,zoning
140,NA,NA,NA,7.456,Y,Medium,OS,M-2,M-2,RIVERTWN,NA,Open Space/Public Use District,No,0,Open Space/Public Use District,292,Open Space/Public Use District,0
140,NA,NA,NA,8.708,Y,Medium,RTR-10,M-2,M-2,RIVERTWN,NA,Rivertown Medium Density Residential District,No,0,Rivertown Medium Density Residential District,293,Rivertown Medium Density Residential District,1
140,NA,NA,NA,8.708,Y,Medium,OS,M-2,M-2,RIVERTWN,NA,Rivertown Medium Density Residential District,No,0,Rivertown Medium Density Residential District_NonRes,294,Rivertown Medium Density Residential District_NonRes,0
357,BP,08-06,NA,76.973,N,Large,PBC,C-3,C-3,NA,NA,Service/Regional Commercial District,No,0,Service/Regional Commercial District,295,Service/Regional Commercial District,0
263,NA,NA,NA,795.093,N,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),296,Single-Family Residential District (6 du/acre),1
300,Commercial,05-06,NA,99.183,Y,Large,RTR-10,RTR-10,RTR-10,RIVERTWN,NA,Rivertown Low/Medium Density Residential District (11-20DU/ACRE),No,0,Rivertown Low/Medium Density Residential District,297,Rivertown Low/Medium Density Residential District,1
61,NA,NA,NA,52.571,Y,Large,MCR,R-3,R-15,RIVERTWN,NA,Mixed Commercial/Residential District,No,0,Mixed Commercial/Residential District_SF,298,Mixed Commercial/Residential District_SF,1
2,Office related,NA,NA,48.439,N,Large,C-3,C-3/B-4,C-3/B-4,NA,NA,Service/Regional Commercial District,No,0,Service/Regional Commercial District,299,Service/Regional Commercial District,0
2,Office related,NA,NA,48.439,Y,Large,MCR,C-3/B-4,C-3/B-4,NA,NA,Service/Regional Commercial District,No,0,Service/Regional Commercial District,300,Service/Regional Commercial District,0
55,NA,NA,NA,4.4,Y,Medium,RTR-20,R-4,R-20,RIVERTWN,NA,Rivertown Medium High and High Density Residential District,No,0,Rivertown Medium High and High Density Residential,301,Rivertown Medium High and High Density Residential,2
55,NA,NA,NA,4.4,Y,Medium,C-1,R-4,R-20,RIVERTWN,NA,Rivertown Medium High and High Density Residential District,No,0,Rivertown Medium High and High Density Residential,302,Rivertown Medium High and High Density Residential,2
137,NA,NA,NA,284.68,Y-M,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),303,Single-Family Residential District (6 du/acre),1
137,NA,NA,NA,284.68,Y-M,Large,PBC,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),304,Single-Family Residential District (6 du/acre),1
277,NA,NA,NA,57.558,N,Large,R-6,R-1,R-6,NA,NA,Single-Family Residential District (6 du/acre),No,0,Single-Family Residential District (6 du/acre),305,Single-Family Residential District (6 du/acre),1
39,Commercial,NA,NA,22.449,N,Large,C-3,C-3,C-3,NA,NA,Service/Regional Commercial District,No,0,Service/Regional Commercial District,306,Service/Regional Commercial District,0
39,Commercial,10-01,NA,22.449,N,Large,C-2,C-3,C-3,NA,NA,Service/Regional Commercial District,No,0,Service/Regional Commercial District,307,Service/Regional Commercial District,0
53,MDR,NA,NA,27.178,N,Large,M-1,M-1,M-1,RIVERTWN,NA,Light Industrial District,No,0,Light Industrial District,308,Light Industrial District,0
0,PLANNED DEVELOPMENT DISTRICT,NA,NA,0,Y,NA,PD,PD,PD,NA,NA,PLANNED DEVELOPMENT DISTRICT,NA,0,PLANNED DEVELOPMENT DISTRICT_MF,309,PLANNED DEVELOPMENT DISTRICT_MF,2
0,NA,NA,NA,0,Y,NA,C-2,NA,NA,NA,NA,NEIGHBORHOOD/COMMUNITY COMMERCIAL DISTRICT,NA,0,NEIGHBORHOOD/COMMUNITY COMMERCIAL DISTRICT,310,NEIGHBORHOOD/COMMUNITY COMMERCIAL DISTRICT,0
