DATA,DATA_TY,Shp_Lng,Shap_Ar,gnrl_p_,id,edt_g__,zoningd,zoning
U,Unincorporated,5415.26994375,792330.933182,Unincorporated,342,Unincorporated,112,3
U,Unincorporated,10535.2461223,556171.14755,Unincorporated,343,Unincorporated,112,3
U,Unincorporated,94900.3548835,277896210.281,Unincorporated,344,Unincorporated,112,3
U,Unincorporated,2678.29525466,391510.673595,Unincorporated,345,Unincorporated,112,3
U,Unincorporated,4240.67506235,385980.861182,Unincorporated,346,Unincorporated,112,3
U,Unincorporated,3847.77269556,289106.461372,Unincorporated,347,Unincorporated,112,3
U,Unincorporated,3046.26132204,240579.845717,Unincorporated,348,Unincorporated,112,3
U,Unincorporated,1500.07499218,135305.363769,Unincorporated,349,Unincorporated,112,3
U,Unincorporated,1524.40547528,106913.937391,Unincorporated,350,Unincorporated,112,3
U,Unincorporated,1299.23356379,88838.0992353,Unincorporated,351,Unincorporated,112,3
U,Unincorporated,1581.27529972,86316.8435064,Unincorporated,352,Unincorporated,112,3
U,Unincorporated,1483.52636342,77515.2378658,Unincorporated,353,Unincorporated,112,3
U,Unincorporated,1628.41958198,61647.3995161,Unincorporated,354,Unincorporated,112,3
U,Unincorporated,1152.2980253,36529.3871447,Unincorporated,355,Unincorporated,112,3
U,Unincorporated,956.043605134,34733.8079056,Unincorporated,356,Unincorporated,112,3
U,Unincorporated,1886.6881197,24429.0758142,Unincorporated,357,Unincorporated,112,3
U,Unincorporated,541.100463008,14699.119873,Unincorporated,358,Unincorporated,112,3
U,Unincorporated,383.265998675,3486.57683311,Unincorporated,359,Unincorporated,112,3
U,Unincorporated,946.262843405,19080.646054,Unincorporated,360,Unincorporated,112,3
U,Unincorporated,472.95613146,4140.96236168,Unincorporated,361,Unincorporated,112,3
U,Unincorporated,2112.76255337,39234.8491753,Unincorporated,362,Unincorporated,112,3
PUD-MDR,Planned Unit Development - Medium Density Residential,5890.58208577,1190665.27274,Planned Unit Development - Medium Density Residential,363,Planned Unit Development - Medium Density Residential,40,1
RM-15,Multiple-Family Residential,1642.63812201,163219.998153,Multiple-Family Residential,364,Multiple-Family Residential,302,2
R-1-65,Single Family Residential,712.433058769,32610.4618536,Single Family Residential,365,Single Family Residential,55,1
PUD-HDR,Planned Unit Development - High Density Residential,588.901624078,20622.5003135,Planned Unit Development - High Density Residential,366,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,617.240191696,22014.013685,Planned Unit Development - High Density Residential,367,Planned Unit Development - High Density Residential,14,2
A,Agriculture,3122.31582594,362623.110327,Agriculture,368,Agriculture,1,0
PUD-HDR,Planned Unit Development - High Density Residential,1816.09941885,156354.315672,Planned Unit Development - High Density Residential,369,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,3336.66256133,578231.189278,Planned Unit Development - High Density Residential,370,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2525.22070291,321973.559335,Planned Unit Development - High Density Residential,371,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2715.40358871,418253.626688,Planned Unit Development - High Density Residential,372,Planned Unit Development - High Density Residential,14,2
PUD-A,Agriculture-PUD,1623.58561248,136822.399895,Agriculture-PUD,373,Agriculture-PUD,149,0
