DATA,DATA_TY,Shp_Lng,Shap_Ar,gnrl_p_,id,edt_g__,zoningd,zoning
PUD-OS,Planned Unit Development - Open Space,6331.12645632,71040.3839325,Planned Unit Development - Open Space,509,Planned Unit Development - Open Space,260,1
PUD-OS,Planned Unit Development - Open Space,7165.61509408,776922.550998,Planned Unit Development - Open Space,510,Planned Unit Development - Open Space,260,0
PUD-HR,Hillside Residential,1218.11482447,84450.7128644,Hillside Residential,511,Hillside Residential,202,1
PUD-OS,Planned Unit Development - Open Space,5550.76774689,793136.828733,Planned Unit Development - Open Space,512,Planned Unit Development - Open Space,260,0
PUD-LDR,Low Density Residential,4979.23833499,859080.545071,Low Density Residential,513,Low Density Residential,29,1
PUD-OS,Planned Unit Development - Open Space,5820.4748416,826831.261864,Planned Unit Development - Open Space,514,Planned Unit Development - Open Space,260,0
U,Unincorporated,13708.1988899,7218782.83213,Unincorporated,515,Unincorporated,112,3
PUD-LDR/HDR/P&I & Mixed P&I/MDR,Low Density Residential/High Density Residential/Public & Institutional-Mixed Public & Institutional/Medium Density Residential-PUD,7277.23406103,2703354.71768,Low Density Residential/High Density Residential_MultiFamily,516,Low Density Residential/High Density Residential_MultiFamily,995,2
I-G-40,General Industrial,17594.2242861,9500985.10165,General Industrial,517,General Industrial,114,0
S,Study District,2364.22264798,57146.3999517,Study District_NonRes,518,Study District_NonRes,545,0
S,Study District,2874.15672974,69465.7366812,Study District_NonRes,519,Study District_NonRes,545,0
PUD-I,Industrial-PUD,3798.14010514,310476.005315,Industrial-PUD,520,Industrial-PUD,210,0
PUD-MDR,Planned Unit Development - Medium Density Residential,4897.69344106,738862.498848,Planned Unit Development - Medium Density Residential,521,Planned Unit Development - Medium Density Residential,40,1
PUD-C,Commercial-PUD,2806.21651349,152845.468485,Commercial-PUD,522,Commercial-PUD,6,0
PUD-MDR,Planned Unit Development - Medium Density Residential,3767.28226447,211171.083336,Planned Unit Development - Medium Density Residential,523,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2212.2949512,219486.284083,Planned Unit Development - Medium Density Residential,524,Planned Unit Development - Medium Density Residential,40,1
PUD-P,Public & Institutional-PUD,2171.60954055,210477.013831,Public & Institutional-PUD,525,Public & Institutional-PUD,51,0
PUD-HDR,Planned Unit Development - High Density Residential,1196.88792125,61347.5752874,Planned Unit Development - High Density Residential,526,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,1904.33844867,213083.046453,Planned Unit Development - High Density Residential,527,Planned Unit Development - High Density Residential,14,2
PUD-MDR,Planned Unit Development - Medium Density Residential,4072.19917298,916903.527416,Planned Unit Development - Medium Density Residential,528,Planned Unit Development - Medium Density Residential,40,1
PUD-O,Planned Unit Development - Office,1739.86630572,179851.056252,Planned Unit Development - Office,529,Planned Unit Development - Office,126,0
PUD-C,Commercial-PUD,1012.38693591,58750.09864,Commercial-PUD,530,Commercial-PUD,6,0
PUD-C,Commercial-PUD,3357.04116975,578503.382494,Commercial-PUD,531,Commercial-PUD,6,0
