ZoningDesc,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
Residential Planned Development,162562.728516,1841.59804523,RPD,1
Residential Planned Development,151852.338867,1625.80548118,RPD,1
Residential Planned Development,144690.59082,1869.49635284,RPD,1
Residential Planned Development,233246.477539,2979.58420238,RPD,1
Residential Planned Development,132316.746094,1488.92626896,RPD,1
Residential Planned Development,109410.907227,1549.07915016,RPD,1
Residential Planned Development,104358.056641,2501.14574207,RPD,1
Residential Planned Development,103492.086914,1834.20905981,RPD,1
Residential Planned Development,81851.625,1643.40705885,RPD,1
Residential Planned Development,96571.6904297,2054.40669525,RPD,1
Residential Planned Development,95224.4570313,1200.24628159,RPD,1
Residential Planned Development,85255.890625,2045.48966477,RPD,1
Residential Planned Development,84550.0976563,1241.47309914,RPD,1
Residential Planned Development,82396.3847656,1268.29495732,RPD,1
Residential Planned Development,75811.7119141,1617.97747257,RPD,1
Residential Planned Development,73048.0634766,1340.12287646,RPD,1
Residential Planned Development,69790.4121094,1149.10061766,RPD,1
Residential Planned Development,67646.6640625,1140.34521111,RPD,1
Residential Planned Development,64209.4375,1127.66573741,RPD,1
Residential Planned Development,46735.0371094,1033.11801083,RPD,1
Residential Planned Development,46103.1425781,933.975331322,RPD,1
Residential Planned Development,32377.9189453,975.54396925,RPD,1
Residential Planned Development,20043.5810547,707.414960195,RPD,1
Residential Planned Development,7863.52734375,533.230913597,RPD,1
Village Commercial,98691.6669922,2533.65464604,VC,NA
Village Commercial,203115.420898,2748.71557875,VC,NA
Public/Quasi-public,96456.4521484,1258.36693923,P,NA
Neighborhood Commercial/Affordable Housing Overlay,17145.5878906,514.399620884,NC/AHO,NA
Open Space,1000870.29395,5713.01046957,OS,NA
Residential Planned Development,113743.982422,2036.24873962,RPD,1
Residential Multiple Planned,41971.2832031,980.455242064,RMP,2
Residential Multiple Planned,125204.931641,1824.95081715,RMP,2
Residential Multiple Planned,227057.658203,2862.08326484,RMP,2
Residential Multiple Planned/Affordable Housing,116514.010742,1526.11191489,RMP/AHO,2
Residential Planned Development,78387.5986328,1260.93959031,RPD,1
Residential Planned Development,13925.6933594,476.622435833,RPD,1
Open Space,110630.469727,2354.85876394,OS,NA
Open Space,65276.8740234,1198.46841515,OS,NA
Open Space,58156.3056641,1698.04779592,OS,NA
Single Family Residential,355616.298828,4505.47909387,R-1,1
Park and Recreation,23798.9931641,729.807239926,P and R,NA
Two-Family Residential,7494.109375,347.613144873,R-2,2
Marine,538718.368164,5429.55624834,Marine,3
Marine,28026893.0742,28083.3820929,Marine,3
Marine,271116268.991,131028.226324,Marine,3
Open Space,181442.804688,1923.12063328,OS,NA
Open Space,178194.238281,3118.38681591,OS,NA
Open Space,0,0,OS,NA
Open Space,3607044.36426,15485.087852,OS,NA
Residential Planned Development,25148.15625,665.820137754,RPD,1
