id,LAYER,COLOR,LABEL,gnrl_p_,GLOBALI,Shp__Ar,Shp__Ln,MuncplC,edt_g__,zoning
298,EX_ZONE_CL,6,CL,Linear Commercial,1551ff73-c5f1-48c5-a8f8-1406c359f4ab,110027.128906,2594.1744423,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
299,EX_ZONE_IU,4,IU,Intensive Use,b4a0a4e4-66bd-4834-9ef5-a21523eb1fef,26289.0859375,897.792044020704,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Intensive Use,0
300,EX_ZONE_HDR,5,HDR,High Density Residential,52699153-d003-4c23-846b-5ba629dbdbd9,20109.2851563,702.023320890994,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
301,EX_ZONE_IU,4,IU,Intensive Use,e00ace7a-3507-4820-94a4-ddd00476733e,24968.2460938,633.254616726097,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Intensive Use,0
302,EX_ZONE_CP,8,CP,Pedestrian Shopping & Service,67b64a5c-1445-4796-8636-3e5dc86ff1a4,30475.3515625,700.229148205456,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Pedestrian Shopping & Service,0
303,EX_ZONE_CL,6,CL,Linear Commercial,ff6b0f65-69bb-4733-bc58-cc42e3b7d815,32843.4921875,1026.44825597,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
304,EX_ZONE_IU,4,IU,Intensive Use,e7c273a5-4450-42ec-91df-fc328f392fc8,163041.925781,2120.22427404,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Intensive Use,0
305,EX_ZONE_RC,5,RC,Resource Conservation,7b4208d2-c414-4782-932c-8d0875837e7e,919725.730469,4679.42306018,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Resource Conservation,0
306,EX_ZONE_IU,4,IU,Intensive Use,fc05f8aa-b134-4867-abd5-660008804378,407124.820313,4513.71107558,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Intensive Use,0
307,EX_ZONE_IU,4,IU,Intensive Use,b2a02395-31f1-47b3-80de-f34ec12139d2,118510.714844,2062.05310348,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Intensive Use,0
308,EX_ZONE_LDR,2,LDR,Low Density Residential,bcb164cf-fe21-4407-a510-2a1bc100e070,49126.5273438,948.013450674811,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
309,EX_ZONE_CL,6,CL,Linear Commercial,fb6f8468-1e80-4630-9b07-c496039b86b5,157623.125,4107.6896364,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
310,EX_ZONE_MDR,41,MDR,Medium Density Residential,125081b6-77bc-4971-ba2f-dc8de8675f04,6213.3515625,360.187317625648,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
311,EX_ZONE_HDR,5,HDR,High Density Residential,3cc93a4b-30f5-45ab-b62f-d1e29385ad73,209869.96875,2650.76899081,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
312,EX_ZONE_CL,6,CL,Linear Commercial,f3824099-87a3-4326-a07f-3e9844d3ec6c,18082.5273438,718.170414302003,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
313,EX_ZONE_MDR,41,MDR,Medium Density Residential,87812efe-7c60-41fe-afbc-d106ad5d781b,5027.35546875,398.022719363028,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
314,EX_ZONE_CN,5,CN,Neighborhood Shopping & Service,30ce96eb-7aed-4823-bc4a-b0ee7e9abeee,2301.93359375,190.087279322253,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Neighborhood Shopping & Service,0
315,EX_ZONE_MDR,41,MDR,Medium Density Residential,31cdcdd6-11d8-4822-a204-6b7ecf6376b6,6622.15234375,345.49858296159,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
316,EX_ZONE_HDR,5,HDR,High Density Residential,7e19bf5f-7a31-41f8-a2be-3a9041ca64dc,8889.8984375,495.524672198906,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
317,EX_ZONE_MDR,41,MDR,Medium Density Residential,0e54cf63-baee-43a9-82c6-7692b2d6e612,968.28125,156.755236601526,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
318,EX_ZONE_MDR,41,MDR,Medium Density Residential,d79655b2-526f-4554-ae06-69757cc6dc4f,12908.6679688,724.104860626886,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
319,EX_ZONE_LDR,2,LDR,Low Density Residential,9a4d7bbb-2736-4d2e-8bf1-ff82767e7cd6,1341734.44922,11818.9167164,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
320,EX_ZONE_LDR,2,LDR,Low Density Residential,5b9d95cc-91a4-4679-a79a-3d881713d704,44875.5664063,814.870189930514,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
321,EX_ZONE_PDR,5,PDR,Planned Development Residential,243d6c64-0707-4e14-8075-4e0458198d54,72287.2773438,1571.1772437,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Planned Development Residential_SF,1
322,EX_ZONE_HDR,5,HDR,High Density Residential,b6fabcc9-de95-4264-9db3-5fa6a035db7a,10516.9179688,491.745173174226,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
323,EX_ZONE_LDR,2,LDR,Low Density Residential,b87233ba-47b5-46f8-b23a-aba499b48339,66719.6953125,1194.22958485,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
324,EX_ZONE_LDR,2,LDR,Low Density Residential,ed1fe5b5-1e5c-4bde-8248-b7d6628f8fb6,42938.015625,1025.78797094,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
325,EX_ZONE_IU,4,IU,Intensive Use,ce80e49b-44bb-46d3-aee0-3562c51a9f4b,68038.7382813,1266.23626231,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Intensive Use,0
326,EX_ZONE_CP,8,CP,Pedestrian Shopping & Service,fe94258e-1ece-4ca9-a277-fed6d7bc9691,20357.5078125,572.256874782524,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Pedestrian Shopping & Service,0
327,EX_ZONE_CP,8,CP,Pedestrian Shopping & Service,1014c90c-ae93-4bfe-a402-6890ba7a62c9,17649.34375,638.393603536382,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Pedestrian Shopping & Service,0
328,EX_ZONE_CP,8,CP,Pedestrian Shopping & Service,534c439a-b4d5-4892-9000-bff7b93ab289,12689.9023438,581.783277573223,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Pedestrian Shopping & Service,0
329,EX_ZONE_HDR,5,HDR,High Density Residential,2e9f07c1-fb8b-4122-98a6-1f71e484a924,20879.984375,852.161763574972,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
330,EX_ZONE_MDR,41,MDR,Medium Density Residential,46cbf18f-be99-4a59-8823-b5cd435afcab,215439.910156,2854.6883569,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
331,EX_ZONE_MDR,41,MDR,Medium Density Residential,91fc65ca-550d-4cc8-bb9c-d305a5f2b622,83224.5273438,2015.57657743,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
332,EX_ZONE_CL,6,CL,Linear Commercial,8019d8f6-2590-4869-80d0-7f7f2586d17b,21888.2851563,811.232728561857,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
333,EX_ZONE_HDR,5,HDR,High Density Residential,772238cb-df33-43ee-94aa-d833c1de5513,16576.4492188,609.512649615679,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
334,EX_ZONE_CL,6,CL,Linear Commercial,adc241c7-0c14-4c6e-8e11-ed7839a73fe9,238643.121094,4830.50628829,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
335,EX_ZONE_HDR,5,HDR,High Density Residential,dbc23f35-b3a5-495d-b3ea-4bfaf419c196,133945.941406,1856.77193331,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
336,EX_ZONE_CL,6,CL,Linear Commercial,13035479-27a0-4c1e-9975-b1b944c95489,287576.644531,4253.10515512,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
