OBJECTID,LABEL,TYPE,Acres,IsHeartofC,CreateDate,UpdateDate,GlobalID,ZoningDesc,ShapeSTAre,ShapeSTLen,Zoning
2071,RHS-120,RHS,81.46824741,No,NA,NA,{21FBAC32-4CEA-41CC-8573-7B167871A5AC},Residential Hillside,152109.259765625,1717.8295907096365,1
2072,RHS,RHS,597.01313608,No,NA,NA,{D7B88473-E545-4C29-8369-B75B3055AA4C},Residential Hillside,595038.921875,3601.7799871442353,1
2073,PR,PR,31.02637893,No,NA,NA,{40C9D06F-6B64-4C1B-8700-4CC50E009DF3},Park and Recreation,1363817.11328125,5082.679482800787,NA
2074,RHS-100,RHS,31.02637893,No,NA,NA,{37AB42A8-35C0-47E5-B9D4-E364C50424A7},Residential Hillside,100634.5673828125,1287.1433300821757,1
2075,RHS-120,RHS,7.08510162,No,NA,NA,{B2BB740F-CEED-4DDC-87BA-7782B77DBBFF},Residential Hillside,308627.029296875,3032.5391911281627,1
2076,RHS-80,RHS,2.17395987,No,NA,NA,{C6DE35F9-555E-416B-8947-D03D326DECA2},Residential Hillside,94697.6904296875,1201.0224563379463,1
2077,RHS-80,RHS,81.46824741,No,NA,NA,{6708DB29-5094-41DE-81C1-8BA4CDCF419E},Residential Hillside,1529824.7578125,5954.6555812694,1
2078,RHS-120,RHS,81.46824741,No,NA,NA,{01448BEE-CED7-4EAE-8542-283969608A28},Residential Hillside,253960.408203125,2207.3852112472628,1
2079,RHS-40,RHS,81.46824741,No,2008-04-10T00:00:00.000Z,NA,{E4FA5EB6-BB2D-464C-B707-A827494D5C4C},Residential Hillside,98336.26171875,1289.0846236128218,1
2080,RHS-30,RHS,6.82127275,No,NA,NA,{B43BCBFA-D1B9-49A3-8665-5969FA43D03B},Residential Hillside,134112.70703125,1660.1287750312413,1
2081,RHS-30,RHS,6.82127275,No,NA,NA,{FE5536F5-C587-44DB-BAC2-70B0165C5B62},Residential Hillside,34533.0830078125,1292.8507553438048,1
2082,RHS-80,RHS,81.46824741,No,NA,NA,{670A5FA5-0D29-4C54-8C96-A0031CC6E444},Residential Hillside,1648600.7490234375,7552.590189451866,1
2083,RHS-120,RHS,81.46824741,No,NA,NA,{FE7A653B-0D64-4C95-A502-1927B2F70E6B},Residential Hillside,885020.220703125,5366.849639734169,1
2084,P(CG),CG,39.90614276,No,NA,NA,{22637E7B-6349-485C-A930-9C3DEB9477C6},General Commercial,919327.736328125,5294.447348609969,NA
2085,P(CG),CG,39.90614276,Yes,NA,NA,{726B416F-757D-4D3A-8305-5CCAA4D4102E},General Commercial,818916.6923828125,5202.599049257527,NA
2086,"P(CG, OP, Res)",P,27.24575501,Yes,NA,NA,{47CFAD69-B59A-40FC-9145-ABC873D1838E},Planned Development,1186944.603515625,4385.515175689985,NA
2087,P(BA),BA,6.32172642,Yes,NA,NA,{4089EC68-3259-486C-821D-B449A184B509},Public Building,483343.9111328125,3239.95473928713,NA
2088,"P(CG, OP, Res)",P,34.98779798,No,NA,NA,{D5958A74-26D9-408B-B8B9-51C39108C5D5},Planned Development,411198.8466796875,2576.1742750508324,NA
2089,CG,CG,26.36930815,Yes,NA,NA,{CD1F513E-388B-4DBD-887E-E1A4FC87BC7F},Vallco Town Center,1890057.0029296875,7515.1151346685,NA
2090,"P(CG, OP, ML, Res)",P,34.98779798,Yes,NA,NA,{AD1AEDAA-8C34-4D07-B9C5-C9A77318F59F},Planned Development,1855349.236328125,8128.874460076557,NA
2091,A1-43,A,3.14240283,No,NA,NA,{AE3C8210-10D4-4A74-8EDB-2867A0D58A09},Agricultural,123642.490234375,2145.5408625518885,NA
2092,R1-20,R1,0.43083599,No,2012-03-30T00:00:00.000Z,2012-03-30T00:00:00.000Z,{6B6AA832-5C65-4B4E-B959-92A42AE06F7D},Single-Family Residential,34961.947265625,843.8653757423058,1
2093,R1-10,R1,6.26922322,No,NA,NA,{5144BCD1-B2D7-4ED7-910A-5AD794AB73BE},Single-Family Residential,12161.7568359375,475.35622007957556,1
2094,R1-10,R1,6.26922322,No,NA,NA,{C731C7FC-A780-42A2-A6A5-36AB60B2729E},Single-Family Residential,218917.6943359375,2858.683482231995,1
2095,R1-7.5,R1,76.16767552,No,NA,2013-11-14T00:00:00.000Z,{A6A52829-3ABD-4313-881D-1BCB7A576D1D},Single-Family Residential,3359666.1337890625,12408.23784365484,1
2096,P(MP),MP,207.62867656,No,2013-12-05T00:00:00.000Z,NA,{3EF64AAF-ED92-4B93-8549-18043F254F7B},Industrial Park,9431248.36328125,14737.575526334596,NA
2097,R3,R3,25.24214237,No,NA,2015-02-10T00:00:00.000Z,{693C78F1-5825-4729-9C27-EA9AFA0261DF},Multiple-Family Residential,1157324.759765625,4825.711071374656,2
2098,PR,PR,109.00627869,No,2015-02-10T00:00:00.000Z,NA,{AFD26154-8291-4D70-B724-C04E098FE07B},Park and Recreation,55850.4716796875,1599.6446566114253,NA
2099,ML-rc,ML,36.35050525,No,2011-11-28T00:00:00.000Z,2015-02-10T00:00:00.000Z,{E64C1C7D-164E-42C0-AEC8-DC551688ACB2},Light Industrial,1602387.7080078125,6661.769869864281,NA
2101,R3,R3,25.37803702,No,NA,NA,{56A5CB6B-AACC-48B6-A610-5431BA4BC454},Multiple-Family Residential,1.18359375,155.87947731501674,2
2102,R3,R3,25.37803702,No,NA,NA,{22A7C81D-EC9E-4E73-8852-8C4A7C44B018},Multiple-Family Residential,1071996.9228515625,5109.259309938066,2
2103,R3,R3,10.07715799,No,NA,2015-02-10T00:00:00.000Z,{C3E58FFE-B6E0-4CED-A4E4-999A73AE0D66},Multiple-Family Residential,460822.8662109375,2786.8438877065832,2
2104,R1-10,R1,116.93454789,No,NA,NA,{3DB55B10-1526-4EEB-BD40-9E4ED3AA54FB},Single-Family Residential,4841189.0634765625,19859.318162510153,1
2105,R1C,R1C,2.45754132,No,NA,NA,{CBA1DD6A-AC31-4127-B36D-11C121F75A53},Residential Single-Family Cluster,84443.0888671875,1492.5434577351677,1
2106,P(Res)-70,R3,14.37618996,No,NA,2015-02-17T00:00:00.000Z,{FF35DCD8-34B3-48FE-A706-38648BAE0217},Multiple-Family Residential,626224.3291015625,3412.075989093993,2
2107,P(R1C),R1C,2.83449155,No,NA,NA,{687E6220-720B-4952-9F38-0A8FC8CF3C79},Residential Single-Family Cluster,123320.568359375,1422.095147038976,1
2108,BA,BA,25.37803702,No,NA,2015-02-25T00:00:00.000Z,{F66FDA55-1A7E-4A83-8264-CB86F070B1D4},Public Building,10671.32421875,430.9533612327843,0
2109,PR,PR,25.37803702,No,NA,2015-02-25T00:00:00.000Z,{6DCFF10A-245A-4C9A-9E1C-B2C8614C1415},Park and Recreation,41519.3837890625,894.8128450911878,NA
2110,PR,PR,11.76005451,No,NA,2015-03-06T00:00:00.000Z,{25694923-C514-45D1-B9BB-2688E2BFF9D5},Park and Recreation,504524.2119140625,3075.3845202722446,NA
2111,R1-6,R1,3.74794972,No,NA,2015-03-06T00:00:00.000Z,{716FA99D-D75E-4ACD-BC79-AD5968212C81},Single-Family Residential,170840.1953125,1727.4623530291083,1
2112,"P(CN, ML, Res 4-12)",P,23.57117678,No,NA,NA,{51BAF290-D758-4EEB-92DD-2D8AAB6B7777},Planned Development,1033537.318359375,6818.6528639677,NA
2113,R1-10,R1,109.00627869,No,NA,2015-02-10T00:00:00.000Z,{90F473D8-E493-4A29-9E2C-8AB0D8A2ACA1},Single-Family Residential,4624277.830078125,15711.455376664573,1
2114,PR,PR,10.41860596,No,NA,2015-02-25T00:00:00.000Z,{B902DF99-BC6B-4176-9D6D-D68429549F32},Park and Recreation,507934.5380859375,3311.0930062704742,NA
2115,R1-6,R1,104.59808109,No,NA,2015-02-25T00:00:00.000Z,{AC2C580C-BD4F-409F-8897-8B99A41D0992},Single-Family Residential,4501988.341796875,16758.248939896217,1
2116,"P(CG, Res)",P,187.70276675,Yes,NA,2015-05-05T00:00:00.000Z,{F8E72FF0-C958-433B-AD65-92C718B0317B},Planned Development,10140011.674804687,33428.987807454854,NA
2117,P(CN),CG,3.93900367,No,NA,NA,{4EA63EC4-FB09-4663-91AD-74425F2392C3},General Commercial,231244.1259765625,2278.091606814571,NA
2118,BA,BA,109.00627869,No,NA,2017-11-07T00:00:00.000Z,{5D830045-24D8-4582-8B4D-E7B9CFC07A5C},Single-Family Residential,93832.6025390625,2720.8685636004307,NA
2119,PR,PR,12.28356285,No,NA,2017-11-07T00:00:00.000Z,{6E011817-66F1-4922-8596-C2A5D561A386},Parks and Recreation,3169435.8642578125,16226.912608096027,NA
2120,PR,PR,7.86785341,No,NA,2017-11-07T00:00:00.000Z,{51F54EB9-E45E-4920-A9BF-81C8FEE39337},Residential Single-Family Cluster,36014.9365234375,874.1821463668309,NA
2121,PR,PR,20.94843517,No,NA,2017-11-07T00:00:00.000Z,{B8D0E284-0D17-456E-B948-DCA6171D4DE7},Single-Family Residential,8806.1953125,986.8033911351099,NA
2122,R1-10,R1,8,No,2018-01-16T00:00:00.000Z,NA,{C78D0243-59A7-4C0F-BE42-7BD2F33165DA},NA,82678.69140625,1442.350328565124,1
2123,R1-10,R1,51.05315596,No,NA,NA,{B593F8F6-C9A8-4D9C-95F8-6A59022C2B5F},Prezoned Unincorporated Area,9374.796875,399.9535593348323,1
2124,R1-10,R1,51.05315596,No,NA,NA,{B11D251C-8D05-46F2-AA93-861E23C01558},Prezoned Unincorporated Area,9444.1171875,401.4480562606017,1
2125,"P(R3,CG)",P,13.17015686,Yes,NA,NA,{34566D6D-D16F-4C13-A70A-D1B5328CF3A7},Vallco Town Center,674441.4775390625,3288.5575804636155,NA
2126,CG,CG,26.36930815,Yes,NA,NA,{B1B747E6-4A90-4463-AB1D-70EDB43D18E7},Vallco Town Center,321283.5458984375,2434.3658820436663,NA
