id,general_pl,Zoning
89,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-45-X,NA
90,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-OS,NA
91,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-45-X,NA
92,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-45-X,NA
93,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-45-X,NA
94,RESIDENTIAL TRANSIT ORIENTED- MISSION-55-X,2
95,RESIDENTIAL TRANSIT ORIENTED- MISSION-45-X,2
96,RESIDENTIAL TRANSIT ORIENTED- MISSION-40-X,2
97,RESIDENTIAL TRANSIT ORIENTED- MISSION-55-X,2
98,RESIDENTIAL TRANSIT ORIENTED- MISSION-55-X,2
99,RESIDENTIAL TRANSIT ORIENTED- MISSION-55-X,2
100,RESIDENTIAL TRANSIT ORIENTED- MISSION-50-X,2
101,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
102,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
103,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
104,PUBLIC-40-X,NA
105,PUBLIC-OS,NA
106,PUBLIC-40-X,NA
107,PUBLIC-40-X,NA
108,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
109,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
110,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
111,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
112,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER-50-X",NA
113,PUBLIC-65-N,NA
114,PUBLIC-65-N,NA
115,PUBLIC-65-A,NA
116,PUBLIC-65-N,NA
117,PUBLIC-OS,NA
118,"NEIGHBORHOOD COMMERCIAL, CLUSTER-40-X",NA
119,CHINATOWN- VISITOR RETAIL-50-N,NA
120,PUBLIC- WATER-40-X,NA
121,PUBLIC- WATER-40-X,NA
122,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
123,"RESIDENTIAL- MIXED, LOW DENSITY-65-A",2
124,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
125,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
126,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
127,"RESIDENTIAL- MIXED, MODERATE DENSITY-40-X",2
128,"RESIDENTIAL- MIXED, MODERATE DENSITY-40-X",2
129,"RESIDENTIAL- MIXED, MODERATE DENSITY-40-X",2
130,"RESIDENTIAL- MIXED, MODERATE DENSITY-40-X",2
131,"RESIDENTIAL- MIXED, MODERATE DENSITY-40-X",2
132,"RESIDENTIAL- MIXED, MODERATE DENSITY-40-X",2
133,"RESIDENTIAL- HOUSE, TWO FAMILY-40-X",2
134,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
135,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
136,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
137,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
138,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",2
139,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",2
140,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",2
141,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",2
142,"RESIDENTIAL- HOUSE, THREE FAMILY-55-X",2
143,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",2
144,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",2
145,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN-MB-RA,NA
146,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN-40-X,NA
147,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN-MB-RA,NA
148,RESIDENTIAL TRANSIT ORIENTED DISTRICT-40-X,2
149,RESIDENTIAL TRANSIT ORIENTED DISTRICT-40-X,2
150,RESIDENTIAL TRANSIT ORIENTED DISTRICT-40-X,2
151,RESIDENTIAL TRANSIT ORIENTED DISTRICT-40-X,2
152,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
153,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",2
154,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",2
155,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",2
156,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
157,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
158,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
159,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
160,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
161,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
162,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
163,"RESIDENTIAL- MIXED, LOW DENSITY-40-X",2
164,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
165,"RESIDENTIAL- MIXED, HIGH DENSITY-65-A",2
166,URBAN MIXED USE-40-X,2
167,URBAN MIXED USE-40-X,2
168,URBAN MIXED USE-40-X,2
169,URBAN MIXED USE-40-X,2
170,URBAN MIXED USE-68-X,2
171,URBAN MIXED USE-40-X,2
172,URBAN MIXED USE-40-X,2
173,URBAN MIXED USE-40-X,2
174,URBAN MIXED USE-40-X,2
175,URBAN MIXED USE-40-X,2
176,URBAN MIXED USE-45-X,2
177,URBAN MIXED USE-45-X,2
178,URBAN MIXED USE-58-X,2
179,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-45-X",NA
180,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
181,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-45-X",NA
182,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-50-X",NA
183,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-50-X",NA
184,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-45-X",NA
185,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-45-X",NA
186,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
187,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
188,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
189,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
190,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
191,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-55-X,NA
192,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-55-X,NA
193,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-55-X,NA
194,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-55-X,NA
195,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-55-X,NA
196,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-40-X,NA
197,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-55-X,NA
198,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-55-X,NA
199,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-65-X,NA
200,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT-65-X,NA
201,PUBLIC-40-X,NA
202,PUBLIC-200-S,NA
203,PUBLIC-OS,NA
204,PUBLIC-200-S,NA
205,PUBLIC-OS,NA
206,PUBLIC-200-S,NA
207,PUBLIC-450-S,NA
208,PUBLIC-OS,NA
209,PUBLIC-40-X,NA
210,PUBLIC-40-X,NA
211,PUBLIC-500-S,NA
212,PUBLIC-40-X,NA
213,"RESIDENTIAL- HOUSE, ONE FAMILY-OS",1
214,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
215,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
216,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
217,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
218,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
219,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
220,PUBLIC-OS,NA
221,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
222,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
223,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
224,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
225,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
226,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
227,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
228,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
229,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
230,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-50-X",NA
231,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-50-X",NA
232,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-50-X",NA
233,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
234,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
235,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-50-X",NA
236,PUBLIC-OS,NA
237,PUBLIC-40-X,NA
238,PUBLIC-40-X,NA
239,PUBLIC-40-X,NA
240,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
241,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
242,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
243,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
244,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
245,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
246,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
247,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
248,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
249,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
250,PUBLIC-40-X,NA
251,PUBLIC-40-X,NA
252,PUBLIC-40-X,NA
253,PUBLIC-40-X,NA
254,PUBLIC-40-X,NA
255,PUBLIC-OS,NA
256,PUBLIC-40-X,NA
257,PUBLIC-40-X,NA
258,PUBLIC-130-E,NA
259,PUBLIC-40-X,NA
260,PUBLIC-65-A,NA
261,PUBLIC-OS,NA
262,PUBLIC-OS,NA
263,PUBLIC-OS,NA
264,PUBLIC-40-X,NA
265,PUBLIC-OS,NA
266,PUBLIC-OS,NA
267,PUBLIC-OS,NA
