gnrl_p_,ID,edt_g__,X3,X4,zoning
MU-F,1,MU-F,NA,NA,0
MU-F,2,MU-F,NA,NA,0
MU-F,3,MU-F,NA,NA,0
MU-F,4,MU-F,NA,NA,0
"RDL 20,000",5,"RDL 20,000",NA,NA,1
"RDM 7,000",6,"RDM 7,000",NA,NA,1
CS,7,CS,NA,NA,0
"RDM 7,000",8,"RDM 7,000",NA,NA,1
"RAL 3,000",9,"RAL 3,000",NA,NA,2
"RDM 7,000",10,"RDM 7,000",NA,NA,1
"RDM 7,000",11,"RDM 7,000",NA,NA,1
"RAL 3,500",12,"RAL 3,500",NA,NA,2
"RAL 3,000",13,"RAL 3,000",NA,NA,2
"RDL 20,000",14,"RDL 20,000",NA,NA,1
"RAL 3,500",15,"RAL 3,500",NA,NA,2
"RDM 7,000",16,"RDM 7,000",NA,NA,1
"RAL 3,500",17,"RAL 3,500",NA,NA,2
"RDM 9,000",18,"RDM 9,000",NA,NA,1
"RDL 20,000",19,"RDL 20,000",NA,NA,1
RE 1,20,RE 1,NA,NA,1
"RDL 12,000",21,"RDL 12,000",NA,NA,1
"RDM 7,000",22,"RDM 7,000",NA,NA,1
RE 1,23,RE 1,NA,NA,1
"RDL 12,000",24,"RDL 12,000",NA,NA,1
"RAL 3,500",25,"RAL 3,500",NA,NA,2
"RDM 7,000",26,"RDM 7,000",NA,NA,1
"RDM 7,000",27,"RDM 7,000",NA,NA,1
"RDL 12,000",28,"RDL 12,000",NA,NA,1
"RDM 7,000",29,"RDM 7,000",NA,NA,1
IL,30,IL,NA,NA,0
"RAL 3,500",31,"RAL 3,500",NA,NA,2
"RDL 20,000",32,"RDL 20,000",NA,NA,1
"RDM 7,000",33,"RDM 7,000",NA,NA,1
"RDM 7,000",34,"RDM 7,000",NA,NA,1
"RDM 9,000",35,"RDM 9,000",NA,NA,1
"RDM 7,000",36,"RDM 7,000",NA,NA,1
"RDM 7,000",37,"RDM 7,000",NA,NA,1
"RDL 12,000",38,"RDL 12,000",NA,NA,1
"RDL 20,000",39,"RDL 20,000",NA,NA,1
"RDM 7,000",40,"RDM 7,000",NA,NA,1
"RDM 7,000",41,"RDM 7,000",NA,NA,1
"RDL 20,000",42,"RDL 20,000",NA,NA,1
"RDM 7,000",43,"RDM 7,000",NA,NA,1
"RDM 9,000",44,"RDM 9,000",NA,NA,1
"RAL 3,500",45,"RAL 3,500",NA,NA,2
"RDM 9,000",46,"RDM 9,000",NA,NA,1
"RDL 12,000",47,"RDL 12,000",NA,NA,1
"RDL 12,000",48,"RDL 12,000",NA,NA,1
"RDL 12,000",49,"RDL 12,000",NA,NA,1
"RDM 7,000",50,"RDM 7,000",NA,NA,1
"RDM 7,000",51,"RDM 7,000",NA,NA,1
"RDM 9,000",52,"RDM 9,000",NA,NA,1
"RDM 7,000",53,"RDM 7,000",NA,NA,1
"RDM 7,000",54,"RDM 7,000",NA,NA,1
"RDM 7,000",55,"RDM 7,000",NA,NA,1
"RDM 7,000",56,"RDM 7,000",NA,NA,1
"RDL 20,000",57,"RDL 20,000",NA,NA,1
"RAL 3,500",58,"RAL 3,500",NA,NA,2
"RDL 20,000",59,"RDL 20,000",NA,NA,1
"RDM 7,000",60,"RDM 7,000",NA,NA,1
"RDM 7,000",61,"RDM 7,000",NA,NA,1
"RDM 7,000",62,"RDM 7,000",NA,NA,1
"RAL 3,000",63,"RAL 3,000",NA,NA,2
"RAL 3,500",64,"RAL 3,500",NA,NA,2
"RAL 3,500",65,"RAL 3,500",NA,NA,2
"RDM 7,000",66,"RDM 7,000",NA,NA,1
"RDM 7,000",67,"RDM 7,000",NA,NA,1
"RDM 7,000",68,"RDM 7,000",NA,NA,1
"RDM 9,000",69,"RDM 9,000",NA,NA,1
"RDL 12,000",70,"RDL 12,000",NA,NA,1
"RDM 7,000",71,"RDM 7,000",NA,NA,1
"RDM 7,000",72,"RDM 7,000",NA,NA,1
"RDM 7,000",73,"RDM 7,000",NA,NA,1
"RAL 3,500",74,"RAL 3,500",NA,NA,2
"RAL 3,000",75,"RAL 3,000",NA,NA,2
"RDM 7,000",76,"RDM 7,000",NA,NA,1
"RDM 7,000",77,"RDM 7,000",NA,NA,1
"RDL 12,000",78,"RDL 12,000",NA,NA,1
"RAL 3,500",79,"RAL 3,500",NA,NA,2
"RDM 9,000",80,"RDM 9,000",NA,NA,1
"RDM 7,000",81,"RDM 7,000",NA,NA,1
"RAL 3,000",82,"RAL 3,000",NA,NA,2
"RDM 7,000",83,"RDM 7,000",NA,NA,1
"RDM 9,000",84,"RDM 9,000",NA,NA,1
"RDM 7,000",85,"RDM 7,000",NA,NA,1
"RDL 20,000",86,"RDL 20,000",NA,NA,1
"RDM 9,000",87,"RDM 9,000",NA,NA,1
MU-N_MF,88,MU-N_MF,NA,NA,2
"RDL 12,000",89,"RDL 12,000",NA,NA,1
"RDM 7,000",90,"RDM 7,000",NA,NA,1
"RDM 7,000",91,"RDM 7,000",NA,NA,1
"RAL 3,500",92,"RAL 3,500",NA,NA,2
RE 1,93,RE 1,NA,NA,1
"RDM 7,000",94,"RDM 7,000",NA,NA,1
"RDM 7,000",95,"RDM 7,000",NA,NA,1
"RDM 7,000",96,"RDM 7,000",NA,NA,1
"RDM 7,000",97,"RDM 7,000",NA,NA,1
"RAL 3,500",98,"RAL 3,500",NA,NA,2
"RDM 7,000",99,"RDM 7,000",NA,NA,1
"RDM 7,000",100,"RDM 7,000",NA,NA,1
"RDM 7,000",101,"RDM 7,000",NA,NA,1
IL,102,IL,NA,NA,0
"RDL 20,000",103,"RDL 20,000",NA,NA,1
IL,104,IL,NA,NA,0
"RDL 20,000",105,"RDL 20,000",NA,NA,1
"RDL 20,000",106,"RDL 20,000",NA,NA,1
"RDM 7,000",107,"RDM 7,000",NA,NA,1
"RDM 7,000",108,"RDM 7,000",NA,NA,1
"RDM 7,000",109,"RDM 7,000",NA,NA,1
RE 1,110,RE 1,NA,NA,1
RE 1,111,RE 1,NA,NA,1
"RDL 12,000",112,"RDL 12,000",NA,NA,1
"RDL 12,000",113,"RDL 12,000",NA,NA,1
RE 1,114,RE 1,NA,NA,1
"RDM 7,000",115,"RDM 7,000",NA,NA,1
"RDM 7,000",116,"RDM 7,000",NA,NA,1
"RDL 12,000",117,"RDL 12,000",NA,NA,1
"RAL 3,500",118,"RAL 3,500",NA,NA,2
"RDM 7,000",119,"RDM 7,000",NA,NA,1
OS,120,OS,NA,NA,0
"RDL 12,000",121,"RDL 12,000",NA,NA,1
RAM,122,RAM,NA,NA,2
"RAL 3,000",123,"RAL 3,000",NA,NA,2
"RAL 3,000",124,"RAL 3,000",NA,NA,2
"RDL 20,000",125,"RDL 20,000",NA,NA,1
"RDL 12,000",126,"RDL 12,000",NA,NA,1
"RDM 7,000",127,"RDM 7,000",NA,NA,1
"RDM 7,000",128,"RDM 7,000",NA,NA,1
"RDM 7,000",129,"RDM 7,000",NA,NA,1
"RDM 7,000",130,"RDM 7,000",NA,NA,1
MU-F,131,MU-F,NA,NA,0
"RDM 7,000",132,"RDM 7,000",NA,NA,1
"RDM 7,000",133,"RDM 7,000",NA,NA,1
"RDM 7,000",134,"RDM 7,000",NA,NA,1
"RDM 7,000",135,"RDM 7,000",NA,NA,1
"RDM 7,000",136,"RDM 7,000",NA,NA,1
RE 1,137,RE 1,NA,NA,1
"RDL 12,000",138,"RDL 12,000",NA,NA,1
"RDM 7,000",139,"RDM 7,000",NA,NA,1
"RDM 7,000",140,"RDM 7,000",NA,NA,1
"RDM 7,000",141,"RDM 7,000",NA,NA,1
"RDL 20,000",142,"RDL 20,000",NA,NA,1
"RDM 7,000",143,"RDM 7,000",NA,NA,1
RE 2.5,144,RE 2.5,NA,NA,1
"RAL 3,500",145,"RAL 3,500",NA,NA,2
"RDL 20,000",146,"RDL 20,000",NA,NA,1
"RDM 7,000",147,"RDM 7,000",NA,NA,1
"RDM 7,000",148,"RDM 7,000",NA,NA,1
"RDM 7,000",149,"RDM 7,000",NA,NA,1
"RDM 9,000",150,"RDM 9,000",NA,NA,1
"RDL 12,000",151,"RDL 12,000",NA,NA,1
"RDL 12,000",152,"RDL 12,000",NA,NA,1
"RAL 3,500",153,"RAL 3,500",NA,NA,2
"RDM 7,000",154,"RDM 7,000",NA,NA,1
"RAL 3,500",155,"RAL 3,500",NA,NA,2
"RDM 7,000",156,"RDM 7,000",NA,NA,1
"RDM 7,000",157,"RDM 7,000",NA,NA,1
"RDM 7,000",158,"RDM 7,000",NA,NA,1
"RDM 7,000",159,"RDM 7,000",NA,NA,1
"RDM 7,000",160,"RDM 7,000",NA,NA,1
"RDM 7,000",161,"RDM 7,000",NA,NA,1
"RDM 7,000",162,"RDM 7,000",NA,NA,1
"RDL 12,000",163,"RDL 12,000",NA,NA,1
"RDL 12,000",164,"RDL 12,000",NA,NA,1
OS,165,OS,NA,NA,0
"RAL 3,500",166,"RAL 3,500",NA,NA,2
RE 1,167,RE 1,NA,NA,1
"RDM 7,000",168,"RDM 7,000",NA,NA,1
"RDM 7,000",169,"RDM 7,000",NA,NA,1
OS,170,OS,NA,NA,0
RAM,171,RAM,NA,NA,2
"RDM 7,000",172,"RDM 7,000",NA,NA,1
"RAL 3,000",173,"RAL 3,000",NA,NA,2
"RDM 7,000",174,"RDM 7,000",NA,NA,1
"RDM 9,000",175,"RDM 9,000",NA,NA,1
"RDM 7,000",176,"RDM 7,000",NA,NA,1
"RDM 7,000",177,"RDM 7,000",NA,NA,1
RE 1,178,RE 1,NA,NA,1
"RDM 7,000",179,"RDM 7,000",NA,NA,1
"RDM 7,000",180,"RDM 7,000",NA,NA,1
MU-N,181,MU-N,NA,NA,0
"RDM 7,000",182,"RDM 7,000",NA,NA,1
"RDL 12,000",183,"RDL 12,000",NA,NA,1
"RAL 3,500",184,"RAL 3,500",NA,NA,2
"RDM 7,000",185,"RDM 7,000",NA,NA,1
"RDL 12,000",186,"RDL 12,000",NA,NA,1
"RDM 7,000",187,"RDM 7,000",NA,NA,1
MU-N,188,MU-N,NA,NA,0
MU-N,189,MU-N,NA,NA,0
"RAL 3,500",190,"RAL 3,500",NA,NA,2
"RDM 7,000",191,"RDM 7,000",NA,NA,1
RE 1,192,RE 1,NA,NA,1
"RDM 7,000",193,"RDM 7,000",NA,NA,1
"RDM 7,000",194,"RDM 7,000",NA,NA,1
RAM,195,RAM,NA,NA,2
"RAL 3,500",196,"RAL 3,500",NA,NA,2
"RAL 3,500",197,"RAL 3,500",NA,NA,2
"RAL 3,500",198,"RAL 3,500",NA,NA,2
OS,199,OS,NA,NA,0
"RDM 7,000",200,"RDM 7,000",NA,NA,1
OS,201,OS,NA,NA,0
"RDL 12,000",202,"RDL 12,000",NA,NA,1
"RAL 3,500",203,"RAL 3,500",NA,NA,2
RE 1,204,RE 1,NA,NA,1
"RDM 7,000",205,"RDM 7,000",NA,NA,1
"RDM 7,000",206,"RDM 7,000",NA,NA,1
"RAL 3,500",207,"RAL 3,500",NA,NA,2
RE 1,208,RE 1,NA,NA,1
"RDL 20,000",209,"RDL 20,000",NA,NA,1
"RDM 7,000",210,"RDM 7,000",NA,NA,1
"RDM 7,000",211,"RDM 7,000",NA,NA,1
MU-D_MF,212,MU-D_MF,NA,NA,2
"RDM 7,000",213,"RDM 7,000",NA,NA,1
"RDM 7,000",214,"RDM 7,000",NA,NA,1
"RDM 7,000",215,"RDM 7,000",NA,NA,1
"RDM 7,000",216,"RDM 7,000",NA,NA,1
"RDM 7,000",217,"RDM 7,000",NA,NA,1
"RDM 7,000",218,"RDM 7,000",NA,NA,1
"RDM 7,000",219,"RDM 7,000",NA,NA,1
"RDM 7,000",220,"RDM 7,000",NA,NA,1
"RDL 20,000",221,"RDL 20,000",NA,NA,1
"RDL 20,000",222,"RDL 20,000",NA,NA,1
"RAL 3,000",223,"RAL 3,000",NA,NA,2
"RDM 7,000",224,"RDM 7,000",NA,NA,1
"RDM 7,000",225,"RDM 7,000",NA,NA,1
"RDM 7,000",226,"RDM 7,000",NA,NA,1
"RDM 7,000",227,"RDM 7,000",NA,NA,1
"RDM 7,000",228,"RDM 7,000",NA,NA,1
"RDM 7,000",229,"RDM 7,000",NA,NA,1
"RAL 3,500",230,"RAL 3,500",NA,NA,2
"RAL 3,500",231,"RAL 3,500",NA,NA,2
"RDM 7,000",232,"RDM 7,000",NA,NA,1
"RDM 7,000",233,"RDM 7,000",NA,NA,1
"RAL 3,500",234,"RAL 3,500",NA,NA,2
"RAL 3,500",235,"RAL 3,500",NA,NA,2
"RAL 3,500",236,"RAL 3,500",NA,NA,2
"RAL 3,500",237,"RAL 3,500",NA,NA,2
"RDM 7,000",238,"RDM 7,000",NA,NA,1
"RDM 7,000",239,"RDM 7,000",NA,NA,1
"RDM 7,000",240,"RDM 7,000",NA,NA,1
IL,241,IL,NA,NA,0
"RAL 3,500",242,"RAL 3,500",NA,NA,2
"RAL 3,500",243,"RAL 3,500",NA,NA,2
"RAL 3,500",244,"RAL 3,500",NA,NA,2
"RAL 3,500",245,"RAL 3,500",NA,NA,2
"RAL 3,500",246,"RAL 3,500",NA,NA,2
"RAL 3,500",247,"RAL 3,500",NA,NA,2
"RAL 3,500",248,"RAL 3,500",NA,NA,2
"RAL 3,500",249,"RAL 3,500",NA,NA,2
"RDM 7,000",250,"RDM 7,000",NA,NA,1
"RDM 7,000",251,"RDM 7,000",NA,NA,1
"RDM 7,000",252,"RDM 7,000",NA,NA,1
"RDM 7,000",253,"RDM 7,000",NA,NA,1
RE 1,254,RE 1,NA,NA,1
"RDM 7,000",255,"RDM 7,000",NA,NA,1
"RDM 7,000",256,"RDM 7,000",NA,NA,1
RE 1,257,RE 1,NA,NA,1
RE 1,258,RE 1,NA,NA,1
"RDM 7,000",259,"RDM 7,000",NA,NA,1
"RDM 7,000",260,"RDM 7,000",NA,NA,1
"RDL 20,000",261,"RDL 20,000",NA,NA,1
RE 1,262,RE 1,NA,NA,1
"RDL 12,000",263,"RDL 12,000",NA,NA,1
"RDL 20,000",264,"RDL 20,000",NA,NA,1
"RDM 7,000",265,"RDM 7,000",NA,NA,1
"RAL 3,500",266,"RAL 3,500",NA,NA,2
"RDM 9,000",267,"RDM 9,000",NA,NA,1
"RDL 20,000",268,"RDL 20,000",NA,NA,1
"RDM 7,000",269,"RDM 7,000",NA,NA,1
"RAL 3,500",270,"RAL 3,500",NA,NA,2
"RAL 3,000",271,"RAL 3,000",NA,NA,2
"RAL 3,000",272,"RAL 3,000",NA,NA,2
"RAL 3,000",273,"RAL 3,000",NA,NA,2
"RAL 3,500",274,"RAL 3,500",NA,NA,2
"RAL 3,000",275,"RAL 3,000",NA,NA,2
"RAL 3,000",276,"RAL 3,000",NA,NA,2
"RAL 3,500",277,"RAL 3,500",NA,NA,2
"RDM 9,000",278,"RDM 9,000",NA,NA,1
"RDL 12,000",279,"RDL 12,000",NA,NA,1
"RAL 3,500",280,"RAL 3,500",NA,NA,2
"RDM 7,000",281,"RDM 7,000",NA,NA,1
"RDM 7,000",282,"RDM 7,000",NA,NA,1
"RDM 7,000",283,"RDM 7,000",NA,NA,1
"RDM 7,000",284,"RDM 7,000",NA,NA,1
"RDM 7,000",285,"RDM 7,000",NA,NA,1
"RDM 7,000",286,"RDM 7,000",NA,NA,1
"RDM 9,000",287,"RDM 9,000",NA,NA,1
RAM,288,RAM,NA,NA,2
IG,289,IG,NA,NA,0
"RDM 7,000",290,"RDM 7,000",NA,NA,1
"RDM 7,000",291,"RDM 7,000",NA,NA,1
"RDM 7,000",292,"RDM 7,000",NA,NA,1
"RDM 7,000",293,"RDM 7,000",NA,NA,1
CG,294,CG,NA,NA,0
"RDL 12,000",295,"RDL 12,000",NA,NA,1
RAM,296,RAM,NA,NA,2
"RDL 12,000",297,"RDL 12,000",NA,NA,1
"RAL 3,500",298,"RAL 3,500",NA,NA,2
"RDM 7,000",299,"RDM 7,000",NA,NA,1
"RDL 12,000",300,"RDL 12,000",NA,NA,1
"RAL 3,500",301,"RAL 3,500",NA,NA,2
OS,302,OS,NA,NA,0
"RAL 3,500",303,"RAL 3,500",NA,NA,2
"RDL 12,000",304,"RDL 12,000",NA,NA,1
"RDM 7,000",305,"RDM 7,000",NA,NA,1
"RDM 7,000",306,"RDM 7,000",NA,NA,1
"RDM 7,000",307,"RDM 7,000",NA,NA,1
"RDM 7,000",308,"RDM 7,000",NA,NA,1
"RDL 12,000",309,"RDL 12,000",NA,NA,1
CG,310,CG,NA,NA,0
CG,311,CG,NA,NA,0
MU-F,312,MU-F,NA,NA,0
"RAL 3,500",313,"RAL 3,500",NA,NA,2
RE 1,314,RE 1,NA,NA,1
"RDM 9,000",315,"RDM 9,000",NA,NA,1
"RDL 20,000",316,"RDL 20,000",NA,NA,1
"RDM 7,000",317,"RDM 7,000",NA,NA,1
"RAL 3,500",318,"RAL 3,500",NA,NA,2
MU-D,319,MU-D,NA,NA,0
"RDM 7,000",320,"RDM 7,000",NA,NA,1
"RAL 3,500",321,"RAL 3,500",NA,NA,2
"RDL 12,000",322,"RDL 12,000",NA,NA,1
"RDM 7,000",323,"RDM 7,000",NA,NA,1
"RDL 12,000",324,"RDL 12,000",NA,NA,1
RE 1,325,RE 1,NA,NA,1
"RDM 7,000",326,"RDM 7,000",NA,NA,1
"RDM 7,000",327,"RDM 7,000",NA,NA,1
"RDL 12,000",328,"RDL 12,000",NA,NA,1
"RDM 9,000",329,"RDM 9,000",NA,NA,1
"RDL 12,000",330,"RDL 12,000",NA,NA,1
"RDM 7,000",331,"RDM 7,000",NA,NA,1
"RAL 3,000",332,"RAL 3,000",NA,NA,2
"RDM 7,000",333,"RDM 7,000",NA,NA,1
"RDM 7,000",334,"RDM 7,000",NA,NA,1
"RDM 7,000",335,"RDM 7,000",NA,NA,1
RE 1,336,RE 1,NA,NA,1
"RAL 3,500",337,"RAL 3,500",NA,NA,2
"RDM 7,000",338,"RDM 7,000",NA,NA,1
"RDL 12,000",339,"RDL 12,000",NA,NA,1
"RDM 7,000",340,"RDM 7,000",NA,NA,1
"RDL 20,000",341,"RDL 20,000",NA,NA,1
"RDM 7,000",342,"RDM 7,000",NA,NA,1
IL,343,IL,NA,NA,0
"RDL 12,000",344,"RDL 12,000",NA,NA,1
"RDM 7,000",345,"RDM 7,000",NA,NA,1
IL,346,IL,NA,NA,0
"RAL 3,000",347,"RAL 3,000",NA,NA,2
"RDM 7,000",348,"RDM 7,000",NA,NA,1
MU-D,349,MU-D,NA,NA,0
"RDM 7,000",350,"RDM 7,000",NA,NA,1
"RDM 9,000",351,"RDM 9,000",NA,NA,1
MU-D,352,MU-D,NA,NA,0
RE 1,353,RE 1,NA,NA,1
"RDM 7,000",354,"RDM 7,000",NA,NA,1
MU-N,355,MU-N,NA,NA,0
MU-N,356,MU-N,NA,NA,0
MU-N,357,MU-N,NA,NA,0
"RDL 12,000",358,"RDL 12,000",NA,NA,1
RE 1,359,RE 1,NA,NA,1
RE 1,360,RE 1,NA,NA,1
"RDM 7,000",361,"RDM 7,000",NA,NA,1
"RDM 7,000",362,"RDM 7,000",NA,NA,1
"RDM 7,000",363,"RDM 7,000",NA,NA,1
"RDM 7,000",364,"RDM 7,000",NA,NA,1
"RAL 3,500",365,"RAL 3,500",NA,NA,2
"RDM 7,000",366,"RDM 7,000",NA,NA,1
"RDM 7,000",367,"RDM 7,000",NA,NA,1
RAM,368,RAM,NA,NA,2
"RDL 12,000",369,"RDL 12,000",NA,NA,1
CG,370,CG,NA,NA,0
"RAL 3,500",371,"RAL 3,500",NA,NA,2
"RDM 7,000",372,"RDM 7,000",NA,NA,1
"RAL 3,500",373,"RAL 3,500",NA,NA,2
"RDM 7,000",374,"RDM 7,000",NA,NA,1
"RDL 20,000",375,"RDL 20,000",NA,NA,1
"RAL 3,500",376,"RAL 3,500",NA,NA,2
"RDM 7,000",377,"RDM 7,000",NA,NA,1
"RDM 9,000",378,"RDM 9,000",NA,NA,1
"RDM 7,000",379,"RDM 7,000",NA,NA,1
"RDM 7,000",380,"RDM 7,000",NA,NA,1
"RDL 20,000",381,"RDL 20,000",NA,NA,1
"RDM 7,000",382,"RDM 7,000",NA,NA,1
MU-N,383,MU-N,NA,NA,0
"RDM 7,000",384,"RDM 7,000",NA,NA,1
"RDM 7,000",385,"RDM 7,000",NA,NA,1
"RDM 7,000",386,"RDM 7,000",NA,NA,1
"RDM 7,000",387,"RDM 7,000",NA,NA,1
"RDM 7,000",388,"RDM 7,000",NA,NA,1
"RDL 12,000",389,"RDL 12,000",NA,NA,1
RAM,390,RAM,NA,NA,2
"RDM 7,000",391,"RDM 7,000",NA,NA,1
"RDM 7,000",392,"RDM 7,000",NA,NA,1
"RDM 7,000",393,"RDM 7,000",NA,NA,1
"RDM 7,000",394,"RDM 7,000",NA,NA,1
"RDM 7,000",395,"RDM 7,000",NA,NA,1
"RDM 7,000",396,"RDM 7,000",NA,NA,1
"RDM 7,000",397,"RDM 7,000",NA,NA,1
"RDL 12,000",398,"RDL 12,000",NA,NA,1
"RDM 7,000",399,"RDM 7,000",NA,NA,1
"RDL 20,000",400,"RDL 20,000",NA,NA,1
"RDM 7,000",401,"RDM 7,000",NA,NA,1
"RDL 12,000",402,"RDL 12,000",NA,NA,1
"RDL 12,000",403,"RDL 12,000",NA,NA,1
"RDL 12,000",404,"RDL 12,000",NA,NA,1
"RDM 7,000",405,"RDM 7,000",NA,NA,1
"RAL 3,500",406,"RAL 3,500",NA,NA,2
"RDM 7,000",407,"RDM 7,000",NA,NA,1
"RAL 3,000",408,"RAL 3,000",NA,NA,2
"RDM 7,000",409,"RDM 7,000",NA,NA,1
CG,410,CG,NA,NA,0
RAM,411,RAM,NA,NA,2
RAM,412,RAM,NA,NA,2
RAM,413,RAM,NA,NA,2
RAM,414,RAM,NA,NA,2
RAM,415,RAM,NA,NA,2
RAM,416,RAM,NA,NA,2
RAM,417,RAM,NA,NA,2
"RDM 7,000",418,"RDM 7,000",NA,NA,1
"RDM 7,000",419,"RDM 7,000",NA,NA,1
"RDM 7,000",420,"RDM 7,000",NA,NA,1
"RDM 7,000",421,"RDM 7,000",NA,NA,1
"RDM 7,000",422,"RDM 7,000",NA,NA,1
RE 1,423,RE 1,NA,NA,1
"RDM 7,000",424,"RDM 7,000",NA,NA,1
"RDM 7,000",425,"RDM 7,000",NA,NA,1
"RDM 7,000",426,"RDM 7,000",NA,NA,1
"RDL 20,000",427,"RDL 20,000",NA,NA,1
RE 2.5,428,RE 2.5,NA,NA,1
RE 1,429,RE 1,NA,NA,1
"RDM 7,000",430,"RDM 7,000",NA,NA,1
"RDM 7,000",431,"RDM 7,000",NA,NA,1
"RAL 3,000",432,"RAL 3,000",NA,NA,2
"RAL 3,000",433,"RAL 3,000",NA,NA,2
"RAL 3,500",434,"RAL 3,500",NA,NA,2
"RAL 3,000",435,"RAL 3,000",NA,NA,2
"RDL 12,000",436,"RDL 12,000",NA,NA,1
"RDM 7,000",437,"RDM 7,000",NA,NA,1
"RDM 7,000",438,"RDM 7,000",NA,NA,1
"RDM 7,000",439,"RDM 7,000",NA,NA,1
"RDL 20,000",440,"RDL 20,000",NA,NA,1
IL,441,IL,NA,NA,0
"RDM 7,000",442,"RDM 7,000",NA,NA,1
"RDM 7,000",443,"RDM 7,000",NA,NA,1
"RDL 12,000",444,"RDL 12,000",NA,NA,1
"RDL 12,000",445,"RDL 12,000",NA,NA,1
"RDL 12,000",446,"RDL 12,000",NA,NA,1
"RDM 7,000",447,"RDM 7,000",NA,NA,1
"RDM 7,000",448,"RDM 7,000",NA,NA,1
"RDM 7,000",449,"RDM 7,000",NA,NA,1
"RDM 7,000",450,"RDM 7,000",NA,NA,1
"RDM 7,000",451,"RDM 7,000",NA,NA,1
PF,452,PF,NA,NA,0
PF,453,PF,NA,NA,0
PF,454,PF,NA,NA,0
"RDL 20,000",455,"RDL 20,000",NA,NA,1
"RDL 12,000",456,"RDL 12,000",NA,NA,1
"RAL 3,500",457,"RAL 3,500",NA,NA,2
OS,458,OS,NA,NA,0
"RAL 3,500",459,"RAL 3,500",NA,NA,2
RAH,460,RAH,NA,NA,2
RAH,461,RAH,NA,NA,2
RAH,462,RAH,NA,NA,2
RAH,463,RAH,NA,NA,2
RAH,464,RAH,NA,NA,2
RAH,465,RAH,NA,NA,2
RAH,466,RAH,NA,NA,2
RAH,467,RAH,NA,NA,2
RAH,468,RAH,NA,NA,2
RAH,469,RAH,NA,NA,2
RAH,470,RAH,NA,NA,2
RAH,471,RAH,NA,NA,2
RAH,472,RAH,NA,NA,2
MU-D,473,MU-D,NA,NA,0
"RDL 12,000",474,"RDL 12,000",NA,NA,1
"RDM 7,000",475,"RDM 7,000",NA,NA,1
"RDM 7,000",476,"RDM 7,000",NA,NA,1
"RAL 3,500",477,"RAL 3,500",NA,NA,2
"RDM 7,000",478,"RDM 7,000",NA,NA,1
"RDM 7,000",479,"RDM 7,000",NA,NA,1
RAM,480,RAM,NA,NA,2
"RDM 7,000",481,"RDM 7,000",NA,NA,1
"RDM 7,000",482,"RDM 7,000",NA,NA,1
"RDM 7,000",483,"RDM 7,000",NA,NA,1
"RDM 7,000",484,"RDM 7,000",NA,NA,1
RAM,485,RAM,NA,NA,2
"RAL 3,000",486,"RAL 3,000",NA,NA,2
"RDM 7,000",487,"RDM 7,000",NA,NA,1
"RDL 12,000",488,"RDL 12,000",NA,NA,1
"RDM 7,000",489,"RDM 7,000",NA,NA,1
"RDM 7,000",490,"RDM 7,000",NA,NA,1
"RAL 3,500",491,"RAL 3,500",NA,NA,2
"RDM 7,000",492,"RDM 7,000",NA,NA,1
"RDM 7,000",493,"RDM 7,000",NA,NA,1
"RDM 7,000",494,"RDM 7,000",NA,NA,1
MU-F,495,MU-F,NA,NA,0
MU-F,496,MU-F,NA,NA,0
MU-F,497,MU-F,NA,NA,0
"RAL 3,500",498,"RAL 3,500",NA,NA,2
"RAL 3,500",499,"RAL 3,500",NA,NA,2
"RAL 3,500",500,"RAL 3,500",NA,NA,2
"RDM 9,000",501,"RDM 9,000",NA,NA,1
"RDM 7,000",502,"RDM 7,000",NA,NA,1
MU-D,503,MU-D,NA,NA,0
MU-D,504,MU-D,NA,NA,0
MU-N_MF,505,MU-N_MF,NA,NA,2
"RDL 12,000",506,"RDL 12,000",NA,NA,1
RE 1,507,RE 1,NA,NA,1
"RDM 7,000",508,"RDM 7,000",NA,NA,1
MU-D,509,MU-D,NA,NA,0
"RDM 7,000",510,"RDM 7,000",NA,NA,1
"RDL 12,000",511,"RDL 12,000",NA,NA,1
"RDM 7,000",512,"RDM 7,000",NA,NA,1
"RDM 7,000",513,"RDM 7,000",NA,NA,1
"RDM 7,000",514,"RDM 7,000",NA,NA,1
"RDM 7,000",515,"RDM 7,000",NA,NA,1
CG,516,CG,NA,NA,0
"RDM 7,000",517,"RDM 7,000",NA,NA,1
"RDM 7,000",518,"RDM 7,000",NA,NA,1
"RAL 3,500",519,"RAL 3,500",NA,NA,2
MU-F,520,MU-F,NA,NA,0
"RAL 3,500",521,"RAL 3,500",NA,NA,2
"RDM 9,000",522,"RDM 9,000",NA,NA,1
"RDM 9,000",523,"RDM 9,000",NA,NA,1
"RDL 20,000",524,"RDL 20,000",NA,NA,1
"RDM 7,000",525,"RDM 7,000",NA,NA,1
"RAL 3,500",526,"RAL 3,500",NA,NA,2
"RAL 3,500",527,"RAL 3,500",NA,NA,2
"RDL 20,000",528,"RDL 20,000",NA,NA,1
"RDM 7,000",529,"RDM 7,000",NA,NA,1
"RDM 7,000",530,"RDM 7,000",NA,NA,1
"RAL 3,500",531,"RAL 3,500",NA,NA,2
"RDM 7,000",532,"RDM 7,000",NA,NA,1
"RDM 7,000",533,"RDM 7,000",NA,NA,1
"RAL 3,500",534,"RAL 3,500",NA,NA,2
