ZoningDesc,GroupLabel,UnitsPerAc,MinimumLot,MinimumL_1,PlannedDis,NoticingBu,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
NA,RS-7.5 Single Family Residential,0,0,0,NA,0,258070.74707,4419.32614408,RS-7.5,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,8035.28222656,417.742606332,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,33450.265625,1014.45331834,RS-6,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,27359.3867188,876.642953009,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,31513.1816406,742.267702202,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,48398.0966797,1117.16211866,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,53374.6523438,1114.45018607,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,73983.8642578,1083.07839171,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,91660.9023438,1524.73925339,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,65604.7451172,1271.03275884,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,24564.3085938,716.876703705,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,69492.1904297,1871.96705324,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,290179.926758,2791.42260166,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,438262.244141,5232.96927509,RS-6,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,33284.09375,875.820642582,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,169555.348633,2955.69377612,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,329886.573242,3409.2355113,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,406186.489258,4089.6002824,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,179461.705078,3147.10751289,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,42700.3867188,1282.47045365,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,265714.302734,3401.33265556,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,87964.1904297,1877.77412891,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,160345.206055,1786.66583617,RS-6,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,273517.540039,2420.95679381,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,50884.6972656,1270.61083625,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,40155.6083984,979.678432063,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,1501002.66211,11872.2504589,RS-6,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,105295.936523,1338.25400164,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,104321.017578,2000.93239527,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,18815.7744141,617.118143866,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,48408.6669922,868.635923667,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,255779.976563,2803.32482303,RS-6,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,43278.2753906,1013.46133029,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,1175730.34863,9297.17249165,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,45197.0107422,1566.94970099,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,16324.2119141,604.414642262,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,27821.4355469,719.45008644,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,100676.305664,1485.79072012,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,37404.1914063,907.143254644,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,135308.726563,1726.05207217,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,68233.2695313,1175.09817202,RS-6,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,158308.082031,1702.95653243,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,25060.9384766,799.691557418,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,540165.959961,3734.26773749,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,978488.009766,8213.44578785,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,157336.429688,1969.90320027,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,111824.701172,1954.26381869,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,130524.733398,2482.48646743,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,175364.078125,2198.70599659,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,169327.375,1912.01837675,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,109513.533203,2100.38585896,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,170494.243164,2148.14147306,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,90509.3769531,1455.53833286,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,448329.980469,4877.89688098,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,109343.176758,1657.76549968,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,138315.489258,1748.45895613,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,121906.136719,1617.84347036,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,131829.974609,1611.19862702,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,196038.993164,2408.25381724,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,235637.166992,3100.27039665,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,349978.475586,3008.47570269,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,270160.035156,2902.6194846,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,341339.944336,3097.05674093,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,22258.0771484,719.473321208,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,56845.5136719,995.752515548,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,226332.003906,2199.15378896,RS-6,1
