gnrl_p_,id,edt_g__,zoning
701 - Low density residential (less than 6 units/Gr. acre),397,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),398,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),399,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),400,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),401,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),402,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),403,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),404,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),405,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),406,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),407,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),408,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),409,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),410,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),411,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),412,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),413,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),414,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),415,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),416,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),417,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),418,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),419,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),420,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),421,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),422,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),423,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),424,701 - Low density residential (less than 6 units/Gr. acre),1
