gnrl_p_,id,edt_g__,zoning
701 - Low - Medium density residential (6-13 units/Gr. acre),190,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),191,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),192,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),193,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),194,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),195,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),196,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),197,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),198,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),199,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),200,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),201,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),202,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),203,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),204,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),205,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),206,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),207,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),208,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),209,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),210,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),211,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),212,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),213,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),214,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),215,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),216,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),217,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),218,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),219,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),220,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),221,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),222,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),223,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),224,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),225,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),226,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),227,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),228,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),229,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),230,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),231,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),232,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),233,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),234,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),235,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),236,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),237,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),238,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),239,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),240,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),241,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential (6-13 units/Gr. acre),242,701 - Low - Medium density residential (6-13 units/Gr. acre),2
701 - Low - Medium density residential/Office,243,701 - Low - Medium density residential/Office,1
701 - Low - Medium density residential/Office,244,701 - Low - Medium density residential/Office,1
701 - Low - Medium density residential/Office,245,701 - Low - Medium density residential/Office,1
701 - Low - Medium density residential/Office,246,701 - Low - Medium density residential/Office,1
701 - Low density residential (less than 3 units/Gr. acre),247,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),248,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),249,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),250,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),251,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),252,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),253,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),254,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),255,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),256,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),257,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),258,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),259,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),260,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),261,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),262,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),263,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),264,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),265,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),266,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),267,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),268,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),269,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 3 units/Gr. acre),270,701 - Low density residential (less than 3 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),271,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),272,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),273,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),274,701 - Low density residential (less than 4.5 units/Gr. acre),1
