Entity,Layer,Color,Linetyp,Elevatn,LineWt,RefName,Symblgy,Red,Green,Blue,Shp_STA,Shp_STL,gnrl_p_,id,edt_g__,zoning
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,753778.395508,3465.720277,PD_NonRes,206,PD_NonRes,0
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,269325.418945,2197.78772077,PD_SF,207,PD_SF,1
LWPolyline,ZM-OA,7,Continuous,0,25,NA,OA,255,217,204,204640.412109,1829.40749548,OA,208,OA,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,18926.4892578,542.658311161,SP_NonRes,209,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,298312.015625,2758.84596783,SP_NonRes,210,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,103366.624023,1401.77999335,SP_NonRes,211,SP_NonRes,0
LWPolyline,MUC,66,Continuous,0,25,NA,MUC,57,76,0,520786.893555,4730.6780274,MUC,212,MUC,0
LWPolyline,ZM-CC,66,Continuous,0,25,NA,MUC,57,76,0,122690.905273,2767.97672889,MUC,213,MUC,0
LWPolyline,ZM-OA,7,Continuous,0,25,NA,OA,255,217,204,139419.926758,1666.91541906,OA,214,OA,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,219150.212891,2443.47324688,PS,215,PS,0
LWPolyline,ZM-RM,7,Continuous,0,25,NA,RM,214,173,92,629730.305664,3980.22601557,RM,216,RM,2
LWPolyline,ZM-RM,7,Continuous,0,25,NA,RM,214,173,92,1889989.76855,5844.96591346,RM,217,RM,2
LWPolyline,ZM-GC,7,Continuous,0,25,NA,GC,163,255,240,4225072.0957,22950.0246257,GC,218,GC,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,1015298.56836,4618.72424919,P,219,P,0
LWPolyline,ZM-RH,7,Continuous,0,25,NA,RH,198,137,57,1253711.91699,8445.25687467,RH,220,RH,2
LWPolyline,ZM-RS-D,7,Continuous,0,25,NA,RS-D,228,193,103,14291.8984375,481.214448539,RS-D,221,RS-D,1
LWPolyline,ZM-RH,7,Continuous,0,25,NA,RH,198,137,57,14291.8984375,481.214448539,RH,222,RH,2
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,1300427.22266,9172.96335128,RS-10,223,RS-10,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,675130.318359,7404.2427345,RS-10,224,RS-10,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,279736.182617,3145.60847958,RS-10,225,RS-10,1
LWPolyline,ZM-P-RC,7,Continuous,0,25,NA,P,126,189,126,293108.05957,2219.10452356,P,226,P,0
LWPolyline,ZM-RE-A,7,Continuous,0,25,NA,RE-A,255,255,219,158469.987305,1662.37567606,RE-A,227,RE-A,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,123404.801758,1626.96550484,SP_NonRes,228,SP_NonRes,0
LWPolyline,ZM-OA,7,Continuous,0,25,NA,OA,255,217,204,872623.910156,4483.53223849,OA,229,OA,0
LWPolyline,ZM-OA-H,7,Continuous,0,25,NA,MUCC,255,217,204,4882970.90039,8979.94497539,MUCC,230,MUCC,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,1135662.87109,4939.97890721,SP_NonRes,231,SP_NonRes,0
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,3451729.3916,10275.9647595,RS-10,232,RS-10,1
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,592160.986328,6187.63288606,P,233,P,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,535296.044922,10853.7984948,P,234,P,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,419188.138672,8613.75462626,P,235,P,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,145948.181641,4355.90838071,SP_NonRes,236,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,66393.1386719,2134.9469718,SP_NonRes,237,SP_NonRes,0
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,251676.948242,4404.67635265,RS-10,238,RS-10,1
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,538757.539063,4424.269196,PS,239,PS,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,243045.882813,2333.46403339,PS,240,PS,0
LWPolyline,ZM-RS-7,7,Continuous,0,25,NA,RS-7,255,234,128,43613.5917969,1214.01933369,RS-7,241,RS-7,1
LWPolyline,ZM-RS-7,7,Continuous,0,25,NA,RS-7,255,234,128,413730.661133,3041.24250369,RS-7,242,RS-7,1
LWPolyline,ZM-RS-7,7,Continuous,0,25,NA,RS-7,255,234,128,1708958.73047,9362.50936345,RS-7,243,RS-7,1
LWPolyline,ZM-RS-7,7,Continuous,0,25,NA,RS-7,255,234,128,322328.078125,2464.68697765,RS-7,244,RS-7,1
