SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
7595.60546875,378.928436237,R-1,1
24231.9824219,649.708801228,R-1,1
71244.1855469,1255.11061381,POS,0
1198.65527344,170.433261857,POS,0
25030.296875,646.571452047,C-1,0
27137.4902344,905.849943516,POS,0
322209.308594,3307.08216868,R-3,2
75908.3964844,1157.38538149,MX-1,0
215021.701172,2018.83567845,C-2,0
539877.541992,3541.62635337,P/SP,0
489544.776367,3594.71955917,R-1-A,1
18024075.8301,25103.1619836,POS,0
913269.789063,4981.88278618,POS,0
