gnrl_p_,id,city_nm,zoning
108 - Low Density Residential,233,newark,1
108 - Low Density Residential,234,newark,1
108 - Low Density Residential,235,newark,1
108 - Low Density Residential,236,newark,1
108 - Low Density Residential,237,newark,1
108 - Low Density Residential,238,newark,1
108 - Low Density Residential,239,newark,1
108 - Low Density Residential,240,newark,1
108 - Low Density Residential,241,newark,1
108 - Low Density Residential,242,newark,1
108 - Low Density Residential,243,newark,1
108 - Low Density Residential,244,newark,1
108 - Low Density Residential,245,newark,1
108 - Low Density Residential,246,newark,1
108 - Low Density Residential,247,newark,1
108 - Low Density Residential,248,newark,1
108 - Low Density Residential,249,newark,1
108 - Low Density Residential,250,newark,1
108 - Low Density Residential,251,newark,1
108 - Low Density Residential,252,newark,1
108 - Low Density Residential,253,newark,1
108 - Low Density Residential,254,newark,1
108 - Low Density Residential,255,newark,1
108 - Low Density Residential,256,newark,1
108 - Low Density Residential,257,newark,1
108 - Low Density Residential,258,newark,1
108 - Low Density Residential,259,newark,1
108 - Low Density Residential,260,newark,1
108 - Low Density Residential,261,newark,1
108 - Low Density Residential,262,newark,1
108 - Low Density Residential,263,newark,1
108 - Low Density Residential,264,newark,1
108 - Low Density Residential,265,newark,1
108 - Low Density Residential,266,newark,1
108 - Low Density Residential,267,newark,1
108 - Low Density Residential,268,newark,1
108 - Low Density Residential,269,newark,1
108 - Low Density Residential,270,newark,1
108 - Low Density Residential,271,newark,1
108 - Low Density Residential,272,newark,1
108 - Low Density Residential,273,newark,1
108 - Low Density Residential,274,newark,1
108 - Low Density Residential,275,newark,1
108 - Low Density Residential,276,newark,1
108 - Low Density Residential,277,newark,1
108 - Low Density Residential,278,newark,1
108 - Low Density Residential,279,newark,1
108 - Low Density Residential,280,newark,1
108 - Low Density Residential,281,newark,1
108 - Low Density Residential,282,newark,1
108 - Low Density Residential,283,newark,1
108 - Low Density Residential,284,newark,1
108 - Low Density Residential,285,newark,1
108 - Low Density Residential,286,newark,1
108 - Low Density Residential,287,newark,1
108 - Low Density Residential,288,newark,1
108 - Low Density Residential,289,newark,1
108 - Low Density Residential,290,newark,1
108 - Low Density Residential,291,newark,1
108 - Low Density Residential,292,newark,1
108 - Low Density Residential,293,newark,1
108 - Low Density Residential,294,newark,1
108 - Low Density Residential,295,newark,1
108 - Low Density Residential,296,newark,1
108 - Low Density Residential,297,newark,1
108 - Low Density Residential,298,newark,1
108 - Low Density Residential,299,newark,1
108 - Low Density Residential,300,newark,1
108 - Low Density Residential,301,newark,1
108 - Low Density Residential,302,newark,1
108 - Low Density Residential,303,newark,1
108 - Low Density Residential,304,newark,1
108 - Low Density Residential,305,newark,1
108 - Low Density Residential,306,newark,1
108 - Low Density Residential,307,newark,1
108 - Low Density Residential,308,newark,1
108 - Low Density Residential,309,newark,1
108 - Low Density Residential,310,newark,1
108 - Low Density Residential,311,newark,1
108 - Low Density Residential,312,newark,1
108 - Low Density Residential,313,newark,1
108 - Low Density Residential,314,newark,1
108 - Low Density Residential,315,newark,1
108 - Low Density Residential,316,newark,1
108 - Low Density Residential,317,newark,1
108 - Low Density Residential,318,newark,1
108 - Low Density Residential,319,newark,1
108 - Low Density Residential,320,newark,1
108 - Low Density Residential,321,newark,1
108 - Low Density Residential,322,newark,1
108 - Low Density Residential,323,newark,1
108 - Low Density Residential,324,newark,1
108 - Low Density Residential,325,newark,1
108 - Low Density Residential,326,newark,1
108 - Low Density Residential,327,newark,1
108 - Low Density Residential,328,newark,1
108 - Low Density Residential,329,newark,1
108 - Low Density Residential,330,newark,1
108 - Low Density Residential,331,newark,1
108 - Low Density Residential,332,newark,1
108 - Low Density Residential,333,newark,1
108 - Low Density Residential,334,newark,1
108 - Low Density Residential,335,newark,1
108 - Low Density Residential,336,newark,1
108 - Medium Density Residential,337,newark,2
108 - Medium Density Residential,338,newark,2
108 - Medium Density Residential,339,newark,2
108 - Medium Density Residential,340,newark,2
108 - Medium Density Residential,341,newark,2
108 - Medium Density Residential,342,newark,2
108 - Medium Density Residential,343,newark,2
108 - Medium Density Residential,344,newark,2
108 - Medium Density Residential,345,newark,2
108 - Medium Density Residential,346,newark,2
108 - Medium Density Residential_SingleFamily,347,newark,1
108 - Medium Density Residential_SingleFamily,348,newark,1
108 - Medium Density Residential,349,newark,2
108 - Medium Density Residential,350,newark,2
108 - Medium Density Residential,351,newark,2
108 - Medium Density Residential,352,newark,2
108 - Medium Density Residential,353,newark,2
108 - Medium Density Residential_SingleFamily,354,newark,1
108 - Medium Density Residential,355,newark,2
108 - Medium Density Residential_SingleFamily,356,newark,1
108 - Medium Density Residential,357,newark,2
108 - Medium Density Residential,358,newark,2
108 - Medium Density Residential,359,newark,2
108 - Medium Density Residential,360,newark,2
108 - Medium Density Residential,361,newark,2
108 - Medium Density Residential,362,newark,2
108 - Medium Density Residential,363,newark,2
108 - Medium Density Residential,364,newark,2
108 - Medium Density Residential_SingleFamily,365,newark,1
108 - Medium Density Residential,366,newark,2
108 - Medium Density Residential_SingleFamily,367,newark,1
108 - Medium Density Residential_SingleFamily,368,newark,1
108 - Medium Density Residential,369,newark,2
108 - Medium Density Residential_SingleFamily,370,newark,1
108 - Medium Density Residential_SingleFamily,371,newark,1
108 - Medium Density Residential,372,newark,2
108 - Medium Density Residential,373,newark,2
108 - Medium Density Residential,374,newark,2
108 - Medium Density Residential,375,newark,2
108 - Medium Density Residential,376,newark,2
108 - Medium Density Residential,377,newark,2
108 - Medium Density Residential,378,newark,2
108 - Medium Density Residential,379,newark,2
108 - Medium Density Residential,380,newark,2
108 - Medium Density Residential,381,newark,2
108 - Medium Density Residential,382,newark,2
108 - Medium Density Residential,383,newark,2
108 - Neighborhood Commercial,384,newark,0
108 - Neighborhood Commercial_Multifamily,385,newark,2
108 - Neighborhood Commercial,386,newark,0
108 - Neighborhood Commercial_MultiFamily,387,newark,2
108 - Neighborhood Commercial,388,newark,0
108 - Neighborhood Commercial,389,newark,0
108 - Neighborhood Commercial,390,newark,0
108 - Neighborhood Commercial,391,newark,0
108 - Office Commercial,392,newark,0
108 - Office Commercial,393,newark,0
108 - Office Commercial,394,newark,0
108 - Office Commercial,395,newark,0
108 - Office Commercial,396,newark,0
108 - Office Commercial,397,newark,0
108 - Office Commercial,398,newark,0
108 - Office Commercial,399,newark,0
108 - Office Commercial,400,newark,0
108 - Office Commercial,401,newark,0
108 - Office Commercial,402,newark,0
108 - Office Commercial,403,newark,0
108 - Public-Institutional,404,newark,0
108 - Public-Institutional,405,newark,0
108 - Public-Institutional,406,newark,0
108 - Public-Institutional,407,newark,0
