apn,fld_firm_z,gp_values1,gpz_gen_pl,gpz_z_labe,lot_tot_po,parcelid,prc_legal_,prc_puc_co,prc_situs1,prc_situs_,prc_tax_co,site_addre,Zoning,Area_sqmi
074161020,X,Residential Very Low Density,RVL,RES,16590.03,23-7246,LOT 19 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,2 LASSEN CT,1,9.41084378872e-4
074161280,X,Residential Very Low Density,RVL,RES,14991.9,23-7228,LOT 39 0.34 AC MOL PARCEL MAP VOL 2/32,01,94025,MENLO PARK,008,1180 TRINITY DR,1,8.50751559327e-4
074162150,X,Residential Low Density,RL,R1S,17907.77,23-7216,LOT 15 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1060 LASSEN DR,1,0.00101699334281
074351210,X,Residential Low Density,RL,R1S,10472.27,23-6802,LOT 11 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1100 DEANNA DR,1,5.96073812363e-4
074086060,X,Residential Low Density,RL,R1S,9768.24,23-7463,75 FT X 136 FT ON NWLY LN OF SHARON RD COM 483.69 FT   SWLY FRALAMEDA PULGAS RD PTN OF LOT 23 TOBIN 440 AC,01,94025,MENLO PARK,008,2176 SHARON RD,1,5.56685982008e-4
074111240,X,Residential Low Density,RL,R1S,10400.42,23-7437,0.24 ACS MOL ON SELY LN OF SHARON RD COM 351.39 FT     SWLY FR ALAMEDA PULGAS PTN OF LOT 24 TOBIN 440 AC,01,94025,MENLO PARK,008,2151 SHARON RD,1,5.92713490869e-4
074086390,X,Residential Low Density,RL,R1S,8473.66,23-7455,0.19 AC MOL THE CENTER LYING APPROX 115 FT SLY FM THE  SWLY COR OF LOT 7 OF ALAMONT SUB BEING PTN OF LOT 23   TOBIN & TOBIN 440 AC TRACT RSM 1/99,01,94025,MENLO PARK,008,932 ALTSCHUL AVE,1,4.82908308039e-4
074341060,X,Residential Low Density,RL,R1S,14483.52,23-6842,LOT 139 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,1048 CASCADE DR,1,8.23713394616e-4
074162160,X,Residential Low Density,RL,R1S,14229.7,23-7215,LOT 16 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1070 LASSEN DR,1,8.10084660909e-4
074111230,X,Residential Low Density,RL,R1S,10400.39,23-7438,0.24 ACS MOL ON SELY LN OF SHARON RD COM 431.39 FT     SWLY FR ALAMEDA PULGAS PTN OF LOT 24 TOBIN 440 AC,01,94025,MENLO PARK,008,2161 SHARON RD,1,5.92708786579e-4
