apn,fld_firm_z,gp_values1,gpz_gen_pl,gpz_z_labe,lot_tot_po,parcelid,prc_legal_,prc_puc_co,prc_situs1,prc_situs_,prc_tax_co,site_addre,Zoning,Area_sqmi
063430030,AE,Residential Medium Density,RM,R2,5847.67,23-3510,51.45 FT X 115 FT MOL ON SLY LN OF O CONNOR ST COM     103.45 FTELY FR MENALTO ST PTN OF LOT 51 4TH ADD       RUNNYMEDE CHAS WEEKS POULTRY COLONY,01,94025,MENLO PARK,008,110 O'CONNOR ST,2,3.33538463989e-4
071021100,X,Residential Low Density,RL,R1S,16957.25,23-6122,R-1 PARCEL B 0.39 AC MOL PARCEL MAP VOL 10/52,01,94025,MENLO PARK,008,1211 ELDER AVE,1,9.66622498465e-4
071363210,X,Residential Low Density,RL,R1S,13136.35,23-5577,LOT 61 BROOKDELL UNIT NO 3 RSM 28/18 CITY OF MENLO,01,94025,MENLO PARK,008,315 COTTON ST,1,7.48416785492e-4
071113010,X,Residential Low Density,RL,R1U,5137.82,23-6302,LOTS 1 & 2 BLOCK 2 UNIVERSITY ADDITION RSM 2/70,01,94025,MENLO PARK,008,1095 SHERMAN AVE,1,2.92835781567e-4
071180200,X,Residential Low Density,RL,R1S,11608.62,23-6219,0.265 ACS MOL ON N E LINE OF LEMON ST ADJ LOT 43 OF    STANFORDCREEK ACREAGE CITY OF MENLO PARK,01,94025,MENLO PARK,008,440 LEMON ST,1,6.61647159469e-4
071202050,X,Residential Low Density,RL,R1S,10113.83,23-5690,LOT 20 STANFORD CREEK RSM 29/8 CITY OF MENLO PARK,01,94025,MENLO PARK,008,1750 BAY LAUREL DR,1,5.72407705509e-4
071112070,X,Residential Low Density,RL,R1U,5500.42,23-6294,LOTS 14 & 15 BLOCK 1 UNIVERSITY ADDITION RSM 2/70,01,94025,MENLO PARK,008,1980 SANTA CRUZ AVE,1,3.13502303541e-4
071124030,X,Residential Low Density,RL,R1S,10102.86,23-5844,LOT 45 OAKDELL MANOR MAP NO 3 RSM 30/15 CITY OF MENLO  PARK,01,94025,MENLO PARK,008,851 STANFORD AVE,1,5.75888080485e-4
071141010,X,Residential Low Density,RL,R1S,13687.6,23-5782,LOT 1 OAKDELL MANOR RSM 28/14 15 CITY OF MENLO PARK,01,94025,MENLO PARK,008,1805 WHITE OAK DR,1,7.80129698414e-4
071113040,X,Residential Low Density,RL,R1U,5499.68,23-6305,LOTS 7 & 8 BLOCK 2 UNIVERSITY ADDITION RSM 2/70,01,94025,MENLO PARK,008,1035 SHERMAN AVE,1,3.13458334808e-4
074572120,X,Residential Very Low Density,RVL,RES(X),4638.05,23-23420,LOT 34 SHARON HILLS - I RSM 109/88-92,01,94025,MENLO PARK,008,15 OLIVER CT,1,2.64339277934e-4
074391010,X,Residential Low Density,RL,R1S,14714.47,23-6746,LOT 192 SHARON HEIGHTS UNIT NO 11 RSM 60/25 26,01,94025,MENLO PARK,008,2290 TIOGA DR,1,8.38585451969e-4
074391020,X,Residential Low Density,RL,R1S,14098.96,23-6745,LOT 191 SHARON HEIGHTS UNIT NO 11 RSM 60/25 26,01,94025,MENLO PARK,008,2280 TIOGA DR,1,8.02693039221e-4
074351340,X,Residential Low Density,RL,R1S,10066.53,23-6789,LOT 24 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1075 DEANNA DR,1,5.7369658762e-4
074351350,X,Residential Low Density,RL,R1S,10058.83,23-6788,LOT 25 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1065 DEANNA DR,1,5.73243494044e-4
074162080,X,Residential Low Density,RL,R1S,15623.78,23-7217,LOT 8 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1025 CONTINENTAL DR,1,8.91437502571e-4
074161080,X,Residential Very Low Density,RVL,RES,16508.31,23-7240,LOT 25 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1065 LASSEN DR,1,9.36946236903e-4
074111180,X,Residential Low Density,RL,R1S,12451.89,23-7443,LOT 5 SHARON COURT RSM 39/5,01,94025,MENLO PARK,008,10 SHARON CT,1,7.0962370545e-4
074351230,X,Residential Low Density,RL,R1S,10563.88,23-6800,LOT 13 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1122 DEANNA DR,1,5.99688471959e-4
074343010,X,Residential Low Density,RL,R1S,13694.03,23-6827,LOT 150 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,1053 SIERRA DR,1,7.79276153002e-4
074120390,X,Residential Low Density,RL,R1S,14502.04,23-9788,LOT 2 ROYAL OAK RSM 136/29-31,01,94025,MENLO PARK,008,125 ROYAL OAK CT,1,8.2728899201e-4
074431040,X,Residential Medium Density,RM,R3A(X),2623.13,23-871D,LOT 4 SHARON OAKS UNIT NO 3 RSM 82/32-33,01,94025,MENLO PARK,008,2357 SHARON OAKS DR,2,1.49479095222e-4
074431100,X,Residential Medium Density,RM,R3A(X),2138.89,23-871J,LOT 10 SHARON OAKS UNIT NO 3 RSM 82/32-33,01,94025,MENLO PARK,008,2369 SHARON OAKS DR,2,1.21884712593e-4
074185030,X,Residential Low Density,RL,R1S,13374.29,23-7191,LOT 60 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,2312 LOMA PRIETA LN,1,7.60680636158e-4
074230270,X,Residential Low Density,RL,R1S,18887.11,23-7082,LOT 120 SHARON HEIGHTS UNIT NO 2 RSM 52/49 50 CITY OF  MENLO PARK,01,94025,MENLO PARK,008,984 MONTE ROSA DR,1,0.001076275009922
074211010,X,Residential Low Density,RL,R1S,12476.55,23-7145,LOT 21 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,75,94025,MENLO PARK,008,735 MONTE ROSA DR,1,7.10820883309e-4
074182150,X,Residential Low Density,RL,R1S,12548.98,23-7197,LOT 73 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,2324 CREST LN,1,7.15099234495e-4
074185040,X,Residential Low Density,RL,R1S,12162.66,23-7190,LOT 66 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,2315 WARNER RANGE AVE,1,6.87514840988e-4
074211150,X,Residential Low Density,RL,R1S,14094.03,23-7131,LOT 23 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,2307 LOMA PRIETA LN,1,8.06895591558e-4
074120290,X,Residential Low Density,RL,R1S,10680.48,23-7381,LOT 6 OAK HOLLOW AMEND RSM 121/44-46,01,94025,MENLO PARK,008,55 OAK HOLLOW WAY,1,6.08694633752e-4
074120310,X,Residential Low Density,RL,R1S,10410.28,23-7379,LOT 8 OAK HOLLOW AMEND RSM 121/44-46,01,94025,MENLO PARK,008,15 OAK HOLLOW WAY,1,5.93076202595e-4
074182110,X,Residential Low Density,RL,R1S,14054.91,23-7201,LOT 69 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,2308 CREST LN,1,7.98188388513e-4
074112270,X,Residential Low Density,RL,R1S,12676.03,23-7415,LOT 2 WALKER TRACT RSM 65/12,01,94025,MENLO PARK,008,139 CAMPO BELLO LN,1,7.22325935274e-4
074182100,X,Residential Low Density,RL,R1S,13427.02,23-7202,LOT 68 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,2308 WARNER RANGE AVE,1,7.6447713096e-4
074232010,X,Residential Very Low Density,RVL,RES,16376.91,23-7035,LOT 59 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1095 TRINITY DR,1,9.3324420732e-4
074230230,X,Residential Low Density,RL,R1S,19147.97,23-7086,LOT 115 SHARON HEIGHTS UNIT NO 2 RSM 52/49 50 CITY OF  MENLO PARK,01,94025,MENLO PARK,008,964 MONTE ROSA DR,1,0.001091158206221
074184080,X,Residential Low Density,RL,R1S,15272.64,23-7184,LOT 96 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,750 MONTE ROSA DR,1,8.70361541552e-4
074182120,X,Residential Low Density,RL,R1S,12865.57,23-7200,LOT 70 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,2312 CREST LN,1,7.28460252352e-4
074184090,X,Residential Low Density,RL,R1S,14078.15,23-7183,LOT 97 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,740 MONTE ROSA DR,1,8.03447137242e-4
074120280,X,Residential Low Density,RL,R1S,10876.24,23-7382,LOT 5 OAK HOLLOW AMEND RSM 121/44-46,01,94025,MENLO PARK,008,75 OAK HOLLOW WAY,1,6.19715818742e-4
074232020,X,Residential Very Low Density,RVL,RES,17248.71,23-7034,LOT 60 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1085 TRINITY DR,1,9.853561009e-4
074212010,X,Residential Low Density,RL,R1S,15331.79,23-7129,LOT 98 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,730 MONTE ROSA DR,1,8.72976704903e-4
074185050,X,Residential Low Density,RL,R1S,12654.92,23-7189,LOT 65 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,2311 WARNER RANGE AVE,1,7.21300145629e-4
074460440,X,Residential Medium Density,RM,R3A(X),2667.35,23-9611,PARCEL 22 PARCEL MAP VOL 3/23,01,94025,MENLO PARK,008,2424 SHARON OAKS DR,2,1.5199465836e-4
074580010,X,Residential Medium Density,RM,R2(X),1950.12,23-23223,LOT 73 SAND HILL CIRCLE UNIT 3 RSM 74/46 48,01,94025,MENLO PARK,008,400 SAND HILL CIR,2,1.11123380918e-4
074580020,X,Residential Medium Density,RM,R2(X),1950.12,23-23224,LOT 74 SAND HILL CIRCLE UNIT 3 RSM 74/46 48,01,94025,MENLO PARK,008,402 SAND HILL CIR,2,1.11123314939e-4
071173090,X,Residential Low Density,RL,R1S,11466.63,23-5945,LOT 18 BLOCK 3 STANFORD GARDENS RSM 25/14,01,94025,MENLO PARK,008,1790 POPPY AVE,1,6.53598289487e-4
071174110,X,Residential Low Density,RL,R1S,10303.86,23-5925,LOT 2 BLOCK 4 STANFORD GARDENS RSM 25/14,01,94025,MENLO PARK,008,1785 POPPY AVE,1,5.87313374745e-4
071175040,X,Residential Low Density,RL,R1S,10009.7,23-5914,LOT 16 BLOCK 1 STANFORD GARDENS RSM 25/14,01,94025,MENLO PARK,008,785 EVERGREEN ST,1,5.7054522366e-4
071191150,X,Residential Low Density,RL,R1S,10735.15,23-5643,LOT 15 STANFORD CREEK MAP NO 2 RSM 35/9 CITY OF MENLO  PARK,01,94025,MENLO PARK,008,360 AMBAR WAY,1,6.1189710428e-4
071012230,X,Residential Low Density,RL,R1U,7000.62,23-6234,LOT 9 KAPPELER TRACT RSM 36/26 CITY OF MENLO PARK,01,94025,MENLO PARK,008,8 NANCY WAY,1,3.99026361802e-4
071111090,X,Residential Low Density,RL,R1S,14620.56,23-6189,SWLY 108.825 FT OF LOT 3 BELLE ACRES RSM 21/21,01,94025,MENLO PARK,008,1812 STANFORD AVE,1,8.33352154604e-4
071192160,X,Residential Low Density,RL,R1S,13998.26,23-5660,LOT 18 STANFORD CREEK MAP NO 2 RSM 35/9 CITY OF MENLO  PARK,01,94025,MENLO PARK,008,365 AMBAR WAY,1,7.9788436695e-4
071111210,X,Residential Low Density,RL,R1S,16152.71,23-6179,NWLY 81.00 FT OF LOT 6 & ADJ 26.5 FT X 81 FT BELLE     ACRES RSM 21/21,01,94025,MENLO PARK,008,1017 LOUISE ST,1,9.20664952927e-4
071174090,X,Residential Low Density,RL,R1S,11434.19,23-5927,LOT 18 BLOCK 4 STANFORD GARDENS RSM 25/14,01,94025,MENLO PARK,008,610 EVERGREEN ST,1,6.51744331767e-4
071111110,X,Residential Low Density,RL,R1S,11001.49,23-6187,NWLY 100 FT OF LOT 4 BELLE ACRES RSM 21/21,01,94025,MENLO PARK,008,1012 LOUISE ST,1,6.27069706269e-4
071175180,X,Residential Low Density,RL,R1S,10010.28,23-5900,LOT 2 BLOCK 1 STANFORD GARDENS RSM 25/14,01,94025,MENLO PARK,008,770 LEMON ST,1,5.70572148725e-4
071361130,X,Residential Low Density,RL,R1S,28818.15,23-5568,0.42 AC MOL COR BAY LAUREL DR & OLIVE AVE PTN OF LOT   24 PARTITION MAP OF KATE JOHNSON RANCHO,01,94025,MENLO PARK,008,1585 BAY LAUREL DR,1,0.001639051775775
074233030,X,Residential Low Density,RL,R1S(X),6507.81,23-23461,LOT 13 1000 SHARON PARK RSM 81/45-50,01,94025,MENLO PARK,008,5 BRENT CT,1,3.70833588352e-4
074460400,X,Residential Medium Density,RM,R3A(X),2579.83,23-9607,PARCEL 18 PARCEL MAP VOL 3/23,01,94025,MENLO PARK,008,2430 SHARON OAKS DR,2,1.47006887445e-4
074213040,X,Residential Low Density,RL,R1S,11194.19,23-7121,LOT 4 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF    MENLO PARK,01,94025,MENLO PARK,008,2316 BLUERIDGE AVE,1,6.40424715183e-4
074214031,X,Residential Medium Density,RM,R2,10391.71,23-7108,ARB UNIT A BEING 1/2 INT IN LOT 6 SHARON HEIGHTS NO 3  RSM 54/1-2,01,94025,MENLO PARK,008,2312 EASTRIDGE AVE,2,5.93785872193e-4
074202060,X,Residential Low Density,RL,R1S,15169.1,23-7167,LOT 36 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,820 SHARON PARK DR,1,8.64377293845e-4
096200130,VE,Non-Urban Marshes,NUM,FP,24528930.79,23-486,570.85 AC MOL PTN OF PAR D-1 LLS VOL 8/76-88 PTN OF    SEC 1 & 2 T4SR3W & PTN SEC 6 T5SR2W MDB & M CITY OF    MENLO PARK,87,94025,NA,008,NA,3,1.401451355079421
096200070,VE,Non-Urban Marshes,NUM,FP,4499116.12,23-484,110 AC MOL PTN OF LOT 21 ASSESSMENT MAP NO 5 ACREAGE   CITY OF MENLO PARK,87,94025,NA,008,NA,3,0.257075674670262
096210040,VE,Non-Urban Marshes,NUM,FP,5121907.03,23-492,120 AC MOL BEING PTN OF PARCEL D-1 LLS VOL 8/76-88,87,94025,NA,008,NA,3,0.251524095647791
096210140,VE,Non-Urban Marshes,NUM,FP,7458279.42,23-491,172.50 AC MOL BEING PTN OF PARCEL D-1 LLS VOL 8/76-88,87,94025,NA,008,NA,3,0.416339507983121
096210150,VE,Non-Urban Marshes,NUM,FP,5371221.09,23-490,119.37 AC MOL BEING WLY PTN OF PARCEL D-4 LLS VOL      8/76-88,87,94025,NA,008,NA,3,0.276834081785292
071402110,X,Residential Low Density,RL,R1U,7500.02,23-7863,LOT 5 BLOCK 6 STANFORD PARK 2,01,94025,MENLO PARK,008,253 UNIVERSITY DR,1,4.27597148924e-4
071051230,X,Residential Very Low Density,RVL,RE,24512.96,23-9047,0.5637 AC MOL ON MAY BROUN AVE PTN OF LOT 2 REFEREES   PARTITION MAP RSM 19/20,01,94025,MENLO PARK,008,1160 MAY BROWN AVE,1,0.001397537954495
071424190,X,Residential Low Density,RL,R1U,20699.47,23-9932,0.473 AC BEING PAR A & B OF PARCEL MAP VOL 40/3-4,01,94025,MENLO PARK,008,156 UNIVERSITY DR,1,0.001180132662637
071391140,X,Residential Low Density,RL,R1U,7799.86,23-7976,LOT 3 BLOCK 3 STANFORD PARK 2,01,94025,MENLO PARK,008,1024 COLLEGE AVE,1,4.44691138431e-4
071262070,X,Residential Low Density,RL,R1S,5587.44,23-8600,LOT 1 GREENFIELD RSM 31/38 CITY OF MENLO PARK,01,94025,MENLO PARK,008,745 ARBOR RD,1,3.18554580785e-4
071264010,X,Public Facilities,PF,PF,49922.51,23-8579,1.03 ACS MOL ON MIDDLE AVE LYING ADJ TO LOTS 15 & 16   OF FREMONT ACS PTN OF LOT 20 & PTN OF ARBOR RD ABND    PARTITION MAP OF KATE JOHNSON RANCHO,78,94025,NA,008,NO SITE ADDRESS,0,0.002845116488029
071395070,X,Residential Low Density,RL,R1U,7525.33,23-7890,LOT 20 BLOCK 6 STANFORD PARK 2,01,94025,MENLO PARK,008,308 YALE RD,1,4.29039215637e-4
071432090,X,Residential Low Density,RL,R1U,8450.09,23-7585,LOT 4 BLOCK 10 STANFORD PARK 2,01,94025,MENLO PARK,008,836 CREEK DR,1,4.81763969243e-4
071432010,X,Residential Low Density,RL,R1U,8310.43,23-7592,LOT 14 BLOCK 10 STANFORD PARK 2,01,94025,MENLO PARK,008,861 HARVARD AVE,1,4.73801707686e-4
071051420,X,Residential Very Low Density,RVL,RE,39901.48,23-5110,LOT 5 MOORE ACRES,01,94025,MENLO PARK,008,5 ROBERT S DR,1,0.002275976003029
071293230,X,Residential Medium Density,RM,R3,5387.75,23-8200,69.49 FT ON MIDDLE AVE X 108 FT ON FREMONT AVE PTN LOT 14 FREMONT ACRES,92,94025,MENLO PARK,008,500 FREMONT ST A,2,3.0717014e-4
071212110,X,Residential Low Density,RL,R1S,10840.8,23-5330,LOT 47 BLOCK 1 MENLO PARK TERRACE,01,94025,MENLO PARK,008,865 COTTON ST,1,6.17998095966e-4
071341160,A,Residential Low Density,RL,R1S,36157.97,23-8048,PARCEL 2 .83 AC MOL PARCEL MAP VOL 60/19,01,94025,MENLO PARK,008,80 SAN MATEO DR,1,0.002061222046378
071241070,X,Residential Very Low Density,RVL,RE,10890.3,23-5300,SLY 1/2 OF LOT 23 HERMOSA TRACT,01,94025,MENLO PARK,008,645 HERMOSA WAY,1,6.20814582866e-4
071020050,X,Residential Low Density,RL,R1U,9995.09,23-6056,LOT 11 PINEVIEW NO 1 RSM 43/3,01,94025,MENLO PARK,008,1709 VALPARAISO AVE,1,5.69778913935e-4
071232030,X,Residential Low Density,RL,R1S,10689.18,23-5391,LOT 43 BLOCK 1 MENLO PARK TERRACE,01,94025,MENLO PARK,008,785 COTTON ST,1,6.09347999257e-4
071211080,X,Residential Low Density,RL,R1S,11360.79,23-5357,LOT 50 BLOCK 2 MENLO PARK TERRACE,01,94025,MENLO PARK,008,937 HOBART ST,1,6.47632774255e-4
071212130,X,Residential Low Density,RL,R1S,10840.8,23-5328,LOT 13 BLOCK 1 MENLO PARK TERRACE,01,94025,MENLO PARK,008,840 HOBART ST,1,6.17990554694e-4
071033270,X,Residential Low Density,RL,R1S,10266.62,23-5440,.235 AC MOL BEING LOT 63 HESKETH MANOR NO 4 RSM 41/38  & ADJ PTN OF ACREAGE CITY OF MENLO PARK,01,94025,MENLO PARK,008,16 POLITZER DR,1,5.85258391958e-4
071350070,X,Residential Low Density,RL,R1S,8477.39,23-5505,LOT 10 BROOKDELL RSM 22/13 14,01,94025,MENLO PARK,008,265 SAN MATEO DR,1,4.83264116275e-4
071382280,X,Residential Low Density,RL,R1S,11086.1,23-5534,SELY 68 FT OF LOT 26 BROOKDELL RSM 22/13 14,01,94025,MENLO PARK,008,415 SANTA RITA AVE,1,6.31975464348e-4
071031190,X,Residential Low Density,RL,R1S,10012.57,23-5493,LOT 14 HESKETH MANOR MAP NO 2 RSM 37/25 CITY OF MENLO  PARK,01,94025,MENLO PARK,008,5 HESKETH DR,1,5.70766909255e-4
071032160,X,Residential Low Density,RL,R1S,10200.45,23-5466,LOT 38 HESKETH MANOR MAP NO 3 RSM 38/42 CITY OF MENLO  PARK,01,94025,MENLO PARK,008,8 HESKETH DR,1,5.81485847995e-4
071241200,X,Residential Very Low Density,RVL,RE,20621.29,23-5288,LOT 49 HERMOSA TRACT,01,94025,MENLO PARK,008,680 COTTON ST,1,0.001175535615328
071231030,X,Residential Low Density,RL,R1S,11201.17,23-5396,LOT 43 BLOCK 2 MENLO PARK TERRACE,01,94025,MENLO PARK,008,785 HOBART ST,1,6.38520559434e-4
071232250,X,Residential Low Density,RL,R1S,10689.18,23-5370,LOT 20 BLOCK 1 MENLO PARK TERRACE,01,94025,MENLO PARK,008,700 HOBART ST,1,6.09335399229e-4
071162180,X,Residential Low Density,RL,R1S,14175.53,23-1317,LOT A .328 AC MOL PARCEL MAP VOL 59/39,01,94025,MENLO PARK,008,959 OLIVE ST,1,8.08107829414e-4
071382180,X,Residential Low Density,RL,R1S,10140.28,23-5554,LOT 7 BROOKDELL UNIT NO 2 RSM 23/29 30,01,94025,MENLO PARK,008,430 HERMOSA WAY,1,5.78046116043e-4
071241160,X,Residential Low Density,RL,R1S,14678.7,23-5292,105 FT X 139.80 FT ON COTTON AVE COM NWLY 105.61 FT    FROM MIDDLE AVE PTN OF LOTS 53 & 54 HERMOSA TRACT,91,94025,MENLO PARK,008,560 COTTON ST,1,8.36756810014e-4
071350010,X,Residential Low Density,RL,R1S,13603.05,23-5511,0.325 AC MOL ON SLY LN OF SAN MATEO AVE PTN OF LOT 25  REFEREES PARTITION MAP RSM 19/20,01,94025,MENLO PARK,008,99 SAN MATEO DR,1,7.75441413702e-4
071350120,X,Residential Low Density,RL,R1S,22130.47,23-5500,0.50 ACS MOL ON ELY LN OF BAY LAUREL DR PTN OF LOT 25  REFEREES PARTITION MAP RSM 19/20,01,94025,MENLO PARK,008,1265 BAY LAUREL DR,1,0.001262718678377
071020160,X,Residential Low Density,RL,R1U,11129.46,23-6069,LOT 6 PINEVIEW UNIT NO 2 RSM 43/20,01,94025,MENLO PARK,008,180 PINEVIEW LN,1,6.34398177905e-4
071162120,X,Residential Low Density,RL,R1S,10300.33,23-6450,0.26 AC MOL COM S 56 DEG 30 MIN E 143 FT & S 33 DEG 30 MIN W 223 FT FRM SELY COR OF OLIVE ST & SANTA CRUZ AVE MENLO PARK SCHOOL DIST,01,94025,MENLO PARK,008,1005 OLIVE ST,1,5.87167132468e-4
071232110,X,Residential Low Density,RL,R1S,10872.54,23-5383,LOT 35 BLOCK 1 & SELY 2 FT X 92 FT OF LOT 36 BLOCK 1   MENLO PARK TERRACE,01,94025,MENLO PARK,008,605 COTTON ST,1,6.19786501255e-4
071382120,X,Residential Low Density,RL,R1S,11349.22,23-5560,LOT 14 BROOKDELL UNIT NO 2 RSM 23/29 30,01,94025,MENLO PARK,008,6 HERMOSA PL,1,6.46946850439e-4
071162050,X,Residential Low Density,RL,R1S,11882.27,23-6456,0.275 AC MOL ON SELY LINE OF SANTA CRUZ AVE COM 360.77 FT SWLY FR OLIVE AVE MENLO PARK SCHOOL DIST,01,94025,MENLO PARK,008,1631 SANTA CRUZ AVE,1,6.77344479628e-4
071231040,X,Residential Low Density,RL,R1S,11199.68,23-5395,LOT 42 BLOCK 2 MENLO PARK TERRACE,01,94025,MENLO PARK,008,765 HOBART ST,1,6.38434197583e-4
071232240,X,Residential Low Density,RL,R1S,10687.49,23-5371,LOT 21 BLOCK 1 MENLO PARK TERRACE,01,94025,MENLO PARK,008,660 HOBART ST,1,6.09237066535e-4
071020240,X,Residential Low Density,RL,R1U,9985.02,23-6061,LOT 2 LESS SELY 0.13 FT PINEVIEW UNIT NO 2 RSM 43/20,01,94025,MENLO PARK,008,155 PINEVIEW LN,1,5.69180313578e-4
071020010,X,Residential Low Density,RL,R1U,12834.45,23-6059,0.303 AC MOL PTN OF MARTIN TRACT RSM D/34,01,94025,MENLO PARK,008,1390 N LEMON AVE,1,7.31620441605e-4
071231310,X,Residential Low Density,RL,R1S,12608.53,23-5401,SELY 10 FT OF LOT 13 BLOCK 2 LOT 14 BLOCK 2 MENLO PARK TERRACE,01,94025,MENLO PARK,008,820 OLIVE ST,1,7.18744364849e-4
071162140,X,Residential Low Density,RL,R1S,11064.48,23-6459,0.25 AC MOL COM S 33 DEG 30 MIN W 567.27 FT & S 56 DEG 30 MIN E 176 FT FRM INTERSECT OF CENTER LINE OF OLIVE  ST & SANTA CRUZ AVE MENLO PARK SCHOOL DIST,01,94025,MENLO PARK,008,1011 SEYMOUR LN,1,6.30718774337e-4
071160520,X,Residential Low Density,RL,R1S,21799.28,23-1313,0.50 AC MOL ON SELY LN OF SANTA CRUZ AVE NELY & ADJ TO LOTS 6 7 & 13 OF ATKINSON MANOR MENLO PARK SCHOOL DIST,01,94025,MENLO PARK,008,1711 SANTA CRUZ AVE,1,0.00124263928368
071231270,X,Residential Low Density,RL,R1S,10911.16,23-5405,LOT 18 BLOCK 2 MENLO PARK TERRACE,01,94025,MENLO PARK,008,740 OLIVE ST,1,6.21979296002e-4
071171010,X,Residential Low Density,RL,R1S,9921.72,23-5993,LOT 22 BLOCK 5 STANFORD GARDENS RSM 25/14,01,94025,MENLO PARK,008,1615 STANFORD AVE,1,5.65577312269e-4
071382320,X,Residential Low Density,RL,R1S,11427.57,23-5538,0.26 AC MOL PTN LOTS 18 & 20 BROOKDELL NO 2 RSM 23/29,01,94025,MENLO PARK,008,330 HERMOSA WAY,1,6.51418099084e-4
071362190,X,Residential Low Density,RL,R1S,10001.64,23-5623,LOT 19 BROOKDELL UNIT NO 3 RSM 28/18 CITY OF MENLO,01,94025,MENLO PARK,008,480 COTTON ST,1,5.70134012351e-4
071021040,X,Residential Low Density,RL,R1S,10636.43,23-6131,LOT 6 GRACE YALE TRACT RSM 33/38 CITY OF MENLO PARK,01,94025,MENLO PARK,008,1151 ELDER AVE,1,6.06311621645e-4
071014710,X,Residential Low Density,RL,R1U,7464.27,23-6270,PARCEL 2 .17 AC MOL PARCEL MAP VOL 57/11-12,01,94025,MENLO PARK,008,1373 N LEMON AVE,1,4.25491038542e-4
071014190,X,Residential Low Density,RL,R1U,7577.71,23-6252,LOT 7 DELFINO TRACT RSM 55/29,01,94025,MENLO PARK,008,1351 DELFINO WAY,1,4.31943556695e-4
071362020,X,Residential Low Density,RL,R1S,10669.89,23-5640,LOT 2 BROOKDELL UNIT NO 3 RSM 28/18 CITY OF MENLO PARK,01,94025,MENLO PARK,008,1420 BAY LAUREL DR,1,6.09078548075e-4
071021230,X,Residential Low Density,RL,R1S,10387.61,23-6118,LOT 3 HIDDEN OAKS RSM 65/26,01,94025,MENLO PARK,008,1125 HIDDEN OAKS DR,1,5.93347483994e-4
071362110,X,Residential Low Density,RL,R1S,12705.96,23-5631,LOT 11 LESS SWLY TRIANG PTN BROOKDELL UNIT NO 3 RSM    28/18 CITY OF MENLO PARK,01,94025,MENLO PARK,008,5 COTTON PL,1,7.2426857875e-4
071161150,X,Residential Low Density,RL,R1S,10455.13,23-6080,95 FT X 110 FT ON SELY LN OF SANTA CRUZ AVE COM NELY   291.93 FT FR LEMON ST ACREAGE CITY OF MENLO PARK,01,94025,MENLO PARK,008,1781 SANTA CRUZ AVE,1,5.95962570867e-4
071021020,X,Residential Low Density,RL,R1S,10637.66,23-6107,0.243 AC MOL PTN OF MARTIN TRACT RSM D/34 ON NELY LN   OF N. LEMON AVE 267 FT. NWLY OF SANTA CRUZ AVE,01,94025,MENLO PARK,008,1180 N LEMON AVE,1,6.06364520265e-4
071180680,X,Residential Low Density,RL,R1S,10168.29,23-6040,LOT 10 OAKDELL PARK RSM 33/44 CITY OF MENLO PARK,01,94025,MENLO PARK,008,575 OLIVE ST,1,5.79611264901e-4
071161050,X,Residential Low Density,RL,R1S,10595.72,23-6090,LOT 5 MENLO WOODS RSM 44/13 CITY OF MENLO PARK,01,94025,MENLO PARK,008,14 WOOD LN,1,6.03928940914e-4
