OBJECTID,FACILITYID,ZONINGABBR,REZONINGFI,PDUSE,PDDENSITY,DEVELOPEDA,APPROVALDA,COLORCODE,LASTUPDATE,ENTERPRISE,Zone_descr,Zoning,PDDENS_NUM
1623,1623,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T11:41:30.000Z,PLN-ZONI-0000001623,Planned Development,2,1
1624,1624,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001624,Planned Development,1,1
1625,1625,A(PD),91065,Res,1,Yes,NA,1,2008-04-14T08:32:45.000Z,PLN-ZONI-0000001625,Planned Development,1,1
1626,1626,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001626,Planned Development,1,1
1627,1627,A(PD),91065,Res,1,Yes,NA,1,2007-08-30T13:08:10.000Z,PLN-ZONI-0000001627,Planned Development,1,1
1628,1628,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T11:41:30.000Z,PLN-ZONI-0000001628,Planned Development,1,1
1629,1629,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001629,Planned Development,1,1
1630,1630,A(PD),91065,Res,1,Yes,NA,1,2007-08-30T13:08:10.000Z,PLN-ZONI-0000001630,Planned Development,1,1
1631,1631,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T11:41:30.000Z,PLN-ZONI-0000001631,Planned Development,1,1
1632,1632,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T11:41:30.000Z,PLN-ZONI-0000001632,Planned Development,1,1
1633,1633,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001633,Planned Development,1,1
1634,1634,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001634,Planned Development,1,1
1635,1635,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T11:41:30.000Z,PLN-ZONI-0000001635,Planned Development,1,1
1636,1636,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T13:03:31.000Z,PLN-ZONI-0000001636,Planned Development,2,1
1637,1637,A(PD),91065,Res,1,Yes,NA,1,2008-04-14T08:32:45.000Z,PLN-ZONI-0000001637,Planned Development,1,1
1638,1638,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T11:41:30.000Z,PLN-ZONI-0000001638,Planned Development,1,1
1639,1639,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T11:41:30.000Z,PLN-ZONI-0000001639,Planned Development,1,1
1640,1640,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001640,Planned Development,1,1
1641,1641,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001641,Planned Development,2,1
1642,1642,A(PD),91065,Res,1,Yes,NA,1,2008-04-14T08:32:45.000Z,PLN-ZONI-0000001642,Planned Development,1,1
1643,1643,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T07:34:34.000Z,PLN-ZONI-0000001643,Planned Development,1,1
1644,1644,A(PD),91065,Res,1,Yes,NA,1,2008-04-14T08:32:45.000Z,PLN-ZONI-0000001644,Planned Development,2,1
1645,1645,A(PD),91065,Res,1,Yes,NA,1,2008-04-14T08:32:45.000Z,PLN-ZONI-0000001645,Planned Development,1,1
