OBJECTID,FACILITYID,ZONINGABBR,REZONINGFI,PDUSE,PDDENSITY,DEVELOPEDA,APPROVALDA,COLORCODE,LASTUPDATE,ENTERPRISE,Zone_descr,Zoning,PDDENS_NUM
1,1,A,NA,NA,0,NA,NA,17,2009-06-15T15:15:33.000Z,PLN-ZONI-0000000001,Agriculture,0,0
2,2,A,NA,NA,0,NA,NA,17,2009-06-15T15:15:33.000Z,PLN-ZONI-0000000002,Agriculture,0,0
3,3,A,NA,NA,0,NA,NA,17,2009-06-15T15:15:33.000Z,PLN-ZONI-0000000003,Agriculture,0,0
4,4,A,NA,NA,0,NA,NA,17,2009-06-15T15:15:33.000Z,PLN-ZONI-0000000004,Agriculture,0,0
5,5,A,NA,NA,0,NA,NA,17,2007-04-12T08:29:49.000Z,PLN-ZONI-0000000005,Agriculture,0,0
6,6,A,NA,NA,0,NA,NA,17,2007-04-12T08:29:49.000Z,PLN-ZONI-0000000006,Agriculture,0,0
7,7,A,NA,NA,0,NA,NA,17,2009-06-17T10:46:13.000Z,PLN-ZONI-0000000007,Agriculture,0,0
8,8,A,NA,NA,0,NA,NA,17,2007-10-11T10:36:00.000Z,PLN-ZONI-0000000008,Agriculture,0,0
9,9,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000009,Agriculture,0,0
10,10,A,NA,NA,0,NA,NA,17,2013-11-22T11:29:40.000Z,PLN-ZONI-0000000010,Agriculture,0,0
11,11,A,NA,NA,0,NA,NA,17,2007-04-11T09:57:20.000Z,PLN-ZONI-0000000011,Agriculture,0,0
12,12,A,NA,NA,0,NA,NA,17,2008-05-19T14:29:39.000Z,PLN-ZONI-0000000012,Agriculture,0,0
13,13,A,NA,NA,0,NA,NA,17,2007-10-11T08:46:53.000Z,PLN-ZONI-0000000013,Agriculture,0,0
14,14,A,NA,NA,0,NA,NA,17,2008-02-08T08:27:41.000Z,PLN-ZONI-0000000014,Agriculture,0,0
15,15,A,NA,NA,0,NA,NA,17,2010-07-27T09:28:19.000Z,PLN-ZONI-0000000015,Agriculture,0,0
16,16,R-2,NA,NA,0,NA,NA,2,2019-07-09T20:11:59.000Z,PLN-ZONI-0000000016,Two-Family Residential (Up to eight to sixteen Dwelling Units per Acre),2,0
17,17,A,NA,NA,0,NA,NA,17,2010-07-27T09:28:19.000Z,PLN-ZONI-0000000017,Agriculture,0,0
18,18,A,NA,NA,0,NA,NA,17,2010-07-27T09:28:19.000Z,PLN-ZONI-0000000018,Agriculture,0,0
19,19,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000019,Agriculture,0,0
20,20,A,NA,NA,0,NA,NA,17,2007-11-02T09:25:45.000Z,PLN-ZONI-0000000020,Agriculture,0,0
21,21,A,NA,NA,0,NA,NA,17,2007-11-02T09:19:38.000Z,PLN-ZONI-0000000021,Agriculture,0,0
22,22,A,NA,NA,0,NA,NA,17,2006-11-20T10:38:35.000Z,PLN-ZONI-0000000022,Agriculture,0,0
23,23,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000023,Agriculture,0,0
24,24,A,NA,NA,0,NA,NA,17,2007-09-20T14:12:32.000Z,PLN-ZONI-0000000024,Agriculture,0,0
25,25,A,NA,NA,0,NA,NA,17,2008-08-18T13:04:59.000Z,PLN-ZONI-0000000025,Agriculture,0,0
26,26,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000026,Agriculture,0,0
27,27,A,NA,NA,0,NA,NA,17,2010-10-29T09:02:06.000Z,PLN-ZONI-0000000027,Agriculture,0,0
28,28,A,NA,NA,0,NA,NA,17,2007-10-09T15:02:14.000Z,PLN-ZONI-0000000028,Agriculture,0,0
29,29,A,NA,NA,0,NA,NA,17,2012-04-18T15:20:14.000Z,PLN-ZONI-0000000029,Agriculture,0,0
30,30,A,NA,NA,0,NA,NA,17,2007-09-20T15:34:52.000Z,PLN-ZONI-0000000030,Agriculture,0,0
31,31,A,NA,NA,0,NA,NA,17,2007-09-20T15:34:52.000Z,PLN-ZONI-0000000031,Agriculture,0,0
32,32,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000032,Agriculture,0,0
33,33,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000033,Agriculture,0,0
34,34,A,NA,NA,0,NA,NA,17,2012-04-18T15:20:14.000Z,PLN-ZONI-0000000034,Agriculture,0,0
35,35,A,NA,NA,0,NA,NA,17,2012-04-18T15:20:14.000Z,PLN-ZONI-0000000035,Agriculture,0,0
36,36,A,NA,NA,0,NA,NA,17,2007-09-20T14:53:36.000Z,PLN-ZONI-0000000036,Agriculture,0,0
37,37,A,NA,NA,0,NA,NA,17,2012-04-18T15:20:14.000Z,PLN-ZONI-0000000037,Agriculture,0,0
38,38,A,NA,NA,0,NA,NA,17,2012-04-18T15:20:14.000Z,PLN-ZONI-0000000038,Agriculture,0,0
39,39,A,NA,NA,0,NA,NA,17,2007-11-19T08:43:51.000Z,PLN-ZONI-0000000039,Agriculture,0,0
40,40,A,NA,NA,0,NA,NA,17,2009-10-08T08:30:54.000Z,PLN-ZONI-0000000040,Agriculture,0,0
41,41,A,NA,NA,0,NA,NA,17,2007-08-14T14:42:07.000Z,PLN-ZONI-0000000041,Agriculture,0,0
42,42,A,NA,NA,0,NA,NA,17,2009-10-08T07:34:25.000Z,PLN-ZONI-0000000042,Agriculture,0,0
43,43,A,NA,NA,0,NA,NA,17,2009-10-08T07:34:25.000Z,PLN-ZONI-0000000043,Agriculture,0,0
44,44,A,NA,NA,0,NA,NA,17,2006-10-31T14:28:04.000Z,PLN-ZONI-0000000044,Agriculture,0,0
45,45,A,NA,NA,0,NA,NA,17,2009-10-08T07:34:25.000Z,PLN-ZONI-0000000045,Agriculture,0,0
46,46,A,NA,NA,0,NA,NA,17,2005-08-22T00:00:00.000Z,PLN-ZONI-0000000046,Agriculture,0,0
47,47,A,NA,NA,0,NA,NA,17,2012-02-17T07:48:25.000Z,PLN-ZONI-0000000047,Agriculture,0,0
48,48,A,NA,NA,0,NA,NA,17,2006-10-26T13:35:05.000Z,PLN-ZONI-0000000048,Agriculture,0,0
49,49,A,NA,NA,0,NA,NA,17,2008-03-11T13:28:04.000Z,PLN-ZONI-0000000049,Agriculture,0,0
50,50,A,NA,NA,0,NA,NA,17,2007-10-23T09:35:42.000Z,PLN-ZONI-0000000050,Agriculture,0,0
51,51,A,NA,NA,0,NA,NA,17,2005-08-22T00:00:00.000Z,PLN-ZONI-0000000051,Agriculture,0,0
52,52,A,NA,NA,0,NA,NA,17,2008-10-21T10:03:22.000Z,PLN-ZONI-0000000052,Agriculture,0,0
53,53,A,NA,NA,0,NA,NA,17,2005-08-22T00:00:00.000Z,PLN-ZONI-0000000053,Agriculture,0,0
54,54,A,NA,NA,0,NA,NA,17,2006-01-18T00:00:00.000Z,PLN-ZONI-0000000054,Agriculture,0,0
55,55,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000055,Agriculture,0,0
56,56,A,NA,NA,0,NA,NA,17,2005-08-22T00:00:00.000Z,PLN-ZONI-0000000056,Agriculture,0,0
57,57,A,NA,NA,0,NA,NA,17,2010-11-17T07:07:47.000Z,PLN-ZONI-0000000057,Agriculture,0,0
58,58,A,NA,NA,0,NA,NA,17,2008-03-21T13:29:02.000Z,PLN-ZONI-0000000058,Agriculture,0,0
59,59,A,NA,NA,0,NA,NA,17,2009-07-27T14:21:26.000Z,PLN-ZONI-0000000059,Agriculture,0,0
60,60,A,NA,NA,0,NA,NA,17,2008-09-26T13:53:37.000Z,PLN-ZONI-0000000060,Agriculture,0,0
61,61,A,NA,NA,0,NA,NA,17,2009-06-09T11:42:27.000Z,PLN-ZONI-0000000061,Agriculture,0,0
62,62,A,NA,NA,0,NA,NA,17,2010-10-29T09:38:46.000Z,PLN-ZONI-0000000062,Agriculture,0,0
63,63,A,NA,NA,0,NA,NA,17,2007-08-21T09:33:50.000Z,PLN-ZONI-0000000063,Agriculture,0,0
64,64,A,NA,NA,0,NA,NA,17,2005-08-18T00:00:00.000Z,PLN-ZONI-0000000064,Agriculture,0,0
65,65,A,NA,NA,0,NA,NA,17,2010-10-29T09:38:46.000Z,PLN-ZONI-0000000065,Agriculture,0,0
66,66,A,NA,NA,0,NA,NA,17,2010-10-29T09:38:46.000Z,PLN-ZONI-0000000066,Agriculture,0,0
67,67,A,NA,NA,0,NA,NA,17,2008-03-11T13:22:05.000Z,PLN-ZONI-0000000067,Agriculture,0,0
68,68,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000068,Agriculture,0,0
69,69,A,NA,NA,0,NA,NA,17,2010-10-29T09:38:46.000Z,PLN-ZONI-0000000069,Agriculture,0,0
70,70,A,NA,NA,0,NA,NA,17,2007-08-15T09:03:51.000Z,PLN-ZONI-0000000070,Agriculture,0,0
71,71,A,NA,NA,0,NA,NA,17,2007-09-28T13:30:35.000Z,PLN-ZONI-0000000071,Agriculture,0,0
72,72,A,NA,NA,0,NA,NA,17,2008-03-11T13:44:43.000Z,PLN-ZONI-0000000072,Agriculture,0,0
73,73,A,NA,NA,0,NA,NA,17,2008-03-11T15:16:02.000Z,PLN-ZONI-0000000073,Agriculture,0,0
74,74,A,NA,NA,0,NA,NA,17,2008-03-11T13:46:36.000Z,PLN-ZONI-0000000074,Agriculture,0,0
75,75,A,NA,NA,0,NA,NA,17,2008-03-17T12:36:50.000Z,PLN-ZONI-0000000075,Agriculture,0,0
76,76,A,NA,NA,0,NA,NA,17,2008-03-17T13:49:22.000Z,PLN-ZONI-0000000076,Agriculture,0,0
77,77,A,NA,NA,0,NA,NA,17,2007-09-28T13:29:31.000Z,PLN-ZONI-0000000077,Agriculture,0,0
78,78,A,NA,NA,0,NA,NA,17,2006-05-01T00:00:00.000Z,PLN-ZONI-0000000078,Agriculture,0,0
79,79,A,NA,NA,0,NA,NA,17,2010-10-29T09:38:46.000Z,PLN-ZONI-0000000079,Agriculture,0,0
80,80,A,NA,NA,0,NA,NA,17,2006-11-01T12:00:02.000Z,PLN-ZONI-0000000080,Agriculture,0,0
81,81,A,NA,NA,0,NA,NA,17,2010-10-29T09:32:50.000Z,PLN-ZONI-0000000081,Agriculture,0,0
82,82,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000082,Agriculture,0,0
83,83,A,NA,NA,0,NA,NA,17,2007-10-24T09:37:55.000Z,PLN-ZONI-0000000083,Agriculture,0,0
84,84,A,NA,NA,0,NA,NA,17,2008-03-11T13:54:36.000Z,PLN-ZONI-0000000084,Agriculture,0,0
85,85,A,NA,NA,0,NA,NA,17,2008-01-29T11:57:14.000Z,PLN-ZONI-0000000085,Agriculture,0,0
86,86,A,NA,NA,0,NA,NA,17,2008-03-11T13:54:36.000Z,PLN-ZONI-0000000086,Agriculture,0,0
87,87,A,NA,NA,0,NA,NA,17,2007-11-07T15:46:41.000Z,PLN-ZONI-0000000087,Agriculture,0,0
88,88,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000088,Agriculture,0,0
89,89,A,NA,NA,0,NA,NA,17,2007-11-14T07:32:26.000Z,PLN-ZONI-0000000089,Agriculture,0,0
90,90,A,NA,NA,0,NA,NA,17,2007-10-09T14:54:58.000Z,PLN-ZONI-0000000090,Agriculture,0,0
91,91,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000091,Agriculture,0,0
92,92,A,NA,NA,0,NA,NA,17,2008-03-11T13:54:36.000Z,PLN-ZONI-0000000092,Agriculture,0,0
93,93,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000093,Agriculture,0,0
94,94,A,NA,NA,0,NA,NA,17,2008-03-11T13:54:36.000Z,PLN-ZONI-0000000094,Agriculture,0,0
95,95,A,NA,NA,0,NA,NA,17,2008-03-21T13:38:18.000Z,PLN-ZONI-0000000095,Agriculture,0,0
96,96,A,NA,NA,0,NA,NA,17,2007-04-13T13:40:01.000Z,PLN-ZONI-0000000096,Agriculture,0,0
97,97,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000097,Agriculture,0,0
98,98,A,NA,NA,0,NA,NA,17,2013-11-12T09:14:21.000Z,PLN-ZONI-0000000098,Agriculture,0,0
99,99,A,NA,NA,0,NA,NA,17,2008-03-13T15:50:39.000Z,PLN-ZONI-0000000099,Agriculture,0,0
100,100,A,NA,NA,0,NA,NA,17,2007-04-13T13:42:10.000Z,PLN-ZONI-0000000100,Agriculture,0,0
101,101,A,NA,NA,0,NA,NA,17,2008-01-29T12:24:59.000Z,PLN-ZONI-0000000101,Agriculture,0,0
102,102,A,NA,NA,0,NA,NA,17,2008-01-29T12:24:59.000Z,PLN-ZONI-0000000102,Agriculture,0,0
103,103,A,NA,NA,0,NA,NA,17,2008-04-14T08:42:49.000Z,PLN-ZONI-0000000103,Agriculture,0,0
104,104,A,NA,NA,0,NA,NA,17,2008-04-14T08:42:49.000Z,PLN-ZONI-0000000104,Agriculture,0,0
105,105,A,NA,NA,0,NA,NA,17,2007-11-07T13:22:17.000Z,PLN-ZONI-0000000105,Agriculture,0,0
106,106,R-1-8,18003,NA,0,NA,2018-06-19T00:00:00.000Z,1,2018-08-10T17:38:03.000Z,PLN-ZONI-0000000106,Single-Family Residential (Up to Eight Dwelling Units per Acre),1,0
107,107,A,NA,NA,0,NA,NA,17,2007-11-07T13:22:17.000Z,PLN-ZONI-0000000107,Agriculture,0,0
108,108,A,NA,NA,0,NA,NA,17,2007-10-31T07:48:20.000Z,PLN-ZONI-0000000108,Agriculture,0,0
109,109,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000109,Agriculture,0,0
110,110,A,NA,NA,0,NA,NA,17,2007-07-11T12:06:33.000Z,PLN-ZONI-0000000110,Agriculture,0,0
111,111,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000111,Agriculture,0,0
112,112,A,NA,NA,0,NA,NA,17,2007-11-07T12:04:42.000Z,PLN-ZONI-0000000112,Agriculture,0,0
113,113,A,NA,NA,0,NA,NA,17,2011-01-14T08:09:01.000Z,PLN-ZONI-0000000113,Agriculture,0,0
114,114,A,NA,NA,0,NA,NA,17,2008-01-03T07:00:46.000Z,PLN-ZONI-0000000114,Agriculture,0,0
115,115,A,NA,NA,0,NA,NA,17,2007-10-11T15:32:50.000Z,PLN-ZONI-0000000115,Agriculture,0,0
116,116,A,NA,NA,0,NA,NA,17,2011-10-31T06:26:07.000Z,PLN-ZONI-0000000116,Agriculture,0,0
117,117,A,NA,NA,0,NA,NA,17,2009-08-25T14:29:32.000Z,PLN-ZONI-0000000117,Agriculture,0,0
118,118,A,NA,NA,0,NA,NA,17,2007-10-11T15:32:50.000Z,PLN-ZONI-0000000118,Agriculture,0,0
119,119,A,NA,NA,0,NA,NA,17,2007-10-11T15:25:59.000Z,PLN-ZONI-0000000119,Agriculture,0,0
120,120,A,NA,NA,0,NA,NA,17,2007-08-24T14:08:53.000Z,PLN-ZONI-0000000120,Agriculture,0,0
121,121,A,NA,NA,0,NA,NA,17,2007-09-11T13:34:44.000Z,PLN-ZONI-0000000121,Agriculture,0,0
122,122,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000122,Agriculture,0,0
123,123,A,NA,NA,0,NA,NA,17,2007-04-13T14:32:57.000Z,PLN-ZONI-0000000123,Agriculture,0,0
124,124,A,NA,NA,0,NA,NA,17,2007-10-11T15:27:21.000Z,PLN-ZONI-0000000124,Agriculture,0,0
125,125,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000125,Agriculture,0,0
126,126,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000126,Agriculture,0,0
127,127,A,NA,NA,0,NA,NA,17,2008-03-03T14:58:50.000Z,PLN-ZONI-0000000127,Agriculture,0,0
128,128,A,NA,NA,0,NA,NA,17,2008-03-03T14:54:27.000Z,PLN-ZONI-0000000128,Agriculture,0,0
129,129,A,NA,NA,0,NA,NA,17,2012-08-24T06:55:36.000Z,PLN-ZONI-0000000129,Agriculture,0,0
130,130,A,NA,NA,0,NA,NA,17,2008-03-03T14:58:50.000Z,PLN-ZONI-0000000130,Agriculture,0,0
131,131,A,NA,NA,0,NA,NA,17,2008-03-03T14:58:50.000Z,PLN-ZONI-0000000131,Agriculture,0,0
132,132,A,NA,NA,0,NA,NA,17,2008-03-03T14:58:50.000Z,PLN-ZONI-0000000132,Agriculture,0,0
133,133,A,NA,NA,0,NA,NA,17,2008-03-03T14:54:27.000Z,PLN-ZONI-0000000133,Agriculture,0,0
134,134,A,NA,NA,0,NA,NA,17,2009-08-27T13:27:51.000Z,PLN-ZONI-0000000134,Agriculture,0,0
135,135,A,NA,NA,0,NA,NA,17,2006-11-20T10:00:37.000Z,PLN-ZONI-0000000135,Agriculture,0,0
136,136,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000136,Agriculture,0,0
137,137,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000137,Agriculture,0,0
138,138,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000138,Agriculture,0,0
139,139,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000139,Agriculture,0,0
140,140,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000140,Agriculture,0,0
141,141,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000141,Agriculture,0,0
142,142,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000142,Agriculture,0,0
143,143,A,NA,NA,0,NA,NA,17,2007-10-23T13:10:04.000Z,PLN-ZONI-0000000143,Agriculture,0,0
144,144,A,NA,NA,0,NA,NA,17,2007-11-08T13:45:45.000Z,PLN-ZONI-0000000144,Agriculture,0,0
145,145,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000145,Agriculture,0,0
146,146,A,NA,NA,0,NA,NA,17,2006-11-07T12:08:41.000Z,PLN-ZONI-0000000146,Agriculture,0,0
147,147,A,NA,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000147,Agriculture,0,0
148,148,A,72093,NA,0,NA,NA,17,2009-06-15T14:21:43.000Z,PLN-ZONI-0000000148,Agriculture,0,0
149,149,A,74023,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000149,Agriculture,0,0
150,150,A(PD),13016,NA,0,NA,NA,17,2018-05-19T00:00:49.000Z,PLN-ZONI-0000000150,Planned Development,0,0
151,151,A,74027,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000151,Agriculture,0,0
152,152,A,76022,NA,0,NA,NA,17,2007-08-27T15:33:22.000Z,PLN-ZONI-0000000152,Agriculture,0,0
153,153,A,76166,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000153,Agriculture,0,0
154,154,A,78130,NA,0,NA,NA,17,2009-06-02T13:21:32.000Z,PLN-ZONI-0000000154,Agriculture,0,0
155,155,A,78216,NA,0,NA,NA,17,2007-04-30T13:37:36.000Z,PLN-ZONI-0000000155,Agriculture,0,0
156,156,A,78216,NA,0,NA,NA,17,2005-11-03T00:00:00.000Z,PLN-ZONI-0000000156,Agriculture,0,0
157,157,A,79115,NA,0,NA,NA,17,2007-09-20T14:19:22.000Z,PLN-ZONI-0000000157,Agriculture,0,0
158,158,PQP,16046,NA,0,NA,2017-03-10T00:00:00.000Z,16,2018-10-02T18:01:40.000Z,PLN-ZONI-0000000158,Public/Quasi-Public,0,0
159,159,A,80093,NA,0,NA,NA,17,2007-10-04T13:56:23.000Z,PLN-ZONI-0000000159,Agriculture,0,0
160,160,A,80171,NA,0,NA,NA,17,2007-10-02T08:07:26.000Z,PLN-ZONI-0000000160,Agriculture,0,0
161,161,A,80203,NA,0,NA,NA,17,2007-08-27T12:52:12.000Z,PLN-ZONI-0000000161,Agriculture,0,0
162,162,A,80203,NA,0,NA,NA,17,2007-08-27T12:52:12.000Z,PLN-ZONI-0000000162,Agriculture,0,0
163,163,A,80203,NA,0,NA,NA,17,2007-08-27T12:52:12.000Z,PLN-ZONI-0000000163,Agriculture,0,0
164,164,A,80203,NA,0,NA,NA,17,2007-08-27T12:52:12.000Z,PLN-ZONI-0000000164,Agriculture,0,0
165,165,A,80203,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000165,Agriculture,0,0
166,166,A,88079,NA,0,NA,NA,17,2008-01-23T08:53:46.000Z,PLN-ZONI-0000000166,Agriculture,0,0
167,167,A,89014,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000167,Agriculture,0,0
168,168,A,89087,NA,0,NA,NA,17,2005-12-07T00:00:00.000Z,PLN-ZONI-0000000168,Agriculture,0,0
169,169,A,89088,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000169,Agriculture,0,0
170,170,A,91031,NA,0,NA,NA,17,2012-05-14T06:52:02.000Z,PLN-ZONI-0000000170,Agriculture,0,0
171,171,R-1-1,16023,NA,0,NA,2016-09-20T00:00:00.000Z,1,2017-10-20T23:01:15.000Z,PLN-ZONI-0000000171,Single-Family Residential (Up to One Dwelling Unit per Acre),1,0
172,172,A,93050,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000172,Agriculture,0,0
173,173,A,93050,NA,0,NA,NA,17,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000173,Agriculture,0,0
174,174,A,98044,NA,0,NA,NA,17,2007-04-11T13:11:19.000Z,PLN-ZONI-0000000174,Agriculture,0,0
175,175,A(PD),00001,Res,10.9,Yes,NA,2,2007-09-21T09:10:46.000Z,PLN-ZONI-0000000175,Planned Development,1,10.9
176,176,A(PD),00001,Res,10.9,Yes,NA,2,2007-09-21T09:10:46.000Z,PLN-ZONI-0000000176,Planned Development,1,10.9
177,177,A(PD),00001,Res,10.9,Yes,NA,2,2007-09-21T09:10:46.000Z,PLN-ZONI-0000000177,Planned Development,1,10.9
178,178,A(PD),00002,Res,10.2,Yes,NA,2,2007-10-11T13:49:41.000Z,PLN-ZONI-0000000178,Planned Development,1,10.2
179,179,A(PD),00003,Res,52,Yes,NA,3,2007-11-02T08:29:34.000Z,PLN-ZONI-0000000179,Planned Development,2,52
180,180,A(PD),00007,Res,48.3,Yes,NA,3,2007-05-21T11:55:43.000Z,PLN-ZONI-0000000180,Planned Development,2,48.3
181,181,A(PD),00008,Res,56.4,Yes,NA,3,2007-09-11T09:42:57.000Z,PLN-ZONI-0000000181,Planned Development,2,56.4
182,182,A(PD),00009,Res,14,Yes,NA,2,2006-10-27T15:41:33.000Z,PLN-ZONI-0000000182,Planned Development,2,14
183,183,A(PD),00011,Res,40,Yes,NA,3,2006-11-02T07:58:50.000Z,PLN-ZONI-0000000183,Planned Development,2,40
184,184,A(PD),00012,Res,45.1,Yes,NA,3,2009-06-04T15:27:50.000Z,PLN-ZONI-0000000184,Planned Development,2,45.1
185,185,A(PD),00013,Res,25.9,Yes,NA,3,2008-05-14T09:44:51.000Z,PLN-ZONI-0000000185,Planned Development,2,25.9
186,186,A(PD),00016,Res,5.2,Yes,NA,1,2008-04-18T15:40:09.000Z,PLN-ZONI-0000000186,Planned Development,1,5.2
187,187,A(PD),00016,Res,5.2,Yes,NA,1,2008-04-18T15:40:09.000Z,PLN-ZONI-0000000187,Planned Development,1,5.2
188,188,A(PD),00016,Res,5.2,Yes,NA,1,2008-04-18T15:40:09.000Z,PLN-ZONI-0000000188,Planned Development,1,5.2
189,189,A(PD),00018,Res,58.7,Yes,NA,3,2007-10-11T14:08:22.000Z,PLN-ZONI-0000000189,Planned Development,2,58.7
190,190,A(PD),00025,Res,41,Yes,NA,3,2007-11-01T13:44:32.000Z,PLN-ZONI-0000000190,Planned Development,2,41
191,191,A(PD),00027,Res,14.3,Yes,NA,2,2007-09-28T14:52:11.000Z,PLN-ZONI-0000000191,Planned Development,1,14.3
192,192,A(PD),00031,Res,6,Yes,NA,1,2008-08-08T13:12:37.000Z,PLN-ZONI-0000000192,Planned Development,1,6
193,193,A(PD),00036,Res,4.2,Yes,NA,1,2008-03-11T13:19:40.000Z,PLN-ZONI-0000000193,Planned Development,1,4.2
194,194,A(PD),00036,Res,4.2,Yes,NA,1,2008-03-11T13:19:40.000Z,PLN-ZONI-0000000194,Planned Development,1,4.2
195,195,A(PD),00036,Res,4.2,Yes,NA,1,2008-03-11T13:19:40.000Z,PLN-ZONI-0000000195,Planned Development,1,4.2
196,196,A(PD),00037,Res,16.1,Yes,NA,2,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000196,Planned Development,1,16.1
197,197,A(PD),00038,Res,21.3,Yes,NA,2,2007-10-23T08:33:11.000Z,PLN-ZONI-0000000197,Planned Development,2,21.3
198,198,A(PD),00041,Res,40.7,Yes,NA,3,2006-10-25T14:23:02.000Z,PLN-ZONI-0000000198,Planned Development,2,40.7
199,199,A(PD),00042,Res,53.9,Yes,NA,3,2005-08-29T00:00:00.000Z,PLN-ZONI-0000000199,Planned Development,2,53.9
200,200,A(PD),00047,Com,0,NA,NA,6,2006-11-13T15:14:22.000Z,PLN-ZONI-0000000200,Planned Development,0,0
201,201,A(PD),00052,Res,18.2,Yes,NA,2,2006-10-02T15:22:23.000Z,PLN-ZONI-0000000201,Planned Development,2,18.2
202,202,A(PD),00053,Ind,0,NA,NA,13,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000202,Planned Development,0,0
203,203,A(PD),00057,Res,15.4,Yes,NA,2,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000203,Planned Development,1,15.4
204,204,A(PD),00059,Mix,104,Yes,NA,18,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000204,Planned Development,2,104
205,205,A(PD),00060,Res,9.5,Yes,NA,2,2006-10-26T12:50:41.000Z,PLN-ZONI-0000000205,Planned Development,1,9.5
206,206,A(PD),00061,Res,65,Yes,NA,3,2007-09-25T15:02:31.000Z,PLN-ZONI-0000000206,Planned Development,2,65
207,207,A(PD),00062,Res,49,Yes,NA,3,2005-08-17T00:00:00.000Z,PLN-ZONI-0000000207,Planned Development,2,49
208,208,A(PD),00063,PQP,0,NA,NA,16,2007-10-11T14:30:54.000Z,PLN-ZONI-0000000208,Planned Development,0,0
209,209,A(PD),00063,Res,35.6,Yes,NA,3,2007-10-11T14:30:54.000Z,PLN-ZONI-0000000209,Planned Development,2,35.6
210,210,A(PD),00064,Res,14.6,Yes,NA,2,2007-11-02T09:35:33.000Z,PLN-ZONI-0000000210,Planned Development,1,14.6
211,211,A(PD),00067,Res,7.5,Yes,NA,1,2008-01-17T09:38:38.000Z,PLN-ZONI-0000000211,Planned Development,1,7.5
212,212,A(PD),00069,Com,0,NA,NA,6,2007-09-19T15:48:19.000Z,PLN-ZONI-0000000212,Planned Development,0,0
213,213,A(PD),00070,Mix,200,Yes,NA,18,2007-02-09T12:29:51.000Z,PLN-ZONI-0000000213,Planned Development,2,200
214,214,A(PD),00074,Com,0,NA,NA,6,2008-08-29T13:09:55.000Z,PLN-ZONI-0000000214,Planned Development,0,0
